base_year,teachers_t_w,teachers_t1_w,leavers_w,entrants_w,links_w,n_teachers
2005,20459940.48905945,20685786.663726807,3236420.944519043,3202922.4685668945,935880498.6478653,9989
2006,20226819.45274353,20747210.550201416,3259789.1186828613,3436373.8093719482,933660403.4845581,9711
2007,22323606.19076538,22894278.2726593,3310336.6732940674,3791520.997741699,975463308.4024506,10378
2008,22308142.21902466,22133937.67591858,3389558.3096313477,3331934.0614624023,997670091.4559937,10179
2009,21889178.619628906,21770093.760238647,3485569.5856933594,3202050.3368530273,1009097450.9468384,10146
2010,22500430.594299316,22475730.33656311,3555241.25970459,3273756.254119873,996007163.518219,10323
2011,20790818.117004395,21013461.69378662,3549080.2394104004,3503600.061355591,1040738222.9210663,9518
2012,21364280.26359558,21731421.26260376,3622426.0962524414,3743352.455932617,1051826403.6697235,9556
2013,20631915.41304016,20960933.642730713,3627071.980407715,3918512.430206299,1008208640.5775757,9081
2014,19551998.212142944,20029739.525619507,3400248.8228912354,3674238.57673645,936726661.3353195,8526
2015,21580002.303985596,21952155.713912964,3926229.196624756,4025177.0874176025,1050092994.3283234,9146
2016,22011394.1065979,22138797.63317871,3974253.24118042,4124572.8325805664,1070360167.9023285,9310
2017,21981228.1986084,22310794.200637817,4056891.1884155273,4005229.3678894043,1071351657.4676514,8926
2018,22905545.277511597,23593876.753829956,4061853.088165283,4292058.225479126,1084040032.0316925,8885
2019,22241575.16973877,23257546.740264893,4839330.712753296,3949107.922088623,1052725330.2177124,8351
2020,20519148.23146057,20555023.953598022,3781043.1094665527,3894269.300994873,1024359307.2077026,6896
2021,20001057.35183716,21462747.428482056,3585325.309387207,4070194.8145751953,1032286008.1496735,6703
2022,21837774.0027771,21704167.029266357,4300351.043731689,3781231.379333496,1065786958.0255432,6848
2023,21792251.53942871,22073794.088775635,4202908.564178467,4432487.755767822,1087088987.156845,6677
2024,18974537.714782715,19053221.633163452,3847601.7761535645,3169421.6787109375,982924474.3078308,5723
