HRMONTH,teacher_0,teacher_1,employed_0,employed_1,PWSSWGT_0
4,0,0,0,0,3397.839
4,0,0,0,0,2135.3228
4,0,0,0,0,1804.0135
4,0,0,1,1,2502.1965
4,0,0,1,0,2119.5532
4,0,0,1,1,2703.827
4,0,0,1,1,2662.3991
4,0,0,1,1,2662.3991
4,0,0,1,1,2422.1878
4,0,0,0,0,2584.3856
4,0,0,1,1,3251.7073
4,0,0,1,1,3467.5955
4,0,0,1,1,1881.0315
4,0,0,1,1,2138.6112
4,0,0,1,1,2383.4651
4,0,0,1,1,2043.6967
4,0,0,1,1,1917.5648
4,0,0,1,1,2423.7921
4,0,0,1,1,2423.7921
4,0,0,1,1,1936.6216
4,0,0,0,0,2286.4001
4,0,0,0,0,2326.8578
4,0,0,0,0,2482.6719
4,0,0,1,1,2210.8785
4,0,0,1,1,2120.1196
4,0,0,1,1,2043.6967
4,0,0,1,1,2383.4651
4,0,0,1,1,3822.7944
4,0,0,0,0,2022.0779
4,0,0,1,1,1920.7639
4,0,0,0,0,2046.3281
4,0,0,0,0,2046.3281
4,0,0,1,1,1835.8682
4,0,0,1,1,1806.7408
4,0,0,1,1,3811.0062
4,0,0,1,1,3580.2958
4,0,0,0,0,2206.16
4,0,0,0,0,2820.8409
4,0,0,0,0,2905.1645
4,1,1,1,1,2792.8889
4,0,0,1,1,1729.5339
4,0,0,0,0,2118.0477
4,0,0,0,0,2210.262
4,0,0,0,0,2210.262
4,0,0,0,0,3398.8249
4,0,0,1,1,3571.7949
4,0,0,1,1,3589.9965
4,0,0,0,0,2310.651
4,0,0,0,0,2538.278
4,0,0,0,1,2822.165
4,0,0,0,0,2984.7874
4,0,0,1,0,3888.4952
4,0,0,1,0,3888.4952
4,0,0,0,0,2753.0783
4,0,0,0,0,2810.8341
4,0,0,0,0,2492.3065
4,0,0,0,0,3307.8554
4,0,0,1,1,4912.7392
4,0,0,1,1,2531.1389
4,0,0,1,1,3599.3255
4,0,0,0,0,3589.9965
4,0,0,1,1,2310.651
4,0,0,0,0,2309.447
4,0,0,1,1,2917.3662
4,0,0,0,0,4418.0705
4,0,0,0,0,3545.0575
4,0,0,1,1,2742.0241
4,0,0,1,1,2965.4414
4,0,0,0,0,2742.0241
4,0,0,1,1,3961.0457
4,0,0,1,1,3515.7493
4,0,0,1,1,3293.2731
4,0,0,1,1,2552.3352
4,0,0,0,0,2282.1454
4,0,0,1,1,992.6265
4,0,0,0,0,874.874
4,0,0,0,0,802.4636
4,0,0,0,0,974.6781
4,0,0,0,0,721.5701
4,0,0,0,0,674.1068
4,0,0,0,0,717.1324
4,0,0,0,0,929.3991
4,0,0,1,1,912.5609
4,0,0,0,0,515.9263
4,0,0,0,0,552.2522
4,0,0,0,0,654.7009
4,0,0,0,0,654.7009
4,0,0,1,1,839.3321
4,0,0,0,0,724.2175
4,0,0,1,1,846.8534
4,0,0,1,1,838.1958
4,0,0,1,1,606.7745
4,0,0,0,0,614.1639
4,0,0,0,0,724.2175
4,0,0,0,0,688.4859
4,0,0,0,0,783.0396
4,0,0,0,0,688.4859
4,0,0,1,1,357.6158
4,0,0,1,1,422.1861
4,0,0,1,1,357.6158
4,0,0,1,1,313.2641
4,0,0,1,0,364.6565
4,0,0,1,1,364.6565
4,0,0,1,1,365.1363
4,0,0,1,1,480.4627
4,1,1,1,1,408.3795
4,0,0,0,0,396.8235
4,0,0,1,1,386.3724
4,0,0,1,1,606.4358
4,0,0,0,0,611.3056
4,0,0,0,0,335.2147
4,0,0,1,1,317.1234
4,0,0,0,0,403.4741
4,0,0,1,1,4275.5943
4,0,0,1,1,4027.5605
4,0,0,1,1,3975.0622
4,0,0,0,1,4159.117
4,0,0,1,1,4241.6928
4,0,0,1,1,4515.2442
4,0,0,1,1,4431.8378
4,0,0,1,1,5091.985
4,0,0,0,0,4131.1338
4,0,0,0,0,4039.0032
4,0,0,1,1,5161.0564
4,0,0,1,1,4263.9636
4,0,0,1,0,7449.4964
4,0,0,0,0,3712.1942
4,0,0,1,0,3960.5516
4,0,0,0,0,3960.5516
4,0,0,0,0,4293.7551
4,0,0,0,0,4492.5661
4,0,0,1,1,9205.8626
4,0,0,0,0,5261.7287
4,0,0,1,1,3948.9542
4,0,0,1,1,4599.7224
4,0,0,1,1,4634.5592
4,0,0,0,0,3513.8462
4,0,0,0,0,4032.2092
4,0,0,0,0,3876.8312
4,0,0,1,1,4630.4449
4,0,0,0,0,3568.4393
4,0,0,1,1,3659.3206
4,0,0,0,0,3871.9555
4,0,0,1,1,3091.8874
4,0,0,1,1,4199.6802
4,0,0,1,0,4488.2385
4,0,0,1,1,4330.1832
4,0,0,1,1,4484.7333
4,0,0,1,1,4357.5489
4,0,0,0,0,3631.0807
4,0,0,1,1,4357.5489
4,0,0,1,1,4357.3806
4,0,0,0,0,4192.534
4,0,0,1,1,4349.0018
4,0,0,1,1,4659.1067
4,0,0,1,1,4416.9054
4,0,0,1,1,4408.7192
4,0,0,1,1,3996.8906
4,0,0,1,1,4105.9247
4,0,0,1,1,4896.384
4,0,0,1,1,5363.8685
4,0,0,1,1,5412.7796
4,0,0,0,0,4096.8572
4,0,0,0,0,4542.2977
4,0,0,1,1,3837.4993
4,0,0,0,0,3831.4422
4,0,0,0,0,3164.255
4,0,0,0,0,4052.6456
4,0,0,1,1,4177.4503
4,0,0,0,0,4243.4706
4,0,0,0,0,4195.5217
4,0,0,0,0,4794.607
4,0,0,1,1,4185.3287
4,0,0,0,0,4426.3275
4,0,0,1,1,4019.2117
4,0,0,1,1,3886.6486
4,0,0,1,1,3720.1051
4,0,0,0,0,5886.6984
4,0,0,1,0,4116.9746
4,0,0,0,0,4164.3633
4,0,0,1,0,4356.7465
4,0,0,1,1,5010.0575
4,0,0,0,0,4907.1386
4,0,0,1,1,4675.4056
4,0,0,0,0,5034.903
4,0,0,0,0,4943.7801
4,0,0,0,0,4669.8137
4,0,0,1,1,5091.985
4,0,0,0,0,3767.1758
4,0,0,1,1,5667.4229
4,0,0,1,1,5106.9304
4,0,0,1,1,4904.5649
4,0,0,0,0,5508.1542
4,0,0,0,0,5965.2465
4,0,0,1,1,4600.3302
4,0,0,1,1,4675.4056
4,0,0,1,1,6952.0775
4,0,0,1,1,5595.0634
4,0,0,0,0,5610.2069
4,0,0,1,1,5633.2889
4,0,0,1,1,6952.0775
4,0,0,0,1,5595.0634
4,0,0,1,0,5186.2012
4,0,0,1,1,6109.9446
4,0,0,1,1,4570.8016
4,0,0,1,1,5768.3926
4,0,0,1,1,6371.7287
4,0,0,1,0,5169.3474
4,0,0,1,1,5536.2356
4,0,0,0,0,5011.983
4,0,0,0,0,3939.328
4,0,0,0,0,4121.7282
4,0,0,1,1,5545.3746
4,0,0,0,0,3886.6486
4,0,0,0,0,4019.2117
4,0,0,1,1,3720.1051
4,0,0,1,1,4297.0526
4,0,0,1,1,4314.2446
4,0,0,0,0,3568.1944
4,0,0,0,0,4922.595
4,0,0,0,0,4397.3209
4,0,0,0,0,4002.5665
4,0,0,1,1,4710.0194
4,0,0,1,1,4735.4142
4,0,0,1,1,8560.5537
4,0,0,1,1,4214.1114
4,0,0,1,1,4504.4101
4,0,0,1,1,4947.907
4,0,0,1,1,4947.907
4,0,0,0,0,4182.7755
4,0,0,0,0,5278.7782
4,0,0,1,0,4846.2276
4,0,0,1,1,4630.4449
4,0,0,0,0,5625.3691
4,0,0,0,0,4592.4238
4,0,0,1,1,3225.311
4,0,0,0,0,3622.5987
4,0,0,0,0,6374.4212
4,0,0,1,1,5622.5038
4,0,0,1,1,3878.9692
4,0,0,1,1,4519.3646
4,0,0,1,1,4895.811
4,0,0,0,0,3186.2957
4,0,0,1,1,5032.3952
4,0,0,1,1,5183.5396
4,0,0,1,1,4001.8036
4,0,0,1,1,4006.8428
4,0,0,1,1,3901.8395
4,0,0,1,0,7884.6084
4,0,0,1,1,3625.7053
4,0,0,1,1,4689.032
4,0,0,1,1,4354.9897
4,0,0,0,0,4206.9593
4,0,0,0,0,4022.1606
4,0,0,1,1,3757.9321
4,0,0,1,1,5934.4597
4,0,0,0,0,5393.4236
4,0,0,1,1,5934.4597
4,0,0,1,1,4655.7186
4,0,0,0,0,5934.4597
4,0,0,0,0,4676.6731
4,0,0,1,0,2881.87
4,0,0,0,0,3542.8264
4,0,0,0,0,3382.9035
4,0,0,0,0,5597.5793
4,0,0,0,0,3382.9035
4,0,0,0,0,4537.3841
4,0,0,0,0,4472.5338
4,0,0,0,0,4212.484
4,0,0,0,0,4052.7506
4,0,0,0,0,4212.484
4,0,0,0,0,3026.1358
4,0,0,0,0,3381.5269
4,0,0,1,1,3274.9625
4,0,0,0,0,3937.736
4,0,0,0,0,3274.9625
4,0,0,1,0,4448.4185
4,0,0,1,0,5110.7485
4,0,0,1,1,4066.7637
4,0,0,1,0,5114.718
4,0,0,1,1,4028.9979
4,0,0,1,1,4006.7518
4,0,0,1,1,4389.9172
4,0,0,1,1,5048.2248
4,0,0,1,1,4871.0148
4,0,0,1,1,6661.3537
4,0,0,0,0,4173.2133
4,0,0,0,0,3774.666
4,0,0,1,1,6275.0713
4,0,0,1,1,4414.0614
4,0,0,1,1,7404.9757
4,0,0,1,1,5600.3569
4,0,0,0,0,4367.8084
4,0,0,0,0,5699.5969
4,0,0,1,1,4474.1285
4,0,0,0,0,3775.6097
4,0,0,0,0,3785.0336
4,0,0,0,0,4472.1143
4,0,0,0,0,4868.8011
4,0,0,1,1,4867.2336
4,0,0,1,1,4523.2666
4,0,0,0,0,3785.0336
4,0,0,1,1,11301.9302
4,0,0,0,0,4889.1097
4,0,0,0,0,4019.4089
4,0,0,1,0,3928.2533
4,0,0,0,0,5148.5464
4,0,0,1,1,4785.2019
4,0,0,1,1,5397.6626
4,0,0,0,0,4211.8749
4,0,0,0,0,4021.7272
4,0,0,1,1,4682.6913
4,0,0,0,0,4019.4089
4,0,0,0,0,4889.1097
4,0,0,0,0,4071.8619
4,0,0,1,0,4552.7696
4,0,0,1,1,4849.3094
4,0,0,1,1,4472.1143
4,0,0,1,1,5162.9997
4,0,0,1,0,4367.8084
4,0,0,1,1,4954.8421
4,0,0,1,0,11785.5619
4,0,0,1,0,11785.5619
4,0,0,1,1,3488.3657
4,0,0,1,1,3909.2041
4,0,0,0,0,3946.2851
4,0,0,0,0,3775.1997
4,0,0,0,0,10124.5747
4,0,0,0,0,3488.3657
4,0,0,1,1,4950.8509
4,0,0,1,0,4514.0825
4,0,0,1,1,4285.7159
4,0,0,1,0,3911.1654
4,0,0,0,0,3628.5745
4,0,0,0,0,3734.4085
4,0,0,0,0,5268.582
4,0,0,1,1,6544.6064
4,0,0,1,1,4014.9863
4,0,0,0,0,3523.3788
4,0,0,0,0,4353.3804
4,0,0,0,0,4225.4192
4,0,0,0,0,5479.5368
4,1,1,1,1,3649.4
4,1,1,1,1,3729.7699
4,0,0,0,0,3628.5745
4,0,0,0,0,4824.6879
4,0,0,0,0,3972.1585
4,0,0,0,0,4217.326
4,0,0,0,0,3486.4209
4,0,0,1,0,4110.0087
4,0,0,1,1,3781.0807
4,1,1,1,1,4443.545
4,0,0,1,1,5188.8336
4,0,0,1,1,5164.7807
4,0,0,0,0,3988.2728
4,0,0,0,0,3623.8832
4,0,0,0,0,3623.8832
4,0,0,1,1,5103.4933
4,0,0,1,1,4219.1571
4,0,0,1,1,4488.2713
4,0,0,0,0,3572.5084
4,0,0,0,0,3648.4886
4,0,0,0,0,3402.0216
4,0,0,0,0,3908.6759
4,0,0,0,0,4638.27
4,0,0,0,0,3905.2041
4,0,0,0,0,3336.0087
4,0,0,0,0,4489.2484
4,0,0,1,1,4636.327
4,0,0,0,0,5422.9598
4,0,0,1,1,4748.0262
4,0,0,0,0,3907.8882
4,0,0,0,1,4423.2073
4,0,0,1,1,4030.5399
4,0,0,1,1,3467.6818
4,0,0,0,0,3142.4049
4,0,0,0,0,3541.6434
4,0,0,1,1,3467.6818
4,0,0,1,1,4714.8017
4,0,0,0,0,3555.5363
4,0,0,0,1,1524.1073
4,0,0,0,0,1637.2565
4,0,0,0,0,1738.7134
4,0,0,1,1,1590.7365
4,0,0,0,0,1305.655
4,0,0,0,0,2437.7024
4,0,0,0,0,2430.6741
4,0,0,0,0,1662.1312
4,0,0,1,1,1490.0949
4,0,0,1,1,3505.6198
4,0,0,0,1,1910.8971
4,0,0,1,1,3089.3195
4,0,0,0,0,1895.2035
4,0,0,1,1,2421.4905
4,0,0,1,1,1423.3574
4,0,0,0,0,1336.362
4,0,0,0,0,1220.4885
4,0,0,1,1,1909.3916
4,0,0,1,1,2253.6847
4,0,0,1,1,2002.8344
4,0,0,1,1,2332.1324
4,0,0,1,1,2247.2543
4,0,0,1,1,2002.8344
4,0,0,0,0,1697.3347
4,0,0,0,0,1970.5544
4,0,0,0,0,1270.9745
4,0,0,0,0,1270.9745
4,0,0,1,1,1433.6684
4,0,0,0,0,1103.2071
4,0,0,0,0,1781.0873
4,0,0,0,0,1058.8253
4,0,0,0,0,1877.2411
4,0,0,0,0,1377.6438
4,0,0,0,0,1877.2411
4,0,0,1,0,1111.457
4,0,0,1,1,1535.0867
4,0,0,1,1,2699.9697
4,0,0,0,0,1024.1188
4,0,0,1,1,1535.6789
4,0,0,0,0,1334.0743
4,0,0,0,0,1607.4723
4,0,0,0,0,4430.2283
4,0,0,1,1,6100.5951
4,0,0,1,1,5849.7992
4,0,0,1,1,4804.402
4,0,0,0,0,3541.3763
4,0,0,0,0,3529.8531
4,0,0,1,0,3779.4012
4,0,0,0,0,4371.6414
4,0,0,0,0,3263.0952
4,0,0,0,0,3301.2521
4,0,0,1,1,4094.277
4,0,0,1,1,5159.1161
4,0,0,0,0,5480.5258
4,0,0,1,0,6260.4905
4,0,0,0,0,3401.8346
4,0,0,1,1,4292.6035
4,0,0,1,1,7260.9651
4,0,0,1,1,5634.3126
4,0,0,1,1,6882.1487
4,0,0,1,1,6224.7226
4,0,0,1,1,7383.6212
4,0,0,1,1,6093.1502
4,0,0,1,1,6093.1502
4,0,0,0,0,5736.0272
4,0,0,0,0,5204.0926
4,0,0,1,1,4868.9494
4,0,0,1,1,5518.8663
4,0,0,0,0,4371.6414
4,0,0,1,0,4416.5719
4,0,0,1,1,5366.5999
4,0,0,0,1,5366.5999
4,0,0,1,1,6295.8234
4,0,0,1,1,4931.3767
4,0,0,0,0,4466.3297
4,0,0,1,1,5001.4223
4,0,0,0,0,6668.5868
4,0,0,0,0,8465.6797
4,0,0,0,0,8465.6797
4,0,0,0,0,2444.6725
4,0,0,0,1,2440.1869
4,0,0,1,0,3583.7675
4,0,0,1,1,3581.3925
4,0,0,1,1,3282.8889
4,0,0,0,0,2440.1869
4,0,0,1,1,2700.7702
4,0,0,1,1,3200.1661
4,0,0,0,0,2358.4072
4,0,0,0,0,2760.4914
4,0,0,0,0,2423.785
4,0,0,0,0,3607.0847
4,0,0,0,0,3766.763
4,0,0,0,0,3310.7399
4,0,0,0,0,3238.2824
4,0,0,0,0,2956.1379
4,0,0,0,0,3483.2481
4,0,0,0,0,2907.4164
4,0,0,0,0,3622.5476
4,0,0,1,1,2297.535
4,0,0,1,1,2417.8731
4,0,0,0,0,3095.5629
4,0,0,0,1,2859.8887
4,0,0,0,0,2664.2675
4,0,0,0,1,3033.8745
4,0,0,1,1,3038.3107
4,0,0,0,0,4021.3747
4,0,0,0,0,2583.3035
4,0,0,1,1,3260.7622
4,0,0,1,1,3520.0081
4,0,0,0,0,2358.4072
4,0,0,1,1,3420.9683
