HRHHID,HRHHID2,PULINENO,HRMONTH,base_year,n_obs,returned
094994203002159,79001,1,1,2005,1.0,0.0
094994203002159,79001,2,1,2005,1.0,0.0
942099909100903,79001,2,1,2005,1.0,0.0
050130560992592,79001,1,1,2005,2.0,1.0
256489350769005,79001,1,1,2005,2.0,0.0
687830557640960,79001,1,1,2005,3.0,0.0
090916405001634,79001,2,1,2005,3.0,0.0
400807987835898,79001,1,1,2005,1.0,0.0
028960490781890,79001,2,1,2005,1.0,1.0
989150183390940,79001,1,1,2005,1.0,0.0
989150183390940,79001,2,1,2005,1.0,0.0
654170419000898,79001,1,1,2005,2.0,1.0
089750157720741,79001,4,1,2005,1.0,0.0
711604025905174,79001,1,1,2005,2.0,0.0
920318097014539,79001,2,1,2005,1.0,0.0
399660425370951,79001,2,1,2005,2.0,0.0
631225036907094,79001,1,1,2005,3.0,0.0
021711530698190,79001,2,1,2005,2.0,0.0
196956802024639,79001,2,1,2005,3.0,0.0
877247360349107,79001,2,1,2005,3.0,1.0
871982096909865,79001,2,1,2005,3.0,0.0
028078104160030,79001,1,1,2005,3.0,0.0
644196549800922,79001,1,1,2005,1.0,0.0
644196549800922,79001,3,1,2005,1.0,0.0
919229450459102,79001,2,1,2005,2.0,0.0
999950986560951,79001,2,1,2005,2.0,0.0
502551035908099,79001,1,1,2005,2.0,0.0
966299969000938,79001,2,1,2005,3.0,0.0
983022814269110,79001,2,1,2005,3.0,0.0
206601632995193,79001,1,1,2005,3.0,0.0
263494306056309,79001,1,1,2005,1.0,0.0
445291329300966,79001,1,1,2005,1.0,0.0
078612630698043,79001,1,1,2005,3.0,0.0
420409916064499,79001,2,1,2005,1.0,0.0
106907642992874,79001,2,1,2005,3.0,0.0
291925306041588,79001,1,1,2005,2.0,0.0
296906100013609,79001,1,1,2005,3.0,0.0
984096943259050,79001,2,1,2005,2.0,0.0
063012670954791,79001,1,1,2005,3.0,0.0
264269959900968,79001,1,1,2005,3.0,0.0
946398559000996,79001,1,1,2005,1.0,0.0
086563630768992,79001,2,1,2005,3.0,0.0
843075026909296,79001,1,1,2005,,
992034979359280,79001,1,1,2005,2.0,0.0
399964502028649,79001,1,1,2005,1.0,0.0
126460560970304,79001,2,1,2005,3.0,0.0
863397919600913,79001,2,1,2005,3.0,1.0
463789015908992,79001,1,1,2005,2.0,0.0
829709560129303,79001,2,1,2005,3.0,0.0
959180163440943,79001,2,1,2005,1.0,0.0
989710186730943,79001,1,1,2005,1.0,0.0
506604454991730,79001,1,1,2005,,
540209953544434,79001,2,1,2005,2.0,0.0
545499889200416,79001,2,1,2005,1.0,0.0
624294034909797,79001,1,1,2005,1.0,0.0
924319094909969,79001,2,1,2005,1.0,0.0
982029750909400,79001,1,1,2005,2.0,0.0
354274066909596,79001,2,1,2005,3.0,0.0
854843006909894,79001,1,1,2005,3.0,0.0
440706979205691,79001,1,1,2005,1.0,0.0
493924700024879,79001,1,1,2005,1.0,0.0
496976106026819,79001,1,1,2005,3.0,0.0
640809912902472,79001,1,1,2005,3.0,0.0
938599150659400,79001,2,1,2005,2.0,0.0
495994709089889,79001,2,1,2005,1.0,0.0
952577119000897,79001,2,1,2005,2.0,0.0
015252086909690,79001,4,1,2005,3.0,0.0
260591359100915,79001,3,1,2005,3.0,0.0
406902645997521,79001,1,1,2005,3.0,0.0
078225510992699,79001,2,1,2005,2.0,0.0
884459160716504,79001,1,1,2005,3.0,0.0
499610005930955,79001,1,1,2005,2.0,1.0
544594839500976,79001,2,1,2005,1.0,0.0
052675460987699,79002,1,1,2005,1.0,0.0
052675460987699,79002,2,1,2005,1.0,0.0
074094609200516,79001,1,2,2005,3.0,0.0
687830557640960,79001,1,2,2005,2.0,0.0
407904900592126,79001,1,2,2005,3.0,0.0
090916405001634,79001,2,2,2005,2.0,0.0
925028918079600,79001,2,2,2005,1.0,0.0
790341007001316,79001,1,2,2005,3.0,1.0
654170419000898,79001,1,2,2005,1.0,1.0
955080461179890,79001,1,2,2005,3.0,0.0
972959370949103,79001,3,2,2005,3.0,0.0
399660425370951,79001,2,2,2005,1.0,0.0
631225036907094,79001,1,2,2005,2.0,0.0
021711530698190,79001,2,2,2005,1.0,0.0
519450301230961,79001,2,2,2005,2.0,0.0
196956802024639,79001,2,2,2005,2.0,0.0
860778094715009,79001,2,2,2005,1.0,1.0
917589470609102,79001,1,2,2005,3.0,0.0
507905171895618,79001,1,2,2005,3.0,0.0
