HRHHID,HRMONTH,HRYEAR4_0,HEFAMINC_0,HRMIS_0,HRHHID2,GESTFIPS_0,PRTAGE_0,PEMARITL_0,PESEX_0,PEEDUCA_0,PTDTRACE_0,PULINENO,PEHSPNON_0,PRCITSHP_0,PEMLR_0,PEHRUSL1_0,PWSSWGT_0,PTIO1OCD_0,employed_0,teacher_0,HRYEAR4_1,HEFAMINC_1,HRMIS_1,GESTFIPS_1,PRTAGE_1,PEMARITL_1,PESEX_1,PEEDUCA_1,PTDTRACE_1,PEHSPNON_1,PRCITSHP_1,PEMLR_1,PEHRUSL1_1,PWSSWGT_1,PTIO1OCD_1,employed_1,teacher_1,still_teacher,leaver,dest
081925080070015,4,2024,14,3,17011,1,50,4,2,46,2,1,2,1,1,60,2792.8889,2310,1,1,2025,13,7,1,51,4,2,46,2,2,1,1,50,3660.9786,2310,1,1,1,0,still teacher
041390057011754,4,2024,13,4,17011,11,33,6,1,43,1,1,2,1,1,38,408.3795,2310,1,1,2025,12,8,11,34,6,1,43,1,2,1,1,40,472.8001,2310,1,1,1,0,still teacher
046459810710113,4,2024,14,2,17011,13,43,1,1,43,1,1,2,1,1,55,3649.4,2320,1,1,2025,14,6,13,45,1,1,43,1,2,1,1,60,3060.649,2310,1,1,1,0,still teacher
046459810710113,4,2024,14,2,17011,13,40,1,2,45,1,2,2,1,1,40,3729.7699,2330,1,1,2025,14,6,13,42,1,2,45,1,2,1,1,50,3422.4335,2330,1,1,1,0,still teacher
070171099071430,4,2024,16,3,17011,13,63,3,2,43,1,1,2,1,1,40,4443.545,2310,1,1,2025,16,7,13,64,3,2,43,1,2,1,1,40,2911.9663,2310,1,1,1,0,still teacher
062033062915757,4,2024,13,4,17011,25,48,1,2,44,1,2,2,1,1,40,3083.3283,2310,1,1,2025,14,8,25,49,1,2,44,1,2,1,1,40,3224.9358,2310,1,1,1,0,still teacher
823455993010016,4,2024,16,2,17011,33,69,1,2,43,1,2,2,1,1,14,891.6842,2310,1,1,2025,15,6,33,70,1,2,43,1,2,1,1,20,906.9238,2360,1,0,0,1,other occupation
170143200357163,4,2024,15,2,17011,33,39,4,2,44,1,1,2,1,1,40,883.0052,2310,1,1,2025,15,6,33,40,4,2,44,1,2,1,1,40,844.9114,2300,1,1,1,0,still teacher
460554081301928,4,2024,16,3,17011,34,32,6,2,43,1,3,2,1,1,40,3532.4237,2310,1,1,2025,13,7,34,33,6,2,43,1,2,1,1,35,3835.0587,2310,1,1,1,0,still teacher
867723033070012,4,2024,13,2,17011,37,32,6,2,44,2,3,2,1,1,40,6292.1386,2310,1,1,2025,13,6,37,33,6,2,39,2,2,1,1,37,4610.3084,2545,1,0,0,1,other occupation
043119018219227,4,2024,13,1,17011,39,33,1,2,43,1,1,2,1,1,40,3932.7368,2310,1,1,2025,15,5,39,34,1,2,43,1,2,1,1,40,4522.3479,2555,1,0,0,1,other occupation
190692300931193,4,2024,16,3,17011,39,57,1,2,44,1,1,2,1,1,40,3521.3726,2310,1,1,2025,16,7,39,59,1,2,44,1,2,1,1,40,3661.5498,2310,1,1,1,0,still teacher
190692300931193,4,2024,16,3,17011,39,25,6,2,43,1,3,2,1,1,40,4434.3265,2310,1,1,2025,16,7,39,26,6,2,43,1,2,1,1,40,4823.8324,2310,1,1,1,0,still teacher
626050107900466,4,2024,16,2,17011,42,54,1,2,43,1,2,2,1,1,40,4733.9256,2310,1,1,2025,16,6,42,55,1,2,43,1,2,1,1,40,4378.5531,2310,1,1,1,0,still teacher
392135034020015,4,2024,16,2,17011,42,46,1,2,44,1,2,2,1,1,40,4436.5037,2310,1,1,2025,16,6,42,47,1,2,44,1,2,1,1,40,4408.5448,2310,1,1,1,0,still teacher
242706012795380,4,2024,6,4,17011,42,61,6,2,42,2,1,2,1,1,40,6099.9326,2300,1,1,2025,10,8,42,63,6,2,42,2,2,1,1,38,8478.453,3603,1,0,0,1,other occupation
194537104040115,4,2024,14,4,17011,44,45,1,1,43,1,2,2,1,1,40,1124.2942,2310,1,1,2025,15,8,44,47,1,1,43,1,2,1,1,40,937.6427,2320,1,1,1,0,still teacher
007110536000622,4,2024,15,1,17011,51,38,1,2,43,4,2,2,5,2,40,4036.4522,2310,1,1,2025,15,5,51,39,1,2,43,4,2,5,1,40,5568.944,2310,1,1,1,0,still teacher
110699300442605,4,2024,14,4,17011,54,28,1,2,43,1,1,1,1,1,40,1039.0479,2310,1,1,2025,15,8,54,29,1,2,43,1,1,1,1,40,961.1149,2300,1,1,1,0,still teacher
110435783091141,4,2024,12,1,17011,54,47,6,2,44,1,1,2,1,1,40,856.7368,2310,1,1,2025,13,5,54,48,6,2,44,1,2,1,1,40,881.7151,2310,1,1,1,0,still teacher
270361091003113,4,2024,14,4,17111,1,49,4,2,44,1,1,2,1,1,40,2471.1862,2310,1,1,2025,12,8,1,50,4,2,44,1,2,1,1,40,1948.1575,2310,1,1,1,0,still teacher
119040101120031,4,2024,12,1,17111,1,39,1,2,42,1,2,2,1,1,40,2376.3954,2330,1,1,2025,14,5,1,40,1,2,41,1,2,1,1,40,2835.1358,2310,1,1,1,0,still teacher
112070105599087,4,2024,13,2,17111,1,55,6,2,44,1,1,2,1,2,40,2361.2749,2310,1,1,2025,13,6,1,56,6,2,44,1,2,1,1,40,1964.2766,2310,1,1,1,0,still teacher
012705012495600,4,2024,16,3,17111,10,39,1,2,44,1,2,2,1,1,50,970.0168,2310,1,1,2025,13,7,10,40,1,2,44,1,2,1,1,-4,783.8836,2320,1,1,1,0,still teacher
550080105856291,4,2024,13,2,17111,25,48,2,2,44,1,1,2,1,1,40,3262.3585,2320,1,1,2025,16,6,25,49,2,2,44,1,2,1,1,40,3516.2937,2310,1,1,1,0,still teacher
110521700583442,4,2024,16,3,17111,25,27,6,2,44,1,2,2,1,1,40,3630.0879,2310,1,1,2025,16,7,25,29,6,2,44,1,2,1,1,40,3490.3922,2310,1,1,1,0,still teacher
827607011729100,4,2024,15,4,17111,28,54,1,2,43,1,1,2,1,1,40,1891.2833,2310,1,1,2025,15,8,28,55,1,2,43,1,2,1,1,40,1411.0424,2310,1,1,1,0,still teacher
140037600842072,4,2024,15,2,17111,28,39,1,2,44,1,2,2,1,1,40,2072.0479,2310,1,1,2025,16,6,28,40,1,2,44,1,2,1,1,40,1347.664,2310,1,1,1,0,still teacher
331500508245827,4,2024,11,1,17111,28,25,6,2,43,2,1,2,1,1,40,2613.008,2320,1,1,2025,11,5,28,26,6,2,43,2,2,1,1,40,2468.5901,2320,1,1,1,0,still teacher
157317884050015,4,2024,13,2,17111,47,65,4,2,43,1,1,2,1,1,60,3131.0602,2310,1,1,2025,13,6,47,66,4,2,43,1,2,1,5,-1,2827.8826,-1,0,0,0,1,out of labor force
480524041503175,4,2024,12,2,17111,54,48,1,2,42,1,3,2,1,1,40,749.4456,2320,1,1,2025,15,6,54,49,1,2,42,1,2,1,1,40,577.6064,2310,1,1,1,0,still teacher
301140585916021,4,2024,16,1,17111,54,26,6,1,43,1,3,2,3,1,40,973.7069,2320,1,1,2025,16,5,54,27,6,1,43,1,2,3,1,40,945.759,2310,1,1,1,0,still teacher
001110006206302,4,2024,14,3,17011,1,32,1,2,44,1,2,2,1,1,40,2119.5532,2310,1,1,2025,15,7,1,34,1,2,44,1,2,1,1,40,1949.0137,2310,1,1,1,0,still teacher
006745310302154,4,2024,14,3,17011,4,41,1,1,44,1,1,2,1,1,50,4486.8248,2310,1,1,2025,15,7,4,42,1,1,44,1,2,1,1,50,6166.0965,2310,1,1,1,0,still teacher
006745310302154,4,2024,14,3,17011,4,39,1,2,43,1,2,2,1,1,50,4286.6854,2310,1,1,2025,15,7,4,40,1,2,43,1,2,1,1,50,4750.3826,2310,1,1,1,0,still teacher
091800804862607,4,2024,14,2,17011,6,43,1,2,44,4,2,2,5,1,25,4777.1287,2310,1,1,2025,15,6,6,44,1,2,44,4,2,5,1,40,4797.7057,2310,1,1,1,0,still teacher
013908016035110,4,2024,15,3,17011,10,61,6,1,43,1,1,2,1,1,40,683.071,2330,1,1,2025,16,7,10,62,6,1,43,1,2,1,1,40,1023.7428,1220,1,0,0,1,other occupation
108120109115752,4,2024,13,2,17011,12,28,1,2,39,1,3,1,5,1,40,4310.6768,2300,1,1,2025,14,6,12,30,1,2,43,1,1,5,1,40,5550.9161,2360,1,0,0,1,other occupation
041289045317688,4,2024,15,4,17012,17,32,1,2,43,1,2,2,1,1,40,5235.5779,2310,1,1,2025,15,8,17,33,1,2,43,1,2,1,1,40,6342.765,2310,1,1,1,0,still teacher
719606311407750,4,2024,15,4,17011,17,37,1,2,44,1,2,2,4,1,40,3716.1525,2310,1,1,2025,16,8,17,38,1,2,44,1,2,4,1,40,5085.2572,2310,1,1,1,0,still teacher
578955401060010,4,2024,15,3,17011,18,30,1,2,43,1,2,2,1,1,40,5643.4046,2310,1,1,2025,14,7,18,32,1,2,43,1,2,1,1,40,5025.9764,2310,1,1,1,0,still teacher
541600407404126,4,2024,13,4,17011,21,56,1,2,44,1,2,2,1,1,40,4042.2573,2310,1,1,2025,13,8,21,57,1,2,44,1,2,1,1,40,3335.5344,2310,1,1,1,0,still teacher
540212729081710,4,2024,10,2,17011,21,24,6,2,43,1,1,2,1,1,40,4257.9289,2310,1,1,2025,9,6,21,25,6,2,43,1,2,1,1,36,4399.0859,2310,1,1,1,0,still teacher
