code,label,n_asec_PEIOOCC,n_monthly_2005_07
10,Chief executives,8070.0,27837.0
20,General and operations managers,5615.0,16194.0
40,Advertising and promotions managers,270.0,1127.0
50,(sin etiqueta limpia — código SOC 11-2020),2316.0,13547.0
51,Marketing managers,1448.0,
52,Sales managers,1463.0,
60,Public relations and fundraising managers,572.0,1021.0
100,(sin etiqueta limpia — código SOC 11-3011),387.0,1569.0
101,Administrative services managers,193.0,
102,Facilities managers,369.0,
110,Computer and information systems managers,3254.0,6617.0
120,Financial managers,6431.0,18177.0
130,,,4616.0
135,Compensation and benefits managers,89.0,
136,Human resources managers,1524.0,
137,Training and development managers,301.0,
140,Industrial production managers,1431.0,4644.0
150,Purchasing managers,1036.0,2900.0
160,"Transportation, storage, and distribution managers",1578.0,3955.0
200,,,4843.0
205,"Farmers, ranchers, and other agricultural managers",5770.0,
210,,,19473.0
220,Construction managers,4912.0,17532.0
230,Education and childcare administrators,5136.0,13681.0
300,Architectural and engineering managers,810.0,1641.0
310,Food service managers,5966.0,15549.0
320,,,799.0
330,(sin etiqueta limpia — código SOC 11-9071),55.0,278.0
335,Entertainment and recreation managers,167.0,
340,Lodging managers,783.0,3170.0
350,Medical and health services managers,3768.0,8646.0
360,Natural sciences managers,123.0,211.0
410,"Property, real estate, and community association managers",3834.0,10361.0
420,Social and community service managers,2551.0,6370.0
425,Emergency management directors,73.0,
430,(sin etiqueta limpia — código SOC 11-9199),10532.0,57949.0
440,"Managers, all other",15098.0,
500,"Agents and business managers of artists, performers, and athletes",226.0,709.0
510,"Buyers and purchasing agents, farm products",64.0,190.0
520,"Wholesale and retail buyers, except farm products",975.0,3422.0
530,"Purchasing agents, except wholesale, retail, and farm products",1277.0,4786.0
540,"Claims adjusters, appraisers, examiners, and investigators",1599.0,4849.0
560,,,2476.0
565,Compliance officers,1519.0,
600,Cost estimators,651.0,1908.0
620,,,12636.0
630,Human resources workers,4057.0,
640,"Compensation, benefits, and job analysis specialists",325.0,
650,Training and development specialists,751.0,
700,Logisticians,693.0,776.0
705,Project management specialists,2209.0,
710,Management analysts,4955.0,10051.0
720,,,609.0
725,"Meeting, convention, and event planners",734.0,
726,Fundraisers,497.0,
730,,,3766.0
735,Market research analysts and marketing specialists,1865.0,
740,(sin etiqueta limpia — código SOC 13-1199),629.0,
750,"Business operations specialists, all other",1346.0,
800,Accountants and auditors,8351.0,28467.0
810,Property appraisers and assessors,428.0,2157.0
820,Budget analysts,293.0,941.0
830,Credit analysts,154.0,607.0
840,(sin etiqueta limpia — código SOC 13-2051),611.0,1573.0
845,Financial and investment analysts,912.0,
850,Personal financial advisors,2456.0,6086.0
860,Insurance underwriters,504.0,1731.0
900,Financial examiners,80.0,145.0
910,Credit counselors and loan officers,1918.0,7508.0
930,"Tax examiners and collectors, and revenue agents",331.0,1139.0
940,Tax preparers,702.0,1800.0
950,(sin etiqueta limpia — código SOC 13-2099),130.0,748.0
960,Other financial specialists,248.0,
1000,,,12083.0
1005,Computer and information research scientists,134.0,
1006,Computer systems analysts,2563.0,
1007,Information security analysts,701.0,
1010,Computer programmers,2046.0,8699.0
1020,(sin etiqueta limpia — código SOC 15-113X),3248.0,13255.0
1021,Software developers,5084.0,
1022,Software quality assurance analysts and testers,201.0,
1030,(sin etiqueta limpia — código SOC 15-1134),426.0,
1031,Web developers,226.0,
1032,Web and digital interface designers,221.0,
1040,,,5533.0
1050,Computer support specialists,2987.0,
