codes,age,educ,rate,n
core,age 18+,all educ,7.19,29905
core,age 18+,BA+,6.01,26134
core,age 21-64,all educ,5.93,27904
core,age 21-64,BA+,4.84,24564
core,age 25-64,all educ,5.75,26877
core,age 25-64,BA+,4.71,23896
+2340,age 18+,all educ,7.3,32119
+2340,age 18+,BA+,6.06,27408
+2340,age 21-64,all educ,5.94,29695
+2340,age 21-64,BA+,4.84,25653
+2340,age 25-64,all educ,5.63,28468
+2340,age 25-64,BA+,4.67,24931
+2350/60,age 18+,all educ,8.71,32839
+2350/60,age 18+,BA+,6.92,27920
+2350/60,age 21-64,all educ,7.24,30298
+2350/60,age 21-64,BA+,5.62,26087
+2350/60,age 25-64,all educ,6.81,29021
+2350/60,age 25-64,BA+,5.41,25356
