asec_year,group,n,left_occ,left_field
2022,Teachers,2680,6.26,5.91
2022,Registered nurses,1718,6.16,3.99
2022,Pharmacists,167,10.25,5.81
2022,Physical therapists,136,16.4,3.48
2022,Physicians,498,8.71,3.69
2022,Lawyers,596,2.95,2.72
2022,Accountants and auditors,712,6.57,5.62
2022,Social workers,411,15.04,4.98
2023,Teachers,2688,7.09,6.66
2023,Registered nurses,1697,7.81,5.22
2023,Pharmacists,166,10.46,4.35
2023,Physical therapists,157,9.08,1.43
2023,Physicians,482,7.56,2.58
2023,Lawyers,559,4.85,4.37
2023,Accountants and auditors,640,4.56,4.56
2023,Social workers,404,19.14,6.6
2024,Teachers,2541,6.82,6.38
2024,Registered nurses,1761,8.63,5.6
2024,Pharmacists,153,9.4,1.07
2024,Physical therapists,147,9.59,2.61
2024,Physicians,460,8.67,3.55
2024,Lawyers,540,5.82,5.55
2024,Accountants and auditors,736,5.7,5.2
2024,Social workers,355,13.25,6.49
