cohort,group,rate,n
1940,Men,30.25,440
1940,Women,34.86,1251
1945,Men,27.39,1616
1945,Women,24.98,4537
1950,Men,21.35,2787
1950,Women,21.38,9232
1955,Men,17.51,2903
1955,Women,16.33,10559
1960,Men,16.22,3195
1960,Women,14.39,11358
1965,Men,11.04,3533
1965,Women,12.82,12298
1970,Men,11.98,4221
1970,Women,11.75,13602
1975,Men,11.45,3894
1975,Women,12.39,12813
1980,Men,11.79,3448
1980,Women,13.63,11682
1985,Men,12.67,1982
1985,Women,13.99,7065
1990,Men,17.59,1064
1990,Women,16.94,3708
1995,Women,18.08,1374
1950,Women with children,16.46,819
1955,Women with children,12.25,2373
1960,Women with children,10.88,4579
1965,Women with children,11.05,7332
1970,Women with children,11.03,9488
1975,Women with children,12.0,8876
1980,Women with children,13.02,6723
1985,Women with children,12.84,3298
1990,Women with children,19.52,1063
