base_year,band,sector_leaver,n
2005,under 35,8.345,1231.0
2005,35-49,6.128,2060.0
2005,50+,10.267,2053.0
2006,under 35,9.475,1249.0
2006,35-49,5.295,1994.0
2006,50+,10.129,1922.0
2007,under 35,6.074,1333.0
2007,35-49,5.796,2130.0
2007,50+,8.565,2073.0
2008,under 35,7.064,1349.0
2008,35-49,4.765,2022.0
2008,50+,8.865,2076.0
2009,under 35,6.302,1336.0
2009,35-49,4.95,1984.0
2009,50+,10.586,2054.0
2010,under 35,7.76,1295.0
2010,35-49,4.163,2157.0
2010,50+,11.219,1951.0
2011,under 35,5.975,1225.0
2011,35-49,4.043,1979.0
2011,50+,13.189,1810.0
2012,under 35,6.511,1248.0
2012,35-49,4.736,2048.0
2012,50+,15.325,1708.0
2013,under 35,4.788,1055.0
2013,35-49,4.917,1907.0
2013,50+,12.847,1667.0
2014,under 35,6.054,971.0
2014,35-49,4.356,1830.0
2014,50+,12.017,1573.0
2015,under 35,6.835,1103.0
2015,35-49,4.956,1943.0
2015,50+,12.308,1641.0
2016,under 35,8.202,1047.0
2016,35-49,6.034,2124.0
2016,50+,12.02,1665.0
2017,under 35,5.134,1021.0
2017,35-49,6.35,2013.0
2017,50+,13.043,1486.0
2018,under 35,8.146,1027.0
2018,35-49,4.517,1999.0
2018,50+,12.512,1458.0
2019,under 35,9.062,985.0
2019,35-49,7.035,1866.0
2019,50+,15.641,1547.0
2020,under 35,9.461,747.0
2020,35-49,6.713,1559.0
2020,50+,12.125,1192.0
2021,under 35,8.118,703.0
2021,35-49,6.596,1601.0
2021,50+,10.413,1162.0
2022,under 35,7.754,730.0
2022,35-49,5.632,1518.0
2022,50+,11.832,1313.0
2023,under 35,7.814,713.0
2023,35-49,4.153,1491.0
2023,50+,11.991,1250.0
2024,under 35,7.087,603.0
2024,35-49,5.136,1246.0
2024,50+,12.228,992.0
