base_year,sector_leaver,class_leaver,n,wedge,ret_all
2005,8.171,11.118,5344.0,2.947,15.6
2006,8.113,11.409,5165.0,3.296,16.48
2007,6.83,9.096,5536.0,2.266,15.96
2008,6.901,9.775,5447.0,2.874,14.92
2009,7.36,10.204,5374.0,2.844,15.27
2010,7.413,10.728,5403.0,3.315,16.55
2011,7.752,10.702,5014.0,2.95,16.14
2012,8.568,12.139,5004.0,3.571,13.43
2013,7.597,11.644,4629.0,4.047,14.39
2014,7.322,11.183,4374.0,3.861,17.51
2015,7.9,11.256,4687.0,3.356,18.11
2016,8.457,12.389,4836.0,3.932,16.02
2017,8.102,11.212,4520.0,3.11,17.28
2018,7.919,11.492,4484.0,3.573,17.88
2019,10.433,13.983,4398.0,3.551,20.78
2020,9.103,13.429,3498.0,4.326,12.99
2021,8.128,12.35,3466.0,4.221,15.62
2022,8.259,11.672,3561.0,3.413,17.85
2023,7.596,11.429,3454.0,3.833,14.49
2024,7.919,13.26,2841.0,5.341,16.57
