base_year,other occupation,other/unknown,out of labor force,still teacher,unemployed
2005,8.01,0.01,4.7,86.64,0.64
2006,8.85,,4.89,85.76,0.5
2007,7.49,0.01,4.48,87.41,0.61
2008,7.93,,4.18,86.74,1.15
2009,7.95,,4.6,86.49,0.95
2010,8.44,,4.59,86.04,0.93
2011,7.99,,5.59,85.21,1.21
2012,7.84,,5.28,85.55,1.33
2013,9.49,,4.78,84.95,0.78
2014,9.81,0.05,4.74,84.67,0.74
2015,9.67,,4.77,84.57,0.99
2016,10.97,0.01,4.24,83.83,0.96
2017,9.58,,5.08,84.29,1.06
2018,9.73,,4.9,84.42,0.95
2019,10.3,0.01,5.53,81.42,2.74
2020,11.44,0.0,4.48,83.29,0.79
2021,10.72,,4.35,84.05,0.88
2022,12.2,0.02,4.85,81.81,1.12
2023,11.03,0.02,4.93,83.1,0.92
2024,11.66,,5.07,82.37,0.9
