base_year,teachers_t_w,teachers_t1_w,leavers_w,entrants_w,links_w,n_teachers,entry_rate,exit_rate
2005,20459940.489,20685786.664,3236420.945,3202922.469,935880498.648,9989,15.484,15.818
2006,20226819.453,20747210.55,3259789.119,3436373.809,933660403.485,9711,16.563,16.116
2007,22323606.191,22894278.273,3310336.673,3791520.998,975463308.402,10378,16.561,14.829
2008,22308142.219,22133937.676,3389558.31,3331934.061,997670091.456,10179,15.054,15.194
2009,21889178.62,21770093.76,3485569.586,3202050.337,1009097450.947,10146,14.708,15.924
2010,22500430.594,22475730.337,3555241.26,3273756.254,996007163.518,10323,14.566,15.801
2011,20790818.117,21013461.694,3549080.239,3503600.061,1040738222.921,9518,16.673,17.07
2012,21364280.264,21731421.263,3622426.096,3743352.456,1051826403.67,9556,17.226,16.956
2013,20631915.413,20960933.643,3627071.98,3918512.43,1008208640.578,9081,18.694,17.58
2014,19551998.212,20029739.526,3400248.823,3674238.577,936726661.335,8526,18.344,17.391
2015,21580002.304,21952155.714,3926229.197,4025177.087,1050092994.328,9146,18.336,18.194
2016,22011394.107,22138797.633,3974253.241,4124572.833,1070360167.902,9310,18.631,18.055
2017,21981228.199,22310794.201,4056891.188,4005229.368,1071351657.468,8926,17.952,18.456
2018,22905545.278,23593876.754,4061853.088,4292058.225,1084040032.032,8885,18.191,17.733
2019,22241575.17,23257546.74,4839330.713,3949107.922,1052725330.218,8351,16.98,21.758
2020,20519148.231,20555023.954,3781043.109,3894269.301,1024359307.208,6896,18.946,18.427
2021,20001057.352,21462747.428,3585325.309,4070194.815,1032286008.15,6703,18.964,17.926
2022,21837774.003,21704167.029,4300351.044,3781231.379,1065786958.026,6848,17.422,19.692
2023,21792251.539,22073794.089,4202908.564,4432487.756,1087088987.157,6677,20.08,19.286
2024,18974537.715,19053221.633,3847601.776,3169421.679,982924474.308,5723,16.635,20.278
