year,unemp_ba,quits_private,ahe,cpi,real_ahe,real_wage_growth,sector_leaver,class_leaver
2006,2.025,2.458,20.306,201.558,0.101,,8.113,11.409
2007,2.025,2.375,20.908,207.344,0.101,0.089,6.83,9.096
2008,2.558,2.075,21.566,215.254,0.1,-0.642,6.901,9.775
2009,4.608,1.525,22.171,214.565,0.103,3.136,7.36,10.204
2010,4.708,1.608,22.579,218.076,0.104,0.202,7.413,10.728
2011,4.308,1.692,23.03,224.923,0.102,-1.108,7.752,10.702
2012,4.025,1.733,23.468,229.586,0.102,-0.17,8.568,12.139
2013,3.7,1.883,23.961,232.952,0.103,0.627,7.597,11.644
2014,3.175,2.042,24.46,236.715,0.103,0.46,7.322,11.183
2015,2.567,2.225,25.011,237.002,0.106,2.128,7.9,11.256
2016,2.508,2.3,25.652,240.005,0.107,1.282,8.457,12.389
2017,2.325,2.392,26.309,245.121,0.107,0.419,8.102,11.212
2018,2.133,2.508,27.103,251.1,0.108,0.563,7.919,11.492
2019,2.108,2.575,27.998,255.653,0.11,1.466,10.433,13.983
2020,4.833,2.325,29.36,258.856,0.113,3.566,9.103,13.429
2021,3.058,3.033,30.613,270.973,0.113,-0.394,8.128,12.35
2022,1.983,3.067,32.258,292.626,0.11,-2.424,8.259,11.672
2023,2.067,2.625,33.696,304.703,0.111,0.316,7.596,11.429
2024,2.317,2.308,35.058,313.698,0.112,1.058,7.919,13.26
2025,2.627,2.217,36.442,321.962,0.113,1.283,,
