year,teacher_nominal,n,cpi,ba_nominal,all_real82,teacher_real,teacher_idx,ba_real,ba_idx,all_idx
2005,865.38,2161.0,195.27,1013.0,333.25,1426.87,97.62,1670.27,98.91,97.3
2006,884.61,3894.0,201.56,1039.75,333.0,1413.04,96.68,1660.86,98.36,97.23
2007,923.07,4023.0,207.34,1074.0,335.0,1433.33,98.07,1667.7,98.76,97.81
2008,961.53,4125.0,215.25,1114.75,335.5,1438.19,98.4,1667.36,98.74,97.96
2009,961.53,3978.0,214.56,1136.0,344.5,1442.81,98.71,1704.61,100.95,100.58
2010,990.0,4007.0,218.08,1143.75,342.5,1461.61,100.0,1688.6,100.0,100.0
2011,1000.0,3874.0,224.92,1150.25,336.25,1431.43,97.94,1646.5,97.51,98.18
2012,1000.0,3761.0,229.59,1165.0,334.25,1402.36,95.95,1633.75,96.75,97.59
2013,1002.0,3710.0,232.95,1193.75,333.5,1384.86,94.75,1649.88,97.71,97.37
2014,1038.46,3471.0,236.72,1195.0,334.25,1412.44,96.64,1625.35,96.25,97.59
2015,1057.69,3483.0,237.0,1229.0,341.5,1436.85,98.31,1669.57,98.87,99.71
2016,1076.92,3615.0,240.01,1258.75,346.75,1444.66,98.84,1688.59,100.0,101.24
2017,1076.92,3601.0,245.12,1279.75,350.75,1414.51,96.78,1680.93,99.55,102.41
2018,1076.92,3549.0,251.1,1318.5,352.75,1380.84,94.47,1690.59,100.12,102.99
2019,1153.0,3434.0,255.65,1368.0,358.75,1452.06,99.35,1722.82,102.03,104.74
2020,1153.84,3170.0,258.86,1420.0,380.25,1435.13,98.19,1766.18,104.59,111.02
2021,1200.0,2884.0,270.97,1451.25,368.5,1425.8,97.55,1724.33,102.12,107.59
2022,1250.0,2806.0,292.63,1543.75,361.75,1375.31,94.1,1698.51,100.59,105.62
2023,1269.23,2704.0,304.7,1609.25,366.25,1341.12,91.76,1700.4,100.7,106.93
2024,1346.0,2468.0,313.7,1691.5,369.75,1381.46,94.52,1736.06,102.81,107.96
2025,1380.0,1064.0,321.96,1744.33,373.67,1380.0,94.42,1744.33,103.3,109.1
