variable,surveys_covered,n_nonmissing
PERIDNUM,2003-2025,4265438
WGT,1998-2025,5009129
teacher,1998-2025,5009129
leaver,1998-2025,5009129
switch,1998-2025,5009129
unemp,1998-2025,5009129
leftlf,1998-2025,5009129
OCCUP,1998-2025,5009129
PEIOOCC,1998-2025,5009129
A_AGE,1998-2025,5009129
A_LFSR,1998-2025,5009129
female,1998-2025,5009129
black,1998-2025,5009129
married,1998-2025,5009129
A_MARITL,1998-2025,5009129
A_HGA,1998-2025,5009129
ba_plus,1998-2025,5009129
ma_plus,1998-2025,5009129
n_children,1998-2025,5009129
child_u6,1998-2025,5009129
new_baby,1998-2025,5009129
pension,1998-2025,5009129
parttime_ly,1998-2025,5009129
fullyear,1998-2025,5009129
public_ly,1998-2025,5009129
cur_parttime,1998-2010,2423332
cur_public,1998-2010,2423332
WSAL_VAL,1998-2025,5009129
PEARNVAL,1998-2010,2423332
WKSWORK,1998-2025,5009129
HRSWK,1998-2025,5009129
PH_SEQ,1998-2025,5009129
A_LINENO,1998-2025,5009129
