,AME_B_persistent,AME_A_12month
age,-1.1207,-1.3086
age2,1.4738,1.7055
female,-1.1284,-0.9908
married,1.3952,1.5296
n_children,-1.036,-0.9901
child_u6,-0.7611,-1.1017
fem_child_u6,1.5124,2.0853
new_baby,-0.0065,0.1426
fem_newbaby,3.771,5.1172
black,5.4585,6.133
hispanic,2.0162,1.8756
noncitizen,5.3082,5.4526
ma_plus,-0.7434,-0.9525
prof_phd,5.7041,6.0996
hours_missing,6.9015,8.7935
multjob,0.9169,0.9176
public,-6.5269,-6.8498
faminc75k,-2.2411,-2.2783
midwest,-1.74,-1.7362
south,0.4719,0.2868
west,-0.283,-0.3489
secondary,-0.8285,-0.8621
special_ed,1.3631,1.0228
