,AME,se,z,p
parttime,0.14456,0.00415,34.85555,0.0
age2,0.02006,0.00091,22.01899,0.0
hours_missing,0.09104,0.00451,20.19519,0.0
age,-0.01592,0.00085,-18.81629,0.0
black,0.06531,0.00567,11.52056,0.0
faminc75k,-0.02677,0.00361,-7.4091,0.0
preschool_kg,0.0396,0.00553,7.16403,0.0
noncitizen,0.08014,0.01142,7.01949,0.0
C(base_year)[T.2019],0.05605,0.00854,6.5645,0.0
C(base_year)[T.2022],0.05109,0.00927,5.51189,0.0
C(base_year)[T.2023],0.04502,0.00933,4.82713,0.0
C(base_year)[T.2020],0.03868,0.00916,4.22195,2e-05
ma_plus,-0.01254,0.00302,-4.14685,3e-05
C(base_year)[T.2024],0.03619,0.00944,3.83386,0.00013
C(base_year)[T.2015],0.02802,0.00848,3.3038,0.00095
C(base_year)[T.2016],0.0249,0.00861,2.89287,0.00382
C(base_year)[T.2021],0.02635,0.00937,2.81088,0.00494
secondary,-0.00938,0.00371,-2.52837,0.01146
C(base_year)[T.2017],0.02029,0.00862,2.35449,0.01855
special_ed,0.01286,0.00556,2.31288,0.02073
hispanic,0.01365,0.00617,2.21321,0.02688
married,0.00775,0.00359,2.15799,0.03093
C(base_year)[T.2018],0.01807,0.0088,2.05344,0.04003
C(base_year)[T.2014],0.01683,0.00879,1.91457,0.05555
C(base_year)[T.2013],0.01564,0.00871,1.79627,0.07245
female,-0.00621,0.00363,-1.71116,0.08705
C(base_year)[T.2012],0.01071,0.00858,1.24759,0.21218
C(base_year)[T.2007],-0.00726,0.00841,-0.86351,0.38786
C(base_year)[T.2008],-0.00653,0.0086,-0.75939,0.44762
C(base_year)[T.2009],-0.00601,0.00845,-0.71132,0.47689
C(base_year)[T.2011],0.0061,0.00865,0.7057,0.48038
C(base_year)[T.2006],-0.0004,0.0084,-0.04761,0.96203
C(base_year)[T.2010],6e-05,0.00852,0.00714,0.99431
