,stayer,leaver,diff
age,44.1167,47.4991,3.3823
age2,20.7697,24.4122,3.6425
female,0.7708,0.7742,0.0033
married,0.7373,0.712,-0.0253
n_children,0.8644,0.6483,-0.216
child_u6,0.1853,0.1367,-0.0486
fem_child_u6,0.1339,0.1059,-0.028
black,0.0579,0.0905,0.0326
hispanic,0.0587,0.0634,0.0046
noncitizen,0.0125,0.0243,0.0118
ma_plus,0.5284,0.4862,-0.0422
prof_phd,0.0232,0.0432,0.02
parttime,0.0734,0.1943,0.1209
hours_missing,0.0522,0.0906,0.0384
multjob,0.087,0.0985,0.0115
public,0.813,0.6712,-0.1418
faminc75k,0.7601,0.7008,-0.0593
midwest,0.2359,0.2052,-0.0308
south,0.3227,0.3442,0.0214
west,0.2219,0.2256,0.0036
preschool_kg,0.071,0.1044,0.0334
secondary,0.2396,0.2117,-0.0279
special_ed,0.0791,0.083,0.0039
