base_year,attr12_all,attrp_all,attrp_f,attrp_m,ret_all,ret_f,ret_m,n,nB,n_lv_obs
2005,13.36,11.48,11.2,12.36,15.6,15.08,17.09,8418,6255,831
2006,14.24,12.18,11.73,13.45,16.48,18.17,12.01,8203,6134,818
2007,12.59,10.62,10.08,12.17,15.96,18.42,9.25,8822,6541,817
2008,13.26,11.2,10.59,12.83,14.92,15.97,12.56,8602,6387,806
2009,13.51,11.53,11.06,12.86,15.27,15.81,13.95,8439,6310,815
2010,13.96,11.72,11.9,11.2,16.55,16.51,16.69,8720,6485,874
2011,14.79,12.55,12.38,13.07,16.14,16.9,13.94,7967,5948,821
2012,14.45,12.89,12.96,12.68,13.43,14.07,11.49,8091,6016,844
2013,15.05,13.05,12.3,15.13,14.39,17.22,7.43,7638,5651,821
2014,15.33,12.89,11.9,15.69,17.51,17.22,18.13,7203,5390,833
2015,15.43,12.47,12.82,11.45,18.11,17.73,19.38,7651,5662,877
2016,16.17,13.92,14.11,13.39,16.02,16.18,15.55,7823,5801,923
2017,15.71,12.98,12.84,13.4,17.28,18.99,11.82,7599,5652,828
2018,15.58,12.91,12.33,14.76,17.88,19.09,14.54,7485,5530,813
2019,18.58,15.55,15.78,14.83,20.78,21.09,19.75,7199,5359,983
2020,16.71,14.8,14.95,14.37,12.99,11.46,17.4,6039,4361,715
2021,15.95,13.28,14.11,10.84,15.62,14.98,18.05,5795,4288,623
2022,18.19,15.4,14.78,17.2,17.85,20.48,10.75,6007,4427,790
2023,16.9,14.66,14.87,14.09,14.49,14.89,13.26,5776,4321,736
2024,17.63,15.36,14.2,18.78,16.57,16.35,17.05,4913,3612,515
