group,sex,outcome,ame,se,p,n,babies
Teachers,Women,leave,5.394,1.029,0.0,134873,3212
Teachers,Women,leave_field,6.185,0.893,0.0,134873,3212
Teachers,Women,dest_occ,-3.401,0.967,0.0,134873,3212
Teachers,Women,dest_olf,6.91,0.519,0.0,134873,3212
Teachers,Men,leave,0.104,2.004,0.959,39999,994
Teachers,Men,leave_field,0.328,1.79,0.855,39999,994
Teachers,Men,dest_occ,-0.703,1.739,0.686,39999,994
Teachers,Men,dest_olf,1.169,1.052,0.267,39999,994
Registered nurses,Women,leave,-0.507,1.635,0.757,67514,1599
Registered nurses,Women,leave_field,0.262,1.506,0.862,67514,1599
Registered nurses,Women,dest_occ,-4.446,1.621,0.006,67514,1599
Registered nurses,Women,dest_olf,3.037,0.666,0.0,67514,1599
Registered nurses,Men,leave,-2.682,4.947,0.588,7646,195
Registered nurses,Men,leave_field,-3.481,4.648,0.454,7646,195
Registered nurses,Men,dest_occ,-2.414,4.77,0.613,7646,195
Registered nurses,Men,dest_olf,0.448,1.419,0.752,7646,195
Social workers,Women,leave,-1.915,4.143,0.644,18961,415
Social workers,Women,leave_field,-2.264,3.924,0.564,18961,415
Social workers,Women,dest_occ,-11.713,4.152,0.005,18961,415
Social workers,Women,dest_olf,6.085,1.287,0.0,18961,415
Accountants and auditors,Women,leave,2.075,3.397,0.541,28194,636
Accountants and auditors,Women,leave_field,0.821,3.28,0.802,28194,636
Accountants and auditors,Women,dest_occ,-0.624,3.276,0.849,28194,636
Accountants and auditors,Women,dest_olf,2.786,1.135,0.014,28194,636
Accountants and auditors,Men,leave,-7.493,4.416,0.09,21479,365
Accountants and auditors,Men,leave_field,-6.635,4.18,0.112,21479,365
Accountants and auditors,Men,dest_occ,-7.661,4.162,0.066,21479,365
Accountants and auditors,Men,dest_olf,-1.632,2.478,0.51,21479,365
