profession,var,coef_pp,se_pp
Accountants,A_AGE,-1.327,0.233
Accountants,age2,0.015,0.003
Accountants,female,-0.753,0.757
Accountants,lweek,-2.035,0.677
Accountants,pension,-1.118,0.699
Nurses,A_AGE,-1.143,0.196
Nurses,age2,0.014,0.002
Nurses,female,-2.124,0.91
Nurses,lweek,-2.99,0.672
Nurses,pension,-1.473,0.562
Social workers,A_AGE,-1.811,0.481
Social workers,age2,0.02,0.005
Social workers,female,-4.203,1.981
Social workers,lweek,-2.168,1.324
Social workers,pension,-1.59,1.503
Teachers,A_AGE,-1.591,0.132
Teachers,age2,0.02,0.001
Teachers,female,-1.17,0.462
Teachers,lweek,-4.542,0.429
Teachers,pension,-3.63,0.452
