split,group,color,var,ame,se,p,n
By sex,Women,#B5443C,public,-6.1637,0.4147,0.0,82377
By sex,Women,#B5443C,new_baby,3.5611,1.0588,0.0008,82377
By sex,Women,#B5443C,child_u6,0.538,0.5961,0.3668,82377
By sex,Women,#B5443C,black,5.105,0.6604,0.0,82377
By sex,Women,#B5443C,ma_plus,-0.7172,0.364,0.0488,82377
By sex,Men,#3268A8,public,-7.5273,0.7231,0.0,27753
By sex,Men,#3268A8,new_baby,0.6835,1.949,0.7258,27753
By sex,Men,#3268A8,child_u6,-0.2875,1.0057,0.775,27753
By sex,Men,#3268A8,black,6.6898,1.1673,0.0,27753
By sex,Men,#3268A8,ma_plus,-0.8547,0.6462,0.186,27753
By sector,Public,#3268A8,new_baby,0.3488,1.9256,0.8563,91035
By sector,Public,#3268A8,child_u6,-0.7734,0.8902,0.385,91035
By sector,Public,#3268A8,black,4.9124,0.5999,0.0,91035
By sector,Public,#3268A8,ma_plus,-0.6798,0.3353,0.0426,91035
By sector,Private,#D9A21B,new_baby,-0.9693,5.5541,0.8615,19095
By sector,Private,#D9A21B,child_u6,-0.1538,2.3218,0.9472,19095
By sector,Private,#D9A21B,black,7.8692,1.6709,0.0,19095
By sector,Private,#D9A21B,ma_plus,-1.0826,0.8941,0.226,19095
By age,Under 40,#3A8A62,public,-7.1033,0.5449,0.0,40374
By age,Under 40,#3A8A62,new_baby,0.4424,1.8556,0.8116,40374
By age,Under 40,#3A8A62,child_u6,-0.7691,1.0882,0.4797,40374
By age,Under 40,#3A8A62,black,6.413,0.8649,0.0,40374
By age,Under 40,#3A8A62,ma_plus,-0.4898,0.5081,0.3351,40374
By age,40 and older,#000000,public,-6.1156,0.4791,0.0,69756
By age,40 and older,#000000,new_baby,1.9918,5.718,0.7276,69756
By age,40 and older,#000000,child_u6,-0.7036,1.4741,0.6331,69756
By age,40 and older,#000000,black,4.6571,0.7579,0.0,69756
By age,40 and older,#000000,ma_plus,-0.9217,0.4119,0.0252,69756
