asec_year,var,size,pos,conflict
1998,A_AGE,2,15,0
1998,A_CLSWKR,1,109,0
1998,A_DTOCC,2,161,0
1998,A_EXPRRP,2,13,0
1998,A_FAMREL,1,32,0
1998,A_HGA,2,22,0
1998,A_LFSR,1,145,0
1998,A_LINENO,2,9,0
1998,A_MARITL,1,17,0
1998,A_MJOCC,2,159,0
1998,A_OCC,3,106,0
1998,A_PARENT,2,11,0
1998,A_RACE,1,25,0
1998,A_SEX,1,20,0
1998,A_SPOUSE,2,18,0
1998,A_UNTYPE,1,146,0
1998,A_USLHRS,2,128,0
1998,A_WKSTAT,1,149,0
1998,HRSWK,2,181,0
1998,LJCW,1,189,0
1998,MARSUPWT,8,66,0
1998,OCCUP,3,193,0
1998,PEARNVAL,8,448,0
1998,PEMLR,1,705,0
1998,PENPLAN,1,482,0
1998,PH_SEQ,5,2,0
1998,WKSWORK,2,171,0
1998,WSAL_VAL,6,243,0
1999,A_AGE,2,15,0
1999,A_CLSWKR,1,109,0
1999,A_DTOCC,2,161,0
1999,A_EXPRRP,2,13,0
1999,A_FAMREL,1,32,0
1999,A_HGA,2,22,0
1999,A_LFSR,1,145,0
1999,A_LINENO,2,9,0
1999,A_MARITL,1,17,0
1999,A_MJOCC,2,159,0
1999,A_OCC,3,106,0
1999,A_PARENT,2,11,0
1999,A_RACE,1,25,0
1999,A_SEX,1,20,0
1999,A_SPOUSE,2,18,0
1999,A_UNTYPE,1,146,0
1999,A_USLHRS,2,128,0
1999,A_WKSTAT,1,149,0
1999,HRSWK,2,181,0
1999,LJCW,1,189,0
1999,MARSUPWT,8,66,0
1999,OCCUP,3,193,0
1999,PEARNVAL,8,448,0
1999,PEMLR,1,705,0
1999,PENPLAN,1,482,0
1999,PH_SEQ,5,2,0
1999,WKSWORK,2,171,0
1999,WSAL_VAL,6,243,0
2000,A_AGE,2,15,0
2000,A_CLSWKR,1,109,0
2000,A_DTOCC,2,161,0
2000,A_EXPRRP,2,13,0
2000,A_FAMREL,1,32,0
2000,A_HGA,2,22,0
2000,A_LFSR,1,145,0
2000,A_LINENO,2,9,0
2000,A_MARITL,1,17,0
2000,A_MJOCC,2,159,0
2000,A_OCC,3,106,0
2000,A_PARENT,2,11,0
2000,A_RACE,1,25,0
2000,A_SEX,1,20,0
2000,A_SPOUSE,2,18,0
2000,A_UNTYPE,1,146,0
2000,A_USLHRS,2,128,0
2000,A_WKSTAT,1,149,0
2000,HRSWK,2,181,0
2000,LJCW,1,189,0
2000,MARSUPWT,8,66,0
2000,OCCUP,3,193,0
2000,PEARNVAL,8,448,0
2000,PEMLR,1,705,0
2000,PENPLAN,1,482,0
2000,PH_SEQ,5,2,0
2000,WKSWORK,2,171,0
2000,WSAL_VAL,6,243,0
2001,A_AGE,2,15,0
2001,A_CLSWKR,1,109,0
2001,A_DTOCC,2,161,0
2001,A_EXPRRP,2,13,0
2001,A_FAMREL,1,32,0
2001,A_HGA,2,22,0
2001,A_LFSR,1,145,0
2001,A_LINENO,2,9,0
2001,A_MARITL,1,17,0
2001,A_MJOCC,2,159,0
2001,A_OCC,3,106,0
2001,A_PARENT,2,11,0
2001,A_RACE,1,25,0
2001,A_SEX,1,20,0
2001,A_SPOUSE,2,18,0
2001,A_UNTYPE,1,146,0
2001,A_USLHRS,2,128,0
2001,A_WKSTAT,1,149,0
2001,HRSWK,2,181,0
2001,LJCW,1,189,0
2001,MARSUPWT,8,66,0
2001,OCCUP,3,193,0
2001,PEARNVAL,8,448,0
2001,PEMLR,1,705,0
2001,PENPLAN,1,482,0
2001,PH_SEQ,5,2,0
2001,WKSWORK,2,171,0
2001,WSAL_VAL,6,243,0
2002,A_AGE,2,15,0
2002,A_CLSWKR,1,109,0
2002,A_DTOCC,2,161,0
2002,A_EXPRRP,2,13,0
2002,A_FAMREL,1,32,0
2002,A_HGA,2,22,0
2002,A_LFSR,1,145,0
2002,A_LINENO,2,9,0
2002,A_MARITL,1,17,0
2002,A_MJOCC,2,159,0
2002,A_OCC,3,106,0
2002,A_PARENT,2,11,0
2002,A_RACE,1,25,0
2002,A_SEX,1,20,0
2002,A_SPOUSE,2,18,0
2002,A_UNTYPE,1,146,0
2002,A_USLHRS,2,128,0
2002,A_WKSTAT,1,149,0
2002,HRSWK,2,181,0
2002,LJCW,1,189,0
2002,MARSUPWT,8,66,0
2002,OCCUP,3,193,0
2002,PEARNVAL,8,448,0
2002,PEMLR,1,705,0
2002,PENPLAN,1,482,0
2002,PH_SEQ,5,2,0
2002,WKSWORK,2,171,0
2002,WSAL_VAL,6,243,0
2003,A_AGE,2,15,0
2003,A_CLSWKR,1,109,0
2003,A_DTOCC,2,161,0
2003,A_EXPRRP,2,13,0
2003,A_FAMREL,1,32,0
