year,group,n,linked_w,linked_u
2005,school teachers (BA+),11292,0.804,0.8125
2005,other college-educated employed,109081,0.7586,0.7648
2005,all employed,395759,0.7228,0.7323
2005,not employed,216305,0.6969,0.6992
2006,school teachers (BA+),11074,0.7951,0.8042
2006,other college-educated employed,111647,0.7589,0.765
2006,all employed,396552,0.7209,0.7307
2006,not employed,213893,0.6915,0.6945
2007,school teachers (BA+),11705,0.8082,0.819
2007,other college-educated employed,112625,0.7716,0.777
2007,all employed,392570,0.7375,0.7472
2007,not employed,212850,0.712,0.7161
2008,school teachers (BA+),11245,0.8222,0.8302
2008,other college-educated employed,113893,0.7819,0.7924
2008,all employed,386771,0.7467,0.7587
2008,not employed,217217,0.7185,0.7239
2009,school teachers (BA+),11144,0.8259,0.8315
2009,other college-educated employed,113976,0.7795,0.7868
2009,all employed,377960,0.7517,0.7622
2009,not employed,238336,0.7168,0.7209
2010,school teachers (BA+),11268,0.8425,0.8461
2010,other college-educated employed,114615,0.7764,0.7796
2010,all employed,371650,0.7494,0.7556
2010,not employed,240739,0.6972,0.6968
2011,school teachers (BA+),10854,0.8017,0.8051
2011,other college-educated employed,116391,0.7838,0.7899
2011,all employed,370109,0.7494,0.7589
2011,not employed,242708,0.7453,0.7481
2012,school teachers (BA+),10807,0.8128,0.8157
2012,other college-educated employed,120075,0.772,0.7763
2012,all employed,370363,0.7477,0.7546
2012,not employed,237853,0.7474,0.7506
2013,school teachers (BA+),10869,0.7688,0.7688
2013,other college-educated employed,120605,0.7447,0.7475
2013,all employed,368766,0.711,0.7154
2013,not employed,238531,0.7029,0.7063
2014,school teachers (BA+),10961,0.7133,0.7177
2014,other college-educated employed,122368,0.6961,0.6973
2014,all employed,372211,0.6452,0.6464
2014,not employed,242609,0.6395,0.64
2015,school teachers (BA+),10716,0.7819,0.7865
2015,other college-educated employed,121034,0.7416,0.7465
2015,all employed,364222,0.7161,0.7222
2015,not employed,237316,0.7254,0.7302
2016,school teachers (BA+),10793,0.7942,0.7956
2016,other college-educated employed,124200,0.745,0.7486
2016,all employed,368223,0.7192,0.7256
2016,not employed,237963,0.7356,0.7411
2017,school teachers (BA+),10514,0.778,0.7841
2017,other college-educated employed,122989,0.7422,0.7482
2017,all employed,355754,0.7183,0.7254
2017,not employed,228471,0.7366,0.7428
2018,school teachers (BA+),10430,0.7758,0.7844
2018,other college-educated employed,122232,0.7366,0.7425
2018,all employed,349018,0.715,0.7212
2018,not employed,222940,0.7361,0.7432
2019,school teachers (BA+),10166,0.7653,0.7693
2019,other college-educated employed,119767,0.7232,0.7341
2019,all employed,336720,0.6925,0.7026
2019,not employed,213507,0.7157,0.7246
2020,school teachers (BA+),8474,0.7572,0.7637
2020,other college-educated employed,104071,0.7189,0.7278
2020,all employed,272768,0.7023,0.7109
2020,not employed,205203,0.7226,0.7325
2021,school teachers (BA+),8426,0.7355,0.7406
2021,other college-educated employed,108958,0.7077,0.7179
2021,all employed,288334,0.6814,0.6927
2021,not employed,206224,0.7067,0.7159
2022,school teachers (BA+),8602,0.7404,0.7483
2022,other college-educated employed,109065,0.7183,0.7249
2022,all employed,286933,0.6853,0.6931
2022,not employed,196224,0.7105,0.7225
2023,school teachers (BA+),8150,0.7545,0.7669
2023,other college-educated employed,109813,0.7106,0.7206
2023,all employed,288543,0.6826,0.6929
2023,not employed,194541,0.7137,0.7263
2024,school teachers (BA+),8026,0.6604,0.6686
2024,other college-educated employed,108361,0.6468,0.6554
2024,all employed,281201,0.6148,0.6222
2024,not employed,190570,0.6392,0.6487
