,AME,se,z,p,abs_z
education,-0.01543,0.00323,-4.77129,0.0,4.77129
manufacturing,0.02928,0.01118,2.61903,0.00882,2.61903
union,0.03422,0.01361,2.5143,0.01193,2.5143
lwage,-0.02679,0.01769,-1.51419,0.12998,1.51419
smsa,-0.01918,0.01271,-1.50936,0.13121,1.50936
female,-0.02884,0.02174,-1.32635,0.18472,1.32635
married,-0.02068,0.01818,-1.13764,0.25527,1.13764
weeks,0.00085,0.00135,0.63167,0.5276,0.63167
afam,-0.01349,0.02299,-0.5868,0.55734,0.5868
experience,-0.0002,0.00062,-0.32673,0.74387,0.32673
south,-0.00064,0.01304,-0.0492,0.96076,0.0492
