block,variable,teachers,other_college
2010-2014,Age,43.1,43.8
2010-2014,Female %,76.6,50.6
2010-2014,Black %,8.8,8.5
2010-2014,Married %,70.4,66.9
2010-2014,Has own children %,24.0,22.3
2010-2014,Master's+ %,51.4,33.5
2010-2014,Part-time %,13.8,10.1
2010-2014,Median FTFY weekly earnings $,942.3,1250.0
2010-2014,N (unweighted),15106.0,147089.0
2015-2019,Age,43.0,43.3
2015-2019,Female %,76.6,51.7
2015-2019,Black %,9.1,9.6
2015-2019,Married %,69.2,65.9
2015-2019,Has own children %,32.4,29.2
2015-2019,Master's+ %,52.3,34.7
2015-2019,Part-time %,12.5,9.2
2015-2019,Median FTFY weekly earnings $,1000.0,1423.1
2015-2019,N (unweighted),14498.0,148631.0
2020-2024,Age,43.3,43.3
2020-2024,Female %,75.9,52.6
2020-2024,Black %,10.2,10.2
2020-2024,Married %,68.7,64.8
2020-2024,Has own children %,46.7,38.2
2020-2024,Master's+ %,54.1,35.5
2020-2024,Part-time %,9.9,8.9
2020-2024,Median FTFY weekly earnings $,1153.8,1692.3
2020-2024,N (unweighted),11713.0,136774.0
