cal_year,tier,leaver_oldstyle,n,leaver_all,leave,se_ba,weighted,switch,unemp,leftlf,urate,survey_year,u_march,urate_obs
1997,B,10.95,2620,12.46,9.52,0.78,1,3.37,0.59,5.57,4.94,1998,4.7,4.7
1998,B,9.71,2719,11.54,9.21,0.76,1,3.24,0.43,5.53,4.5,1999,4.2,4.2
1999,B,9.22,2743,11.13,8.15,0.71,1,2.39,0.36,5.39,4.22,2000,4.0,4.0
2000,B,10.2,2646,11.79,8.43,0.74,1,2.45,0.71,5.27,3.97,2001,4.3,4.3
2001,B,9.95,4632,12.81,10.28,0.62,1,2.9,0.92,6.46,4.74,2002,5.7,5.7
2002,B,9.9,4201,11.64,9.28,0.62,1,2.33,1.05,5.9,5.78,2003,5.9,5.9
2003,B,8.43,4344,10.34,8.13,0.56,1,1.97,0.56,5.6,5.99,2004,5.8,5.8
2004,B,8.28,4361,10.04,8.15,0.57,1,1.99,0.64,5.52,5.54,2005,5.2,5.2
2005,B,8.53,4161,10.05,8.9,0.6,1,2.99,0.75,5.16,5.08,2006,4.7,4.7
2006,B,8.39,4336,9.68,7.61,0.55,1,1.85,1.03,4.74,4.61,2007,4.4,4.4
2007,B,8.12,4357,9.95,7.72,0.55,1,1.89,0.96,4.87,4.62,2008,5.1,5.1
2008,B,7.46,4448,10.65,8.24,0.56,1,2.16,1.38,4.7,5.8,2009,8.7,8.7
2009,B,8.24,4357,10.75,9.34,0.6,1,2.2,1.67,5.47,9.28,2010,9.9,9.9
2010,A,8.84,4301,11.15,9.05,0.59,1,1.99,1.44,5.62,9.61,2011,9.0,9.0
2011,A,8.63,4184,11.54,8.94,0.6,1,1.69,0.97,6.28,8.93,2012,8.2,8.2
2012,A,8.52,4192,12.52,9.99,0.63,1,2.48,1.57,5.94,8.07,2013,7.5,7.5
2013,A,8.46,2896,11.69,9.07,0.72,1,2.5,1.06,5.51,7.36,2014,6.7,6.7
2014,A,7.36,4333,9.77,8.28,0.56,1,2.28,0.72,5.28,6.16,2015,5.4,5.4
2015,A,7.23,3972,9.24,7.33,0.56,1,1.99,0.7,4.64,5.28,2016,5.0,5.0
2016,A,7.54,4045,10.67,8.73,0.6,1,2.03,1.26,5.44,4.88,2017,4.4,4.4
2017,A,8.64,4053,10.37,8.33,0.59,1,2.35,0.87,5.1,4.36,2018,4.0,4.0
2018,A,7.05,3986,9.68,7.52,0.57,1,1.7,0.69,5.13,3.89,2019,3.8,3.8
2019,A,8.88,3321,12.34,10.24,0.69,1,1.81,2.16,6.27,3.68,2020,4.4,4.4
2020,A,8.85,3232,11.38,9.02,0.67,1,2.14,1.69,5.19,8.1,2021,6.1,6.1
2021,A,7.53,3040,8.83,7.09,0.61,1,2.22,0.61,4.26,5.35,2022,3.7,3.7
2022,A,8.66,3141,10.13,8.33,0.66,1,2.14,0.76,5.44,3.65,2023,3.5,3.5
2023,A,8.88,3006,9.55,8.22,0.67,1,2.34,0.57,5.31,3.62,2024,3.9,3.9
2024,A,8.43,2918,10.29,7.66,0.66,1,2.5,0.78,4.38,4.02,2025,4.2,4.2
