cal_year,teachers,all_college,Nurses,Social workers,Accountants,rel_college,rel_nurses
2010,923.0,1154.0,1250.0,769.0,1154.0,80.0,74.0
2011,942.0,1192.0,1250.0,827.0,1212.0,79.0,75.0
2012,942.0,1212.0,1281.0,846.0,1154.0,78.0,74.0
2013,942.0,1250.0,1250.0,865.0,1154.0,75.0,75.0
2014,942.0,1250.0,1327.0,885.0,1212.0,75.0,71.0
2015,962.0,1308.0,1308.0,962.0,1250.0,74.0,74.0
2016,1000.0,1327.0,1346.0,962.0,1346.0,75.0,74.0
2017,1000.0,1346.0,1346.0,962.0,1308.0,74.0,74.0
2018,981.0,1365.0,1442.0,962.0,1346.0,72.0,68.0
2019,1058.0,1442.0,1385.0,1019.0,1442.0,73.0,76.0
2020,1108.0,1462.0,1538.0,1000.0,1442.0,76.0,72.0
2021,1154.0,1538.0,1538.0,1154.0,1577.0,75.0,75.0
2022,1154.0,1615.0,1635.0,1154.0,1538.0,71.0,71.0
2023,1192.0,1712.0,1731.0,1212.0,1692.0,70.0,69.0
2024,1250.0,1731.0,1731.0,1269.0,1827.0,72.0,72.0
