survey_year,u_march
1948,4.0
1949,5.0
1950,6.3
1951,3.4
1952,2.9
1953,2.6
1954,5.7
1955,4.6
1956,4.2
1957,3.7
1958,6.7
1959,5.6
1960,5.4
1961,6.9
1962,5.6
1963,5.7
1964,5.4
1965,4.7
1966,3.8
1967,3.8
1968,3.7
1969,3.4
1970,4.4
1971,6.0
1972,5.8
1973,4.9
1974,5.1
1975,8.6
1976,7.6
1977,7.4
1978,6.3
1979,5.8
1980,6.3
1981,7.4
1982,9.0
1983,10.3
1984,7.8
1985,7.2
1986,7.2
1987,6.6
1988,5.7
1989,5.0
1990,5.2
1991,6.8
1992,7.4
1993,7.0
1994,6.5
1995,5.4
1996,5.5
1997,5.2
1998,4.7
1999,4.2
2000,4.0
2001,4.3
2002,5.7
2003,5.9
2004,5.8
2005,5.2
2006,4.7
2007,4.4
2008,5.1
2009,8.7
2010,9.9
2011,9.0
2012,8.2
2013,7.5
2014,6.7
2015,5.4
2016,5.0
2017,4.4
2018,4.0
2019,3.8
2020,4.4
2021,6.1
2022,3.7
2023,3.5
2024,3.9
2025,4.2
2026,4.3
