cal_year,urate,source
1997,4.94,"BLS via FRED UNRATE, annual average"
1998,4.5,"BLS via FRED UNRATE, annual average"
1999,4.22,"BLS via FRED UNRATE, annual average"
2000,3.97,"BLS via FRED UNRATE, annual average"
2001,4.74,"BLS via FRED UNRATE, annual average"
2002,5.78,"BLS via FRED UNRATE, annual average"
2003,5.99,"BLS via FRED UNRATE, annual average"
2004,5.54,"BLS via FRED UNRATE, annual average"
2005,5.08,"BLS via FRED UNRATE, annual average"
2006,4.61,"BLS via FRED UNRATE, annual average"
2007,4.62,"BLS via FRED UNRATE, annual average"
2008,5.8,"BLS via FRED UNRATE, annual average"
2009,9.28,"BLS via FRED UNRATE, annual average"
2010,9.61,"BLS via FRED UNRATE, annual average"
2011,8.93,"BLS via FRED UNRATE, annual average"
2012,8.07,"BLS via FRED UNRATE, annual average"
2013,7.36,"BLS via FRED UNRATE, annual average"
2014,6.16,"BLS via FRED UNRATE, annual average"
2015,5.28,"BLS via FRED UNRATE, annual average"
2016,4.88,"BLS via FRED UNRATE, annual average"
2017,4.36,"BLS via FRED UNRATE, annual average"
2018,3.89,"BLS via FRED UNRATE, annual average"
2019,3.68,"BLS via FRED UNRATE, annual average"
2020,8.1,"BLS via FRED UNRATE, annual average"
2021,5.35,"BLS via FRED UNRATE, annual average"
2022,3.65,"BLS via FRED UNRATE, annual average"
2023,3.62,"BLS via FRED UNRATE, annual average"
2024,4.02,"BLS via FRED UNRATE, annual average"
