GESTFIPS,abbr,survey_year,u_march
1,AL,1976,6.6
1,AL,1977,7.4
1,AL,1978,6.3
1,AL,1979,7.0
1,AL,1980,8.0
1,AL,1981,10.0
1,AL,1982,13.1
1,AL,1983,14.5
1,AL,1984,12.0
1,AL,1985,9.9
1,AL,1986,9.6
1,AL,1987,8.8
1,AL,1988,7.3
1,AL,1989,7.1
1,AL,1990,6.7
1,AL,1991,7.2
1,AL,1992,7.6
1,AL,1993,7.5
1,AL,1994,6.4
1,AL,1995,6.0
1,AL,1996,5.3
1,AL,1997,5.1
1,AL,1998,4.4
1,AL,1999,4.7
1,AL,2000,4.7
1,AL,2001,4.8
1,AL,2002,5.9
1,AL,2003,5.9
1,AL,2004,5.8
1,AL,2005,4.8
1,AL,2006,4.1
1,AL,2007,3.9
1,AL,2008,4.9
1,AL,2009,8.8
1,AL,2010,10.9
1,AL,2011,9.9
1,AL,2012,8.4
1,AL,2013,7.5
1,AL,2014,7.1
1,AL,2015,6.1
1,AL,2016,5.9
1,AL,2017,5.0
1,AL,2018,4.0
1,AL,2019,3.4
1,AL,2020,3.4
1,AL,2021,3.8
1,AL,2022,2.6
1,AL,2023,2.3
1,AL,2024,2.9
1,AL,2025,3.0
1,AL,2026,2.7
2,AK,1976,7.0
2,AK,1977,9.5
2,AK,1978,11.0
2,AK,1979,9.2
2,AK,1980,9.2
2,AK,1981,8.8
2,AK,1982,9.9
2,AK,1983,10.4
2,AK,1984,10.2
2,AK,1985,9.7
2,AK,1986,10.9
2,AK,1987,10.6
2,AK,1988,9.1
2,AK,1989,7.2
2,AK,1990,7.2
2,AK,1991,7.9
2,AK,1992,9.1
2,AK,1993,7.9
2,AK,1994,7.8
2,AK,1995,7.1
2,AK,1996,7.6
2,AK,1997,7.3
2,AK,1998,6.2
2,AK,1999,6.5
2,AK,2000,6.2
2,AK,2001,6.1
2,AK,2002,6.9
2,AK,2003,7.6
2,AK,2004,7.6
2,AK,2005,6.9
2,AK,2006,6.8
2,AK,2007,6.2
2,AK,2008,6.3
2,AK,2009,7.6
2,AK,2010,8.2
2,AK,2011,7.7
2,AK,2012,7.2
2,AK,2013,6.9
2,AK,2014,6.9
2,AK,2015,6.3
2,AK,2016,6.5
2,AK,2017,6.6
2,AK,2018,6.3
2,AK,2019,5.8
2,AK,2020,5.4
2,AK,2021,7.0
2,AK,2022,4.7
2,AK,2023,4.1
2,AK,2024,4.5
2,AK,2025,4.6
2,AK,2026,4.7
4,AZ,1976,10.2
4,AZ,1977,9.1
4,AZ,1978,6.3
4,AZ,1979,5.4
4,AZ,1980,6.2
4,AZ,1981,5.9
4,AZ,1982,8.7
4,AZ,1983,11.0
4,AZ,1984,5.1
4,AZ,1985,6.1
4,AZ,1986,6.6
4,AZ,1987,7.0
4,AZ,1988,6.4
4,AZ,1989,5.5
4,AZ,1990,5.3
4,AZ,1991,5.0
4,AZ,1992,7.9
4,AZ,1993,6.8
4,AZ,1994,6.3
4,AZ,1995,5.4
4,AZ,1996,5.3
4,AZ,1997,5.0
4,AZ,1998,4.3
4,AZ,1999,4.6
4,AZ,2000,4.0
4,AZ,2001,4.2
4,AZ,2002,6.2
4,AZ,2003,5.9
4,AZ,2004,5.3
4,AZ,2005,4.6
4,AZ,2006,4.3
4,AZ,2007,3.7
4,AZ,2008,4.5
4,AZ,2009,9.0
4,AZ,2010,10.6
4,AZ,2011,9.7
4,AZ,2012,8.6
4,AZ,2013,8.1
4,AZ,2014,7.0
4,AZ,2015,6.3
4,AZ,2016,5.6
4,AZ,2017,5.1
4,AZ,2018,4.8
4,AZ,2019,4.9
4,AZ,2020,4.9
4,AZ,2021,6.0
4,AZ,2022,3.7
4,AZ,2023,3.6
4,AZ,2024,3.4
4,AZ,2025,4.2
4,AZ,2026,4.7
5,AR,1976,7.3
5,AR,1977,6.6
5,AR,1978,6.2
5,AR,1979,6.3
5,AR,1980,6.8
5,AR,1981,8.4
5,AR,1982,9.3
5,AR,1983,10.1
5,AR,1984,8.7
5,AR,1985,8.4
5,AR,1986,8.6
5,AR,1987,8.3
5,AR,1988,7.8
5,AR,1989,7.2
5,AR,1990,6.7
5,AR,1991,7.5
5,AR,1992,7.2
