state,year,naep_m8
AK,2005,278.96
AL,2005,262.21
AR,2005,271.64
AZ,2005,274.31
CA,2005,268.56
CO,2005,280.82
CT,2005,281.07
DC,2005,245.22
DE,2005,280.95
FL,2005,274.05
GA,2005,272.19
HI,2005,265.63
IA,2005,283.81
ID,2005,280.97
IL,2005,277.67
IN,2005,281.71
KS,2005,284.03
KY,2005,273.98
LA,2005,267.76
MA,2005,291.51
MD,2005,277.93
ME,2005,281.06
MI,2005,277.35
MN,2005,290.07
MO,2005,276.45
MS,2005,262.46
MT,2005,286.43
NC,2005,281.83
ND,2005,286.96
NE,2005,283.96
NH,2005,285.25
NJ,2005,283.9
NM,2005,263.28
NV,2005,269.91
NY,2005,279.72
OH,2005,283.25
OK,2005,271.36
OR,2005,282.24
PA,2005,280.71
RI,2005,272.35
SC,2005,281.23
SD,2005,287.3
TN,2005,270.52
TX,2005,281.1
UT,2005,279.16
VA,2005,284.37
VT,2005,287.36
WA,2005,285.05
WI,2005,284.54
WV,2005,269.1
WY,2005,282.1
AK,2007,282.56
AL,2007,266.0
AR,2007,273.9
AZ,2007,275.55
CA,2007,270.38
CO,2007,286.19
CT,2007,282.47
DC,2007,248.2
DE,2007,282.99
FL,2007,277.38
GA,2007,274.78
HI,2007,268.77
IA,2007,285.23
ID,2007,283.51
IL,2007,280.5
IN,2007,285.01
KS,2007,290.03
KY,2007,278.7
LA,2007,272.39
MA,2007,297.92
MD,2007,285.73
ME,2007,286.47
MI,2007,276.83
MN,2007,291.85
MO,2007,280.62
MS,2007,264.89
MT,2007,287.08
NC,2007,283.88
ND,2007,291.56
NE,2007,283.65
NH,2007,287.56
NJ,2007,288.58
NM,2007,267.54
NV,2007,270.8
NY,2007,280.14
OH,2007,284.85
OK,2007,274.53
OR,2007,283.83
PA,2007,286.17
RI,2007,275.39
SC,2007,281.5
SD,2007,288.46
TN,2007,273.98
TX,2007,285.87
UT,2007,281.09
VA,2007,287.63
VT,2007,291.01
WA,2007,284.86
WI,2007,285.62
WV,2007,270.08
WY,2007,286.99
AK,2009,283.05
AL,2009,268.52
AR,2009,276.0
AZ,2009,277.33
CA,2009,270.45
CO,2009,287.37
CT,2009,288.61
DC,2009,253.6
DE,2009,283.83
FL,2009,279.34
GA,2009,277.56
HI,2009,273.76
IA,2009,284.17
ID,2009,287.31
IL,2009,282.43
IN,2009,286.81
KS,2009,288.6
KY,2009,279.28
