state,attr,n,naep_m8
AK,14.63,1531.0,277.51
AL,15.58,2066.0,266.47
AR,14.0,1916.0,273.48
AZ,16.31,1405.0,277.14
CA,15.9,8960.0,272.42
CO,17.86,2016.0,284.55
CT,15.91,2864.0,283.18
DC,20.3,1084.0,259.18
DE,15.44,1585.0,277.47
FL,15.7,4572.0,276.09
GA,15.42,2947.0,276.14
HI,15.39,1768.0,273.96
IA,14.05,2255.0,282.95
ID,15.62,1590.0,283.88
IL,15.63,4079.0,280.75
IN,13.67,2087.0,284.37
KS,11.61,2098.0,283.93
KY,14.94,1646.0,276.82
LA,16.79,2060.0,269.71
MA,15.34,2786.0,294.29
MD,16.21,2450.0,280.78
ME,14.59,2153.0,282.78
MI,14.11,2778.0,277.32
MN,14.17,2703.0,290.7
MO,14.0,2067.0,279.25
MS,14.82,1684.0,268.26
MT,15.16,1562.0,286.07
NC,16.48,2595.0,281.84
ND,10.43,2122.0,287.4
NE,13.4,2286.0,283.93
NH,12.01,2792.0,288.62
NJ,15.07,3252.0,289.48
NM,17.04,1503.0,267.2
NV,14.87,1293.0,273.0
NY,16.05,6075.0,279.2
OH,12.04,3392.0,284.52
OK,13.81,1779.0,273.04
OR,15.15,1543.0,279.98
PA,14.79,4019.0,283.65
RI,15.32,2166.0,276.7
SC,17.06,1766.0,276.78
SD,11.48,1892.0,286.49
TN,17.3,1921.0,275.6
TX,15.16,7287.0,282.0
UT,16.17,1581.0,283.38
VA,14.18,2873.0,285.45
VT,17.3,2499.0,287.72
WA,12.72,2016.0,284.79
WI,12.14,2300.0,286.54
WV,13.98,2101.0,269.57
WY,11.56,2132.0,285.21
