PTIO1OCD,count
2540,186
2340,148
4600,89
230,86
2200,80
5700,62
4760,50
2000,46
430,42
4110,39
3130,39
4720,35
5240,33
2720,31
5860,27
5120,24
4700,23
3600,23
2430,22
5400,22
10,22
2010,22
800,22
2100,20
2630,18
620,18
120,17
210,16
3060,16
4230,14
3230,13
4220,13
5000,13
4620,13
5620,13
4510,13
5930,13
6050,12
6260,11
2600,11
710,11
4920,10
730,10
3650,10
4960,10
20,10
3300,10
5810,9
5260,9
7750,9
4610,9
6420,9
310,9
8740,9
4950,8
2060,8
1010,8
9620,8
5520,8
1820,8
2150,8
4250,7
5140,7
350,7
2550,7
4800,7
3500,7
5600,7
3240,7
420,7
2140,6
5160,6
1020,6
4850,6
4200,6
4940,6
3160,6
340,6
4710,6
4130,6
5320,6
1430,6
1410,6
2850,6
50,6
2830,6
130,6
540,6
1530,6
7020,6
4300,6
910,6
4010,5
4820,5
3820,5
4030,5
6440,5
850,5
9120,5
8960,5
2040,5
200,5
6230,5
2750,5
4040,5
1960,5
2820,5
4840,5
5550,5
4320,4
6510,4
4020,4
2900,4
3050,4
1000,4
5330,4
7430,4
5220,4
7310,4
2020,4
110,3
940,3
520,3
7210,3
1360,3
5010,3
2860,3
3630,3
8310,3
3110,3
8800,3
4810,3
3950,3
2050,3
1840,3
5800,3
5300,3
9640,3
3150,3
5820,3
5310,3
8220,3
5410,3
9520,3
6320,3
3920,3
7010,3
7700,3
8260,3
4060,3
3850,2
2700,2
9230,2
1220,2
1110,2
5850,2
4900,2
5110,2
1300,2
1860,2
1700,2
4000,2
4050,2
4540,2
1760,2
4750,2
8320,2
2710,2
8760,2
9130,2
4740,2
1940,2
840,2
930,2
8030,2
7420,2
4150,2
3400,2
8550,2
7810,2
3910,2
3010,2
7200,2
4550,2
220,2
8350,2
8710,2
7340,2
8140,2
1040,2
1810,2
8650,2
3000,1
3710,1
560,1
1550,1
4530,1
4640,1
4120,1
4430,1
2840,1
3620,1
5030,1
4500,1
5840,1
2910,1
7800,1
9030,1
6350,1
2800,1
100,1
60,1
9600,1
9240,1
5900,1
160,1
8300,1
3510,1
3900,1
7720,1
4650,1
720,1
1610,1
6600,1
950,1
3410,1
1060,1
140,1
7620,1
5250,1
6200,1
7140,1
8620,1
1400,1
1650,1
2760,1
5360,1
8000,1
9510,1
5610,1
3740,1
3640,1
5420,1
1320,1
3730,1
7840,1
6760,1
3030,1
3530,1
