PEIOOCC,n_asec_PEIOOCC
10,8070
20,5615
40,270
50,2316
51,1448
52,1463
60,572
100,387
101,193
102,369
110,3254
120,6431
135,89
136,1524
137,301
140,1431
150,1036
160,1578
205,5770
220,4912
230,5136
300,810
310,5966
330,55
335,167
340,783
350,3768
360,123
410,3834
420,2551
425,73
430,10532
440,15098
500,226
510,64
520,975
530,1277
540,1599
565,1519
600,651
630,4057
640,325
650,751
700,693
705,2209
710,4955
725,734
726,497
735,1865
740,629
750,1346
800,8351
810,428
820,293
830,154
840,611
845,912
850,2456
860,504
900,80
910,1918
930,331
940,702
950,130
960,248
1005,134
1006,2563
1007,701
1010,2046
1020,3248
1021,5084
1022,201
1030,426
1031,226
1032,221
1050,2987
1060,205
1065,341
1105,1005
1106,504
1107,1426
1108,2661
1200,126
1220,840
1240,1087
1300,528
1305,534
1306,62
1310,228
1320,639
1340,97
1350,385
1360,2200
1400,376
1410,1378
1420,190
1430,1052
1440,66
1450,217
1460,1622
1500,28
1510,22
1520,158
1530,2849
1540,288
1541,97
1545,251
1550,956
1551,234
1555,971
1560,347
1600,181
1610,637
1640,178
1650,717
1700,117
1710,50
1720,458
1740,238
1745,111
1750,129
1760,1732
1800,317
1820,445
1821,44
1822,149
1825,360
1840,178
1860,342
1900,208
1910,129
1920,303
1930,42
1935,61
1965,362
1970,826
1980,218
2000,2079
2001,376
2002,1007
2003,108
2004,514
2005,56
2006,722
2010,1962
2011,175
2012,223
2013,64
2014,1854
2015,451
2016,1287
2025,505
2040,2102
2050,357
2060,373
2100,6280
2105,106
2145,2027
2160,412
2170,289
2180,240
2200,3319
2205,3219
2300,3677
2310,18356
2320,5297
2330,1926
2340,2265
2350,522
2360,2417
2400,357
2430,450
2435,511
2440,178
2540,2579
2545,4164
2550,403
2555,559
2600,1332
2630,1921
2631,39
2632,76
2633,185
2634,750
2635,279
2636,72
2640,970
2700,241
2710,826
2720,822
2721,85
2722,868
2723,110
2740,63
2750,386
2751,115
2752,379
2755,61
2760,105
2770,123
2800,111
2805,72
2810,479
2825,705
2830,634
2840,303
2850,1159
2860,268
2861,274
2862,67
2865,60
2900,244
2905,254
2910,1039
2920,443
3000,284
3010,838
3030,578
3040,239
3050,1731
3060,2409
3090,2614
3100,129
3110,663
3120,26
3140,89
3150,695
3160,1475
3200,75
3210,55
3220,500
3230,863
3245,1247
3250,439
3255,16507
3256,167
3258,1205
3260,81
3261,75
3270,42
3300,1734
3310,1068
3320,778
3321,141
3322,263
3323,717
3324,146
3330,99
3400,467
3401,406
3402,284
3420,1458
3421,982
3422,279
3423,307
3424,350
3430,196
3500,3096
3510,411
3515,592
3520,263
3535,306
3540,302
3545,430
3550,270
3600,4853
3601,1608
3602,4406
3603,3875
3605,139
3610,138
3620,433
3630,826
3640,1555
3645,2946
3646,213
3647,194
3648,310
3649,626
3655,994
3700,283
3710,525
3720,268
3725,222
3730,180
3740,1470
3750,116
3800,855
3801,58
3802,836
3820,749
3840,103
3850,1526
3870,1881
3900,52
3910,529
3930,4461
3940,301
3945,240
3946,96
3955,302
3960,436
4000,2313
4010,2780
4020,11840
4030,5483
4040,2102
4050,925
4055,2393
4060,576
4110,9813
4120,1155
4130,1776
4140,1674
4150,1716
4160,27
4200,1783
4210,1280
4220,12811
4230,8440
4240,451
4250,3050
4251,3153
4252,286
4255,47
4300,426
4320,443
4330,641
4340,292
4350,1387
4400,493
4410,4
4420,191
4430,486
4435,630
4460,32
4461,52
4465,199
4500,581
4510,3741
4520,767
4521,749
4522,261
4525,72
4530,407
4540,361
4600,6363
4610,3552
4620,948
4621,595
4622,405
4640,196
4650,401
4655,378
4700,15899
4710,5870
4720,16148
4740,455
4750,678
4760,14852
4800,791
4810,3001
4820,988
4830,354
4840,2534
4850,5685
4900,243
4920,4937
4930,194
4940,247
4950,675
4965,1598
5000,6710
5010,82
5020,149
5030,22
5040,8
5100,577
5110,2244
5120,5922
5130,37
5140,654
5150,140
5160,1464
5165,541
5200,16
5220,476
5230,211
5240,12944
5250,396
5260,858
5300,656
5310,903
5320,393
5330,595
5340,104
5350,561
5360,320
5400,6610
5410,610
5420,538
5500,116
5510,2777
5520,689
5521,237
5522,499
5530,133
5540,533
5550,1602
5560,322
5600,1186
5610,2861
5620,3559
5630,336
5700,6105
5710,613
5720,136
5730,217
5740,5668
5800,178
5810,1226
5820,350
5840,1315
5850,309
5860,6605
5900,151
5910,42
5920,160
5940,2955
6005,327
6010,95
6040,454
6050,5327
6100,120
6115,148
6120,142
6130,392
6200,3755
6210,126
6220,766
6230,6904
6240,800
6250,343
6260,11232
6300,35
6305,1217
6320,984
6330,910
6355,4652
6360,219
6400,312
6410,1570
6420,1408
6440,1435
6441,140
6442,1635
6460,139
6500,21
6515,1287
6520,646
6530,292
6540,73
6600,273
6660,480
6700,160
6710,208
6720,163
6730,590
6740,69
6750,25
6765,204
6800,223
6820,79
6825,123
6830,35
6835,40
6840,239
6850,188
6920,30
6940,183
6950,237
7000,1300
7010,887
7020,635
7030,47
7040,114
7100,92
7110,21
7120,174
7130,310
7140,794
7150,680
7160,120
7200,4450
7210,1862
7220,1236
7240,249
7260,472
7300,131
7315,2184
7320,238
7330,2024
7340,3197
7350,166
7360,247
7410,716
7420,810
7430,298
7510,198
7540,132
7550,24
7560,79
7610,110
7630,457
7640,569
7700,3999
7710,14
7720,616
7730,32
7740,129
7750,5147
7800,1208
7810,1555
7830,66
7840,499
7850,75
7855,848
7900,204
7905,211
7920,34
7925,71
7940,37
7950,319
8000,190
8010,30
8025,23
8030,1576
8040,109
8100,176
8130,199
8140,3196
8200,43
8210,11
8220,923
8225,963
8250,78
8255,733
8256,61
8300,830
8310,150
8320,887
8330,31
8335,40
8350,388
8365,62
8400,16
8410,25
8420,20
8450,141
8460,58
8465,38
8500,316
8510,75
8530,160
8540,91
8550,75
8555,79
8600,252
8610,385
8620,549
8630,268
8640,329
8650,445
8710,309
8720,119
8730,75
8740,3948
8750,278
8760,378
8800,1610
8810,813
8830,124
8850,53
8860,8
8910,43
8920,178
8930,93
8940,30
8950,302
8965,2487
8990,3487
9000,423
9005,853
9030,813
9040,158
9050,475
9110,62
9120,1353
9121,792
9122,712
9130,17996
9140,1443
9141,243
9142,1149
9150,659
9200,133
9210,166
9240,305
9260,23
9265,40
9300,142
9310,201
9350,361
9360,201
9365,240
9410,195
9415,181
9420,86
9430,107
9510,329
9520,97
9560,40
9570,100
9600,2906
9610,1926
9620,10989
9630,137
9640,3448
9645,4825
9650,122
9720,552
9750,118
9760,182
9840,101
