code,n_asec_PEIOOCC,label
10,8070,Chief executives
20,5615,General and operations managers
40,270,Advertising and promotions managers
50,2316,
51,1448,Marketing managers
52,1463,Sales managers
60,572,Public relations and fundraising managers
100,387,
101,193,Administrative services managers
102,369,Facilities managers
110,3254,Computer and information systems managers
120,6431,Financial managers
135,89,Compensation and benefits managers
136,1524,Human resources managers
137,301,Training and development managers
140,1431,Industrial production managers
150,1036,Purchasing managers
160,1578,"Transportation, storage, and distribution managers"
205,5770,"Farmers, ranchers, and other agricultural managers"
220,4912,Construction managers
230,5136,Education and childcare administrators
300,810,Architectural and engineering managers
310,5966,Food service managers
330,55,
335,167,Entertainment and recreation managers
340,783,Lodging managers
350,3768,Medical and health services managers
360,123,Natural sciences managers
410,3834,"Property, real estate, and community association managers"
420,2551,Social and community service managers
425,73,Emergency management directors
430,10532,
440,15098,"Managers, all other"
500,226,"Agents and business managers of artists, performers, and athletes"
510,64,"Buyers and purchasing agents, farm products"
520,975,"Wholesale and retail buyers, except farm products"
530,1277,"Purchasing agents, except wholesale, retail, and farm products"
540,1599,"Claims adjusters, appraisers, examiners, and investigators"
565,1519,Compliance officers
600,651,Cost estimators
630,4057,Human resources workers
640,325,"Compensation, benefits, and job analysis specialists"
650,751,Training and development specialists
700,693,Logisticians
705,2209,Project management specialists
710,4955,Management analysts
725,734,"Meeting, convention, and event planners"
726,497,Fundraisers
735,1865,Market research analysts and marketing specialists
740,629,
750,1346,"Business operations specialists, all other"
800,8351,Accountants and auditors
810,428,Property appraisers and assessors
820,293,Budget analysts
830,154,Credit analysts
840,611,
845,912,Financial and investment analysts
850,2456,Personal financial advisors
860,504,Insurance underwriters
900,80,Financial examiners
910,1918,Credit counselors and loan officers
930,331,"Tax examiners and collectors, and revenue agents"
940,702,Tax preparers
950,130,
960,248,Other financial specialists
1005,134,Computer and information research scientists
1006,2563,Computer systems analysts
1007,701,Information security analysts
1010,2046,Computer programmers
1020,3248,
1021,5084,Software developers
1022,201,Software quality assurance analysts and testers
1030,426,
1031,226,Web developers
1032,221,Web and digital interface designers
1050,2987,Computer support specialists
1060,205,
1065,341,Database administrators and architects
1105,1005,Network and computer systems administrators
1106,504,Computer network architects
1107,1426,
1108,2661,"Computer occupations, all other"
1200,126,Actuaries
1220,840,Operations research analysts
1240,1087,Other mathematical science occupations
1300,528,
1305,534,"Architects, except landscape and naval"
1306,62,Landscape architects
1310,228,"Surveyors, cartographers, and photogrammetrists"
1320,639,Aerospace engineers
1340,97,Bioengineers and biomedical engineers
1350,385,Chemical engineers
1360,2200,Civil engineers
1400,376,Computer hardware engineers
1410,1378,Electrical and electronics engineers
1420,190,Environmental engineers
1430,1052,"Industrial engineers, including health and safety"
1440,66,Marine engineers and naval architects
1450,217,Materials engineers
1460,1622,Mechanical engineers
1500,28,"Mining and geological engineers, including mining safety engineers"
1510,22,Nuclear engineers
1520,158,Petroleum engineers
1530,2849,"Engineers, all other"
1540,288,
1541,97,Architectural and civil drafters
1545,251,Other drafters
1550,956,
1551,234,Electrical and electronic engineering technologists and technicians
1555,971,"Other engineering technologists and technicians, except drafters"
1560,347,Surveying and mapping technicians
1600,181,Agricultural and food scientists
1610,637,Biological scientists
