PTIO1OCD,n_monthly_2005_07
10,27837
20,16194
40,1127
50,13547
60,1021
100,1569
110,6617
120,18177
130,4616
140,4644
150,2900
160,3955
200,4843
210,19473
220,17532
230,13681
300,1641
310,15549
320,799
330,278
340,3170
350,8646
360,211
410,10361
420,6370
430,57949
500,709
510,190
520,3422
530,4786
540,4849
560,2476
600,1908
620,12636
700,776
710,10051
720,609
730,3766
800,28467
810,2157
820,941
830,607
840,1573
850,6086
860,1731
900,145
910,7508
930,1139
940,1800
950,748
1000,12083
1010,8699
1020,13255
1040,5533
1060,1491
1100,3215
1110,5602
1200,335
1210,61
1220,1587
1230,557
1240,62
1300,3838
1310,841
1320,1636
1330,87
1340,141
1350,1074
1360,5638
1400,1186
1410,5533
1420,699
1430,2899
1440,181
1450,530
1460,4791
1500,192
1510,134
1520,337
1530,5061
1540,3313
1550,6907
1560,1661
1600,747
1610,2108
1640,726
1650,2273
1700,420
1710,186
1720,1959
1740,1853
1760,1931
1800,737
1810,2346
1820,3303
1830,77
1840,538
1860,896
1900,415
1910,419
1920,1197
1930,284
1940,84
1960,2826
2000,11406
2010,12075
2020,5350
2040,7133
2050,866
2060,1566
2100,17882
2140,5924
2150,4331
2200,21762
2300,11375
2310,46661
2320,19532
2330,7040
2340,12506
2400,868
2430,3971
2440,793
2540,17374
2550,1507
2600,4085
2630,13551
2700,618
2710,2162
2720,4810
2740,491
2750,3094
2760,576
2800,981
2810,1595
2820,2717
2830,2759
2840,987
2850,3450
2860,1128
2900,1469
2910,2674
2920,595
3000,1223
3010,2838
3030,1515
3040,554
3050,4079
3060,13688
3110,1449
3120,186
3130,42890
3140,290
3150,1461
3160,3280
3200,233
3210,318
3220,1540
3230,1933
3240,1755
3250,1200
3260,294
3300,5481
3310,2463
3320,4775
3400,2431
3410,7009
3500,9101
3510,1861
3520,886
3530,1849
3540,999
3600,32606
3610,190
3620,1051
3630,2123
3640,4466
3650,13515
3700,723
3710,1862
3720,785
3730,1612
3740,4358
3750,337
3800,6657
3820,2165
3830,128
3840,129
3850,10205
3860,56
3900,194
3910,1455
3920,13939
3940,922
3950,2906
4000,5455
4010,10641
4020,33483
4030,12803
4040,6836
4050,6167
4060,6568
4110,34332
4120,2823
4130,6882
4140,5717
4150,4909
4160,64
4200,5307
4210,3876
4220,37630
4230,25494
4240,1083
4250,22070
4300,2495
4320,2719
4340,726
4350,2626
4400,2103
4410,128
4420,822
4430,3143
4460,279
4500,1543
4510,12524
4520,3270
4530,1122
4540,943
4550,2070
4600,25722
4610,12752
4620,6073
4640,1067
4650,1702
4700,58517
4710,22584
4720,55448
4740,2858
4750,2339
4760,57565
4800,3712
4810,9085
4820,6116
4830,1587
4840,8781
4850,22909
4900,1314
4920,16875
4930,609
4940,3320
4950,5057
4960,3921
5000,26747
5010,906
5020,880
5030,169
5100,3590
5110,7133
5120,26581
5130,312
5140,2849
5150,499
5160,7588
5200,174
5210,154
5220,1835
5230,953
5240,32172
5250,1143
5260,6550
5300,2351
5310,2785
5320,2127
5330,2975
5340,300
5350,2130
5360,1067
5400,24672
5410,2824
5420,1651
5500,358
5510,4555
5520,4888
5530,705
5540,2658
5550,5729
5560,1653
5600,4824
5610,9025
5620,25370
5630,1281
5700,60687
5800,2907
5810,8445
5820,4429
5830,114
5840,4586
5850,2159
5860,17756
5900,899
5910,258
5920,408
5930,10212
6000,871
6010,341
6020,158
6040,1356
6050,14363
6100,1252
6110,42
6120,284
6130,1791
6200,16764
6210,369
6220,3962
6230,32646
6240,4350
6250,1861
6260,28098
6300,524
6310,61
6320,8721
6330,4403
6350,15034
6360,737
6400,890
6420,11729
6430,121
6440,11386
6460,1003
6500,163
6510,4265
6520,2469
6530,1191
6600,2067
6660,1806
6700,425
6710,610
6720,506
6730,1925
6740,250
6750,170
6760,652
6800,850
6820,701
6830,166
6840,1362
6910,104
6920,87
6930,121
6940,953
7000,5574
7010,5837
7020,3478
7030,269
7040,593
7050,59
7100,253
7110,390
7120,879
7130,939
7140,2227
7150,2712
7160,298
7200,14853
7210,6138
7220,4247
7240,1173
7260,1535
7300,377
7310,6596
7320,874
7330,7167
7340,6941
7350,971
7360,1150
7410,1992
7420,3093
7430,1066
7510,1022
7520,85
7540,434
7550,228
7560,167
7600,98
7610,485
7620,3613
7700,14499
7710,169
7720,3471
7730,233
7740,485
7750,18684
7800,3266
7810,5438
7830,243
7840,1508
7850,205
7900,970
7920,296
7930,144
7940,242
7950,1981
7960,137
8000,980
8010,339
8020,73
8030,6946
8040,438
8060,166
8100,1129
8120,108
8130,1453
8140,9925
8150,166
8160,120
8200,422
8210,179
8220,7192
8230,719
8240,822
8250,846
8260,3511
8300,3598
8310,1000
8320,4350
8330,226
8340,155
8350,1581
8360,108
8400,159
8410,278
8420,354
8430,45
8440,65
8450,820
8460,448
8500,1566
8510,499
8520,4
8530,995
8540,741
8550,647
8600,873
8610,1758
8620,1387
8630,765
8640,882
8650,1757
8710,1515
8720,647
8730,305
8740,11878
8750,1024
8760,1653
8800,5028
8810,3150
8830,1085
8840,61
8850,328
8860,189
8900,68
8910,192
8920,751
8930,885
8940,306
8950,849
8960,16221
9000,3524
9030,2166
9040,615
9110,208
9120,9874
9130,57944
9140,4637
9150,1158
9200,969
9230,181
9240,921
9260,235
9300,401
9310,738
9330,77
9340,86
9350,1213
9360,1775
9410,698
9420,307
9500,111
9510,1027
9520,1450
9560,120
9600,8470
9610,5959
9620,32677
9630,752
9640,7382
9650,526
9720,1398
9730,62
9740,103
9750,901
9840,452
