code,n_monthly_2005_07,label
10,27837,Chief executives
20,16194,General and operations managers
40,1127,Advertising and promotions managers
50,13547,
60,1021,Public relations and fundraising managers
100,1569,
110,6617,Computer and information systems managers
120,18177,Financial managers
130,4616,
140,4644,Industrial production managers
150,2900,Purchasing managers
160,3955,"Transportation, storage, and distribution managers"
200,4843,
210,19473,
220,17532,Construction managers
230,13681,Education and childcare administrators
300,1641,Architectural and engineering managers
310,15549,Food service managers
320,799,
330,278,
340,3170,Lodging managers
350,8646,Medical and health services managers
360,211,Natural sciences managers
410,10361,"Property, real estate, and community association managers"
420,6370,Social and community service managers
430,57949,
500,709,"Agents and business managers of artists, performers, and athletes"
510,190,"Buyers and purchasing agents, farm products"
520,3422,"Wholesale and retail buyers, except farm products"
530,4786,"Purchasing agents, except wholesale, retail, and farm products"
540,4849,"Claims adjusters, appraisers, examiners, and investigators"
560,2476,
600,1908,Cost estimators
620,12636,
700,776,Logisticians
710,10051,Management analysts
720,609,
730,3766,
800,28467,Accountants and auditors
810,2157,Property appraisers and assessors
820,941,Budget analysts
830,607,Credit analysts
840,1573,
850,6086,Personal financial advisors
860,1731,Insurance underwriters
900,145,Financial examiners
910,7508,Credit counselors and loan officers
930,1139,"Tax examiners and collectors, and revenue agents"
940,1800,Tax preparers
950,748,
1000,12083,
1010,8699,Computer programmers
1020,13255,
1040,5533,
1060,1491,
1100,3215,
1110,5602,
1200,335,Actuaries
1210,61,Mathematicians
1220,1587,Operations research analysts
1230,557,Statisticians
1240,62,Other mathematical science occupations
1300,3838,
1310,841,"Surveyors, cartographers, and photogrammetrists"
1320,1636,Aerospace engineers
1330,87,Agricultural engineers
1340,141,Bioengineers and biomedical engineers
1350,1074,Chemical engineers
1360,5638,Civil engineers
1400,1186,Computer hardware engineers
1410,5533,Electrical and electronics engineers
1420,699,Environmental engineers
1430,2899,"Industrial engineers, including health and safety"
1440,181,Marine engineers and naval architects
1450,530,Materials engineers
1460,4791,Mechanical engineers
1500,192,"Mining and geological engineers, including mining safety engineers"
1510,134,Nuclear engineers
1520,337,Petroleum engineers
1530,5061,"Engineers, all other"
1540,3313,
1550,6907,
1560,1661,Surveying and mapping technicians
1600,747,Agricultural and food scientists
1610,2108,Biological scientists
1640,726,Conservation scientists and foresters
1650,2273,Medical scientists
1700,420,Astronomers and physicists
1710,186,Atmospheric and space scientists
1720,1959,Chemists and materials scientists
1740,1853,
1760,1931,"Physical scientists, all other"
1800,737,Economists
1810,2346,
1820,3303,
1830,77,Sociologists
1840,538,Urban and regional planners
1860,896,Miscellaneous social scientists and related workers
1900,415,Agricultural and food science technicians
1910,419,Biological technicians
1920,1197,Chemical technicians
1930,284,
1940,84,Nuclear technicians
1960,2826,
2000,11406,
2010,12075,
2020,5350,
2040,7133,Clergy
2050,866,"Directors, religious activities and education"
2060,1566,"Religious workers, all other"
2100,17882,Lawyers
2140,5924,
2150,4331,
2200,21762,
2300,11375,Preschool and kindergarten teachers
