group,dlog
stayer,-0.0
stayer,-3.73
stayer,-0.2
stayer,-5.13
stayer,5.13
stayer,-2.2
stayer,11.33
stayer,3.47
stayer,0.0
stayer,91.53
stayer,38.08
stayer,69.31
stayer,0.0
stayer,-78.02
stayer,7.85
stayer,13.35
stayer,0.0
stayer,8.22
stayer,11.55
stayer,15.01
stayer,22.32
stayer,281.34
stayer,22.31
stayer,8.84
stayer,-16.99
stayer,3.77
stayer,7.23
stayer,-18.23
stayer,28.26
stayer,4.08
stayer,-7.79
stayer,-1.55
stayer,15.54
stayer,15.42
stayer,3.13
stayer,1.6
stayer,4.35
stayer,0.0
stayer,-1.34
stayer,6.45
stayer,-63.95
stayer,25.13
stayer,-142.14
stayer,-12.68
stayer,13.35
stayer,77.7
stayer,-6.97
stayer,48.55
stayer,-26.59
stayer,2.37
stayer,-2.6
stayer,8.83
stayer,-1.9
stayer,104.71
stayer,-6.45
stayer,26.57
stayer,38.3
stayer,-10.71
stayer,25.78
stayer,44.47
stayer,16.35
stayer,16.71
stayer,30.32
stayer,-60.61
stayer,-105.94
stayer,-9.53
stayer,28.77
stayer,3.03
stayer,4.26
stayer,2.82
stayer,1.71
stayer,37.76
stayer,20.97
stayer,51.88
stayer,16.13
stayer,12.05
stayer,-45.68
stayer,-167.4
stayer,37.16
stayer,-52.05
stayer,73.85
stayer,11.78
stayer,20.59
stayer,-132.18
stayer,-3.39
stayer,25.59
stayer,5.48
stayer,-64.44
stayer,-6.45
stayer,0.0
stayer,-142.71
stayer,2.82
stayer,-6.45
stayer,14.95
stayer,-52.04
stayer,-22.31
stayer,-28.77
stayer,-49.58
stayer,0.85
stayer,-2.6
stayer,-3.92
stayer,-54.47
stayer,-20.07
stayer,-20.29
stayer,-49.43
stayer,9.28
stayer,-56.48
stayer,-111.47
stayer,-6.45
stayer,-1.14
stayer,2.96
stayer,0.0
stayer,18.23
stayer,6.9
stayer,-446.21
stayer,4.88
stayer,3.64
stayer,340.12
stayer,100.99
stayer,-6.02
stayer,4.55
stayer,19.32
stayer,76.21
stayer,0.0
stayer,24.12
stayer,0.0
stayer,32.25
stayer,47.0
stayer,-2.44
stayer,36.77
stayer,-18.23
stayer,472.3
stayer,17.77
stayer,2.47
stayer,13.35
stayer,-2.47
stayer,-3.92
stayer,-28.77
stayer,2.53
stayer,0.0
stayer,22.01
stayer,-105.21
stayer,47.0
stayer,23.11
stayer,0.0
stayer,-74.19
stayer,0.0
stayer,-100.55
stayer,-8.7
stayer,278.81
stayer,57.89
stayer,-456.14
stayer,-6.9
stayer,148.43
stayer,1.16
stayer,-2.71
stayer,-1.32
stayer,5.2
stayer,-28.77
stayer,-20.29
stayer,-8.0
stayer,22.31
stayer,0.0
stayer,0.0
stayer,33.65
stayer,-4.08
stayer,0.0
stayer,11.78
stayer,-26.24
stayer,6.9
stayer,-6.06
stayer,12.52
stayer,58.28
stayer,62.08
stayer,-41.49
stayer,42.74
stayer,80.3
stayer,-55.96
stayer,7.9
stayer,40.54
stayer,189.71
stayer,10.54
stayer,8.34
stayer,55.63
stayer,84.4
stayer,42.74
stayer,65.39
stayer,-20.97
stayer,7.7
stayer,32.85
stayer,0.0
stayer,-128.09
stayer,-147.44
stayer,0.11
stayer,0.0
stayer,0.0
stayer,-12.52
stayer,-44.9
stayer,-179.18
stayer,94.74
stayer,62.42
stayer,75.93
stayer,18.88
stayer,18.23
stayer,0.0
stayer,-24.69
stayer,109.86
stayer,-15.71
stayer,24.24
stayer,-7.46
stayer,2.06
stayer,6.9
stayer,2.2
stayer,8.39
stayer,-73.97
stayer,7.41
stayer,7.41
stayer,0.0
stayer,5.18
stayer,-65.59
stayer,3.45
stayer,0.0
stayer,41.62
stayer,-6.54
stayer,14.17
stayer,1.26
stayer,4.71
stayer,-9.53
stayer,83.62
stayer,2.02
stayer,212.03
stayer,-174.3
stayer,0.0
stayer,0.0
stayer,-20.17
stayer,14.31
stayer,69.31
stayer,26.83
stayer,47.0
stayer,64.77
stayer,-2.25
stayer,3.13
stayer,0.0
stayer,5.49
stayer,-191.09
stayer,11.78
stayer,9.96
stayer,6.45
stayer,-11.53
stayer,24.12
stayer,-100.98
stayer,9.53
stayer,15.72
stayer,33.05
stayer,102.45
stayer,38.78
stayer,-6.06
stayer,21.36
stayer,-31.89
stayer,14.84
stayer,152.35
stayer,60.24
