cal_year,grp,n,rate
1997,mom,248,9.07
1997,nomom,669,3.09
1998,mom,251,7.7
1998,nomom,675,3.33
1999,mom,267,11.71
1999,nomom,645,2.48
2000,mom,231,8.47
2000,nomom,618,3.49
2001,mom,552,11.18
2001,nomom,1046,2.88
2002,mom,485,7.73
2002,nomom,959,3.83
2003,mom,499,7.91
2003,nomom,988,3.14
2004,mom,555,8.78
2004,nomom,995,2.44
2005,mom,532,6.47
2005,nomom,921,2.84
2006,mom,548,8.99
2006,nomom,1013,2.58
2007,mom,543,6.77
2007,nomom,982,2.58
2008,mom,566,7.13
2008,nomom,1021,1.3
2009,mom,534,5.75
2009,nomom,1026,3.13
2010,mom,561,5.99
2010,nomom,1007,3.26
2011,mom,524,7.59
2011,nomom,967,2.51
2012,mom,527,7.76
2012,nomom,999,3.88
2013,mom,409,6.95
2013,nomom,724,3.79
2014,mom,573,5.52
2014,nomom,1056,2.43
2015,mom,487,3.12
2015,nomom,946,1.32
2016,mom,472,4.59
2016,nomom,976,2.47
2017,mom,445,3.8
2017,nomom,1000,1.87
2018,mom,490,5.16
2018,nomom,987,2.75
2019,mom,394,3.37
2019,nomom,837,3.12
2020,mom,403,4.82
2020,nomom,836,1.52
2021,mom,406,3.19
2021,nomom,729,1.48
2022,mom,367,7.82
2022,nomom,718,2.59
2023,mom,312,6.08
2023,nomom,739,2.89
2024,mom,275,3.27
2024,nomom,725,3.06
