window,prof,n,real_med_k
2004-2014,All college graduates,221363,87.7
2004-2014,Teachers,21859,68.2
2004-2014,Registered nurses,7728,91.3
2004-2014,Social workers,3142,61.2
2004-2014,Accountants,6689,87.4
2004-2014,Lawyers,4883,167.6
2004-2014,Physicians,4102,219.3
2004-2014,Pharmacists,1178,155.6
2004-2014,Physical therapists,858,98.4
2015-2025,All college graduates,221942,89.9
2015-2025,Teachers,19687,66.2
2015-2025,Registered nurses,9418,92.0
2015-2025,Social workers,2710,64.9
2015-2025,Accountants,5510,88.7
2015-2025,Lawyers,4627,166.7
2015-2025,Physicians,3900,242.4
2015-2025,Pharmacists,1212,147.2
2015-2025,Physical therapists,475,98.0
