cal_year,prof,n,leave
2002,Accountants,1012,8.49
2003,Accountants,874,8.51
2004,Accountants,809,6.92
2005,Accountants,856,8.06
2006,Accountants,905,7.88
2007,Accountants,892,8.45
2008,Accountants,928,8.25
2009,Accountants,881,8.2
2010,Accountants,888,6.81
2011,Accountants,902,6.01
2012,Accountants,921,6.8
2013,Accountants,566,6.75
2014,Accountants,808,6.27
2015,Accountants,732,8.66
2016,Accountants,791,9.5
2017,Accountants,767,5.99
2018,Accountants,786,5.84
2019,Accountants,701,4.87
2020,Accountants,671,7.99
2021,Accountants,617,7.12
2022,Accountants,561,4.08
2023,Accountants,657,5.47
2024,Accountants,614,3.9
2002,Lawyers,603,4.6
2003,Lawyers,665,5.39
2004,Lawyers,632,3.14
2005,Lawyers,627,3.69
2006,Lawyers,637,4.15
2007,Lawyers,645,4.51
2008,Lawyers,741,5.65
2009,Lawyers,707,3.2
2010,Lawyers,720,3.92
2011,Lawyers,685,4.24
2012,Lawyers,710,3.51
2013,Lawyers,490,5.1
2014,Lawyers,715,4.96
2015,Lawyers,645,4.36
2016,Lawyers,631,4.51
2017,Lawyers,668,5.91
2018,Lawyers,626,3.57
2019,Lawyers,649,4.84
2020,Lawyers,613,3.82
2021,Lawyers,591,3.11
2022,Lawyers,550,5.94
2023,Lawyers,530,6.39
2024,Lawyers,549,5.7
2002,Registered nurses,1021,6.12
2003,Registered nurses,1073,6.03
2004,Registered nurses,997,7.89
2005,Registered nurses,1026,6.46
2006,Registered nurses,1070,4.77
2007,Registered nurses,1154,7.01
2008,Registered nurses,1180,6.77
2009,Registered nurses,1165,6.18
2010,Registered nurses,1226,6.56
2011,Registered nurses,1250,6.92
2012,Registered nurses,1248,6.58
2013,Registered nurses,939,6.94
2014,Registered nurses,1323,8.94
2015,Registered nurses,1289,7.81
2016,Registered nurses,1361,6.98
2017,Registered nurses,1282,8.68
2018,Registered nurses,1398,8.73
2019,Registered nurses,1304,7.65
2020,Registered nurses,1313,7.52
2021,Registered nurses,1253,7.43
2022,Registered nurses,1269,8.16
2023,Registered nurses,1357,8.05
2024,Registered nurses,1281,5.84
2002,Social workers,384,9.54
2003,Social workers,395,12.22
2004,Social workers,366,9.75
2005,Social workers,399,11.81
2006,Social workers,389,8.81
2007,Social workers,406,10.59
2008,Social workers,418,9.88
2009,Social workers,443,14.05
2010,Social workers,450,13.25
2011,Social workers,394,12.24
2012,Social workers,420,12.27
2013,Social workers,279,12.81
2014,Social workers,383,17.09
2015,Social workers,397,15.3
2016,Social workers,389,13.06
2017,Social workers,394,11.77
2018,Social workers,358,11.22
2019,Social workers,335,11.46
2020,Social workers,337,13.63
2021,Social workers,337,13.7
2022,Social workers,309,17.93
2023,Social workers,273,9.65
2024,Social workers,278,17.41
2002,Teachers,3311,9.28
2003,Teachers,3511,8.13
2004,Teachers,3513,8.15
2005,Teachers,3364,8.9
2006,Teachers,3524,7.61
2007,Teachers,3570,7.72
2008,Teachers,3618,8.24
2009,Teachers,3527,9.34
2010,Teachers,3519,9.05
2011,Teachers,3412,8.94
2012,Teachers,3447,9.99
2013,Teachers,2416,9.07
2014,Teachers,3570,8.28
2015,Teachers,3275,7.33
2016,Teachers,3296,8.73
2017,Teachers,3294,8.33
2018,Teachers,3266,7.52
2019,Teachers,2854,10.24
2020,Teachers,2777,9.02
2021,Teachers,2618,7.09
2022,Teachers,2609,8.33
2023,Teachers,2511,8.22
2024,Teachers,2432,7.66
