window,prof,leave,n
2004-2014,Accountants,7.51,9422
2004-2014,Lawyers,4.24,7259
2004-2014,Pharmacists,8.69,1775
2004-2014,Physical therapists,8.25,1471
2004-2014,Physicians,6.12,5856
2004-2014,Registered nurses,6.57,12328
2004-2014,Social workers,11.69,4359
2004-2014,Teachers,8.66,37421
2015-2025,Accountants,6.3,7705
2015-2025,Lawyers,4.84,6767
2015-2025,Pharmacists,10.51,1760
2015-2025,Physical therapists,11.16,769
2015-2025,Physicians,7.7,5690
2015-2025,Registered nurses,7.75,14430
2015-2025,Social workers,13.82,3790
2015-2025,Teachers,8.25,32502
