cal_year,n,employed,outlf_55,outlf_u55,unemployed
1997,204,35.35,25.52,32.93,6.2
1998,193,35.23,25.19,34.88,4.7
1999,175,29.38,23.64,42.51,4.47
2000,184,29.08,24.75,37.75,8.42
2001,328,28.24,28.57,34.29,8.91
2002,318,25.06,28.74,34.83,11.37
2003,267,24.22,31.87,36.98,6.93
2004,276,24.4,35.3,32.42,7.88
2005,283,33.61,29.06,28.9,8.43
2006,271,24.28,24.05,38.17,13.5
2007,277,24.48,31.63,31.43,12.47
2008,277,26.14,30.26,26.81,16.79
2009,299,23.55,29.18,29.35,17.92
2010,305,21.97,32.44,29.65,15.94
2011,273,18.92,39.85,30.38,10.85
2012,298,24.82,30.63,28.8,15.76
2013,199,27.58,30.86,29.92,11.65
2014,272,27.5,38.6,25.21,8.69
2015,219,27.2,45.81,17.5,9.49
2016,241,23.21,38.75,23.61,14.43
2017,264,28.24,39.93,21.33,10.5
2018,215,22.58,38.37,29.89,9.17
2019,281,17.66,39.18,22.1,21.06
2020,236,23.74,38.8,18.73,18.73
2021,182,31.36,39.29,20.77,8.58
2022,206,25.67,33.02,32.24,9.07
2023,210,28.46,36.59,28.0,6.96
2024,178,32.65,31.99,25.18,10.17
