cal_year,tier,leaver_oldstyle,n,leaver_all,leaver_ba,se_ba,weighted
1997,C,10.95,2620,,,,0
1998,C,9.71,2719,,,,0
1999,C,9.22,2743,,,,0
2000,C,10.2,2646,,,,0
2001,C,9.95,4632,,,,0
2002,C,9.9,4201,,,,0
2003,C,8.43,4344,,,,0
2004,C,8.28,4361,,,,0
2005,B,8.53,4161,9.29,8.76,0.72,1
2006,B,8.39,4336,9.87,7.42,0.65,1
2007,B,8.12,4357,9.43,6.96,0.63,1
2008,B,7.46,4448,9.95,7.52,0.65,1
2009,B,8.24,4357,10.79,9.37,0.72,1
2010,A,8.84,4301,11.15,9.05,0.59,1
2011,A,8.63,4184,11.54,8.94,0.6,1
2012,A,8.52,4192,12.52,9.99,0.63,1
2013,A,8.46,2896,11.69,9.07,0.72,1
2014,A,7.36,4333,9.77,8.28,0.56,1
2015,A,7.23,3972,9.24,7.33,0.56,1
2016,A,7.54,4045,10.67,8.73,0.6,1
2017,A,8.64,4053,10.37,8.33,0.59,1
2018,A,7.05,3986,9.68,7.52,0.57,1
2019,A,8.88,3321,12.34,10.24,0.69,1
2020,A,8.85,3232,11.38,9.02,0.67,1
2021,A,7.53,3040,8.83,7.09,0.61,1
2022,A,8.66,3141,10.13,8.33,0.66,1
2023,A,8.88,3006,9.55,8.22,0.67,1
2024,A,8.43,2918,10.29,7.66,0.66,1
