abbr,GESTFIPS,n,beta_pp,se_pp,mean_leave
SD,46,1210,-2.52,1.5,8.09
OK,40,1129,-1.38,1.32,6.28
MT,30,1020,-1.3,1.56,13.37
AK,2,1109,-1.25,1.38,10.43
NH,33,1573,-1.15,0.89,8.01
DE,10,1100,-1.08,0.81,6.67
WI,55,1348,-0.98,0.72,8.42
CO,8,1409,-0.69,0.64,11.53
NM,35,1176,-0.67,1.02,10.57
KY,21,1104,-0.66,0.69,7.37
NJ,34,2228,-0.53,0.35,6.86
WV,54,1188,-0.49,0.82,6.75
MA,25,1829,-0.38,0.73,9.77
KS,20,1358,-0.33,0.8,6.95
VA,51,1786,-0.31,0.85,9.13
WA,53,1369,-0.3,0.68,8.59
MD,24,1679,-0.28,0.7,9.42
OH,39,2338,-0.26,0.49,7.9
DC,11,984,-0.09,1.02,12.44
MI,26,1873,-0.07,0.43,7.38
NV,32,944,-0.07,0.48,7.28
IL,17,2604,-0.04,0.46,8.98
OR,41,1083,0.02,0.74,12.59
GA,13,1861,0.08,0.38,7.25
TX,48,5159,0.15,0.43,8.57
CA,6,6583,0.21,0.22,8.62
NY,36,4229,0.24,0.36,7.63
CT,9,1691,0.29,0.54,7.67
FL,12,3151,0.3,0.32,9.04
RI,44,1300,0.33,0.4,7.83
AL,1,1246,0.36,0.64,7.6
SC,45,1206,0.5,0.6,9.5
WY,56,1273,0.54,1.12,7.84
IA,19,1355,0.59,1.21,10.23
ID,16,1016,0.68,0.87,8.21
AR,5,1081,0.73,0.8,6.15
PA,42,2606,0.94,0.6,7.7
NC,37,1691,0.97,0.5,9.77
NE,31,1339,1.03,1.48,7.23
MO,29,1239,1.1,0.7,10.05
UT,49,1113,1.18,1.21,9.68
TN,47,1192,1.18,0.63,7.11
HI,15,1307,1.22,0.7,8.89
IN,18,1267,1.32,0.66,8.84
LA,22,1289,1.42,0.8,7.88
VT,50,1534,1.49,1.08,9.44
ME,23,1243,1.54,0.65,5.12
AZ,4,1031,1.59,0.79,11.74
MN,27,1670,1.67,0.9,7.98
MS,28,1146,1.96,0.7,7.91
