GESTFIPS,cal_year,n,leave
1,1997,29,11.73
1,1998,31,5.14
1,1999,28,6.74
1,2000,28,6.02
1,2001,51,8.54
1,2002,38,5.15
1,2003,50,10.55
1,2004,44,6.99
1,2005,36,8.63
1,2006,33,4.43
1,2007,42,7.07
1,2008,38,1.77
1,2009,35,9.43
1,2010,31,14.06
1,2011,35,8.29
1,2012,46,8.71
1,2013,27,9.23
1,2014,53,2.99
1,2015,53,4.43
1,2016,59,4.43
1,2017,56,1.13
1,2018,68,5.28
1,2019,62,18.38
1,2020,57,7.28
1,2021,60,5.91
1,2022,49,6.8
1,2023,52,7.62
1,2024,55,7.16
2,1997,32,5.38
2,1998,27,14.17
2,2000,26,11.94
2,2001,55,9.39
2,2002,52,10.36
2,2003,58,13.63
2,2004,57,7.32
2,2005,52,13.0
2,2006,60,15.12
2,2007,56,6.75
2,2008,39,6.52
2,2009,47,6.16
2,2010,50,13.05
2,2011,34,7.7
2,2012,52,7.79
2,2013,32,3.42
2,2014,44,9.64
2,2015,44,8.53
2,2016,29,2.25
2,2017,35,24.48
2,2018,31,9.47
2,2019,32,10.15
2,2020,27,11.87
2,2021,32,8.56
2,2022,33,16.46
2,2023,28,14.11
4,1997,30,12.11
4,1998,26,11.74
4,1999,26,10.05
4,2000,26,7.81
4,2001,40,13.29
4,2002,49,14.08
4,2003,50,3.94
4,2004,47,10.2
4,2005,39,1.91
4,2006,27,8.05
4,2007,34,4.88
4,2008,41,12.17
4,2009,42,9.7
4,2010,47,15.56
4,2011,45,13.98
4,2012,33,15.55
4,2014,30,11.84
4,2015,34,14.44
4,2016,36,16.33
4,2017,42,3.6
4,2018,38,12.11
4,2019,44,21.83
4,2020,41,14.19
4,2022,48,5.33
4,2023,39,7.98
4,2024,37,5.33
5,1998,29,21.14
5,1999,31,6.34
5,2000,28,6.62
5,2001,41,2.72
5,2002,29,3.83
5,2003,34,11.76
5,2004,35,7.62
5,2005,41,8.72
5,2006,35,11.94
5,2007,51,5.61
5,2008,42,7.83
5,2011,33,13.84
5,2012,34,2.14
5,2013,29,5.99
5,2014,64,10.63
5,2015,53,1.39
5,2016,39,0.0
5,2017,58,7.86
5,2018,56,1.23
5,2019,39,10.2
5,2020,45,3.5
5,2021,42,2.07
5,2022,47,8.31
5,2023,45,10.32
5,2024,41,3.56
6,1997,173,10.43
6,1998,159,9.25
6,1999,153,8.07
6,2000,187,6.42
6,2001,255,10.93
6,2002,233,8.88
6,2003,199,12.33
6,2004,227,6.59
6,2005,263,7.03
6,2006,267,6.22
6,2007,291,8.67
6,2008,297,9.79
6,2009,283,7.78
6,2010,272,10.1
6,2011,230,7.27
6,2012,285,9.03
6,2013,218,6.79
6,2014,277,6.25
6,2015,258,7.06
6,2016,276,9.53
6,2017,270,14.02
6,2018,279,4.7
6,2019,222,10.65
6,2020,204,15.78
6,2021,227,8.11
6,2022,205,7.8
6,2023,185,4.36
6,2024,188,7.72
8,1997,28,10.49
8,1998,45,7.85
8,1999,38,4.55
8,2000,27,11.24
8,2001,62,9.72
8,2002,58,14.27
8,2003,68,13.4
8,2004,64,8.52
8,2005,74,8.88
8,2006,70,7.55
8,2007,72,5.87
8,2008,77,12.84
8,2009,63,5.89
8,2010,70,14.08
8,2011,79,11.07
8,2012,66,12.08
8,2013,50,7.35
8,2014,48,12.64
8,2015,40,12.74
8,2016,39,18.15
8,2017,53,14.36
8,2018,48,14.05
8,2020,29,0.0
8,2021,36,13.08
8,2022,28,11.84
8,2023,32,5.52
8,2024,25,8.61
9,1997,30,17.81
9,1998,28,0.0
9,1999,32,6.77
9,2000,30,9.97
9,2001,72,3.37
9,2002,70,10.81
9,2003,79,8.51
9,2004,91,6.87
9,2005,93,6.25
9,2006,91,10.49
9,2007,79,13.54
9,2008,84,7.58
9,2009,89,14.09
9,2010,91,8.65
9,2011,106,10.54
9,2012,103,7.62
9,2013,70,5.92
9,2014,81,8.42
9,2015,42,0.0
9,2016,47,2.11
9,2017,41,9.46
9,2018,44,3.83
9,2019,31,7.96
9,2020,28,16.89
9,2021,31,5.82
9,2022,35,9.73
9,2023,45,12.46
9,2024,28,7.09
10,1999,25,0.0
10,2001,47,5.2
10,2002,40,21.78
10,2003,44,3.31
10,2004,56,2.01
10,2005,42,9.66
10,2006,50,10.33
10,2007,51,6.51
10,2008,61,11.16
10,2009,58,7.43
10,2010,46,2.93
10,2011,42,6.43
10,2012,39,4.06
10,2013,31,2.33
10,2014,54,3.58
10,2015,35,4.19
10,2016,32,5.57
10,2017,46,11.8
10,2018,35,5.31
10,2019,31,5.3
10,2021,44,13.49
10,2022,43,9.7
10,2023,32,2.62
10,2024,31,7.38
11,2001,25,18.94
11,2004,38,26.28
11,2005,29,17.14
11,2006,37,13.53
11,2007,38,19.19
11,2008,44,10.98
11,2009,33,27.83
11,2010,43,23.17
11,2011,39,4.09
11,2012,41,8.24
11,2013,28,13.32
11,2014,54,13.86
11,2015,48,5.2
11,2016,55,8.11
