cal_year,female,age,ma_plus,black,child_u6,married,public,parttime,pension,n
2005,76.8,43.0,45.0,8.6,24.0,72.3,75.1,11.7,79.0,2289
2006,74.6,42.6,43.0,7.9,23.8,71.5,74.9,13.3,77.5,2421
2007,75.4,43.7,47.0,7.4,22.2,72.1,76.5,11.5,79.1,2450
2008,77.0,43.3,46.7,7.0,22.7,71.0,75.1,13.4,77.4,2439
2009,75.3,43.9,48.0,6.9,22.7,70.3,74.7,12.7,78.8,2463
2010,76.1,44.2,49.5,8.1,18.6,67.9,73.9,17.0,76.3,3519
2011,76.1,44.2,49.9,8.6,18.0,67.1,73.7,15.3,77.1,3412
2012,75.7,43.8,50.2,7.5,17.4,68.3,71.8,17.8,74.4,3447
2013,76.0,42.9,50.9,9.5,18.9,67.1,71.3,17.0,77.8,2416
2014,77.3,43.8,49.4,9.6,19.0,70.3,70.4,15.1,71.6,3570
2015,76.5,44.1,50.1,9.4,17.3,69.3,71.2,15.4,70.4,3275
2016,76.7,44.8,51.7,9.0,16.0,67.6,70.7,16.9,67.7,3296
2017,75.2,44.5,50.5,9.3,15.8,65.7,69.9,17.0,66.3,3294
2018,76.7,43.9,51.9,9.4,17.2,66.6,68.8,16.2,66.3,3266
2019,76.5,44.6,52.4,8.2,17.3,67.1,71.0,14.6,65.3,2854
2020,75.6,44.1,55.0,10.0,17.1,66.3,71.1,12.5,66.5,2777
2021,75.5,44.0,53.2,10.0,18.2,67.9,70.3,11.2,66.3,2618
2022,74.8,44.4,51.9,9.4,17.1,68.7,70.3,12.0,65.9,2609
2023,75.2,44.7,51.1,10.7,14.6,64.9,70.5,15.0,66.7,2511
2024,77.5,44.8,51.5,10.6,12.7,64.0,68.6,12.5,64.4,2432
