base_year,n,leaver_final
2005,3081.0,11.764789204103886
2006,2609.0,12.601030885732165
2007,2801.0,10.997351081375909
2008,2764.0,10.627595767621301
2009,2748.0,12.519590007019934
2010,2761.0,11.158798872695284
2011,2601.0,13.281543490917299
2012,2557.0,13.295228585585859
2013,2487.0,13.185581787857531
2014,2397.0,13.36816393008378
2015,2514.0,12.713178521265146
2016,2593.0,13.445340397222195
2017,2481.0,12.52746913875875
2018,2497.0,13.06999577321171
2019,2370.0,15.578097192731995
2020,1937.0,13.300051183966113
2021,1941.0,12.903052684293016
2022,1975.0,14.14839015654823
2023,1977.0,14.561907100808888
2024,1751.0,14.091071299614075
