base_year,n,leaver_r3
2005,3612.0,15.355436604755123
2006,2856.0,16.713925168129656
2007,3079.0,15.388920318752488
2008,3028.0,14.527107078702814
2009,3024.0,17.168842383525195
2010,3032.0,15.542138755158827
2011,2845.0,17.674356017817026
2012,2835.0,17.757683431856204
2013,2760.0,18.097410047745942
2014,2648.0,18.150027134354918
2015,2846.0,18.146597622069844
2016,2898.0,18.80547380210536
2017,2803.0,18.730977736642274
2018,2780.0,17.768659356716118
2019,2669.0,21.814977957760707
2020,2274.0,19.04310694913999
2021,2253.0,19.423629418835944
2022,2307.0,20.37741208503192
2023,2247.0,20.410419416901828
2024,2007.0,20.816994150906346
2025,44.0,43.45939619738406
