pkey,HRYEAR4,PWSSWGT,n_y1_teach,n_y2_obs,n_y2_nonsummer,leaver
095966902076179|79001|2|24061,2005,3152.8252,4,4.0,4.0,0
131062109100999|79001|2|24058,2005,2692.113,1,4.0,4.0,0
871069540509009|79001|2|24059,2005,2346.8018,2,4.0,4.0,0
094994203002159|79001|1|24059,2005,3006.3276,2,4.0,4.0,1
094994203002159|79001|2|24059,2005,2344.6636,2,4.0,4.0,1
506904700993531|79001|1|24061,2005,3371.5305,4,4.0,4.0,0
600106910890998|79001|2|24061,2005,2944.581,4,4.0,4.0,0
910930094909290|79001|1|24059,2005,2306.3936,2,4.0,4.0,0
942099909100903|79001|2|24059,2005,2582.045,2,4.0,4.0,1
015600520698745|79001|1|24060,2005,485.5496,3,4.0,4.0,0
294510076580650|79001|2|24060,2005,475.2221,3,4.0,4.0,0
400207929779997|79001|2|24059,2005,380.549,2,4.0,4.0,0
720787006919063|79001|1|24061,2005,487.7746,4,1.0,1.0,0
837067029201974|79001|1|24058,2005,326.9877,1,4.0,4.0,0
260927062203659|79001|1|24058,2005,294.5534,1,4.0,4.0,0
279950284720950|79001|1|24060,2005,439.422,3,4.0,4.0,0
300206415051592|79001|2|24058,2005,342.0756,1,4.0,4.0,0
430092439200839|79001|2|24058,2005,193.192,1,4.0,4.0,0
704909220493752|79001|1|24059,2005,299.0659,2,4.0,4.0,0
900626099206099|79001|2|24061,2005,392.3103,4,3.0,3.0,0
937002924039990|79001|2|24058,2005,342.0756,1,4.0,4.0,0
140603076902694|79001|1|24061,2005,4463.4106,3,4.0,4.0,0
479940631160950|79001|4|24060,2005,3721.986,3,4.0,4.0,0
911014826049000|79001|1|24059,2005,3275.085,2,4.0,4.0,0
410060133740060|79001|1|24061,2005,3758.693,4,4.0,4.0,0
410060133740060|79001|2|24061,2005,4026.8474,4,4.0,4.0,0
736096148400830|79001|1|24058,2005,2672.8284,1,4.0,4.0,0
499940390160950|79001|3|24060,2005,2695.3726,3,4.0,4.0,0
909014963059490|79001|1|24060,2005,2563.7861,3,4.0,4.0,0
082055130040340|79001|2|24059,2005,1869.7275,2,4.0,4.0,0
599390150550950|79001|2|24060,2005,1730.4321,3,4.0,4.0,0
998095969039600|79001|2|24058,2005,1763.9332,1,4.0,4.0,0
024090350995798|79001|1|24058,2005,1610.7799,1,4.0,4.0,0
850958067403669|79001|2|24058,2005,2026.6749,1,4.0,4.0,0
965459930826002|79001|2|24058,2005,2165.1802,1,4.0,4.0,0
975589230049009|79001|1|24058,2005,1763.0541,1,4.0,4.0,0
047530350990291|79001|1|24058,2005,1730.8271,1,4.0,4.0,0
047530350990291|79001|2|24058,2005,1863.3553,1,4.0,4.0,0
106604930996755|79001|1|24061,2005,2105.8076,4,4.0,4.0,0
430953066503949|79001|2|24058,2005,1672.6978,1,4.0,4.0,0
430953066503949|79001|3|24058,2005,1922.808,1,4.0,4.0,0
600506928593992|79001|1|24061,2005,2008.6616,4,4.0,4.0,0
600506928593992|79001|2|24061,2005,2162.0818,4,4.0,4.0,0
622035959069890|79001|2|24061,2005,1937.1355,4,4.0,4.0,0
031590560992196|79001|1|24060,2005,2915.6333,3,4.0,4.0,0
031590560992196|79001|2|24060,2005,3091.976,3,4.0,4.0,0
050130560992592|79001|1|24060,2005,3274.0498,3,4.0,4.0,0
092956505092699|79001|1|24061,2005,3723.4482,4,4.0,4.0,0
096923705042636|79001|1|24058,2005,3015.1997,1,4.0,4.0,1
235094829600837|79001|1|24058,2005,2830.1294,1,4.0,4.0,0
256489350769005|79001|1|24060,2005,3304.1765,1,4.0,4.0,1
256489350769005|79001|4|24060,2005,3331.6792,3,4.0,4.0,0
256489350769005|79001|3|24060,2005,3483.7798,3,4.0,4.0,0
300600061480212|79001|1|24058,2005,2747.246,1,4.0,4.0,0
400609932997795|79002|2|24059,2005,3167.2544,2,4.0,4.0,0
560234076909296|79001|1|24061,2005,2427.9539,3,4.0,4.0,0
609800018720940|79001|1|24059,2005,2989.9048,2,4.0,4.0,0
610060951530040|79001|1|24059,2005,2923.8577,2,4.0,4.0,0
659800018720960|79001|1|24061,2005,3431.1777,4,4.0,4.0,1
659830557640940|79001|1|24059,2005,3142.7793,2,4.0,4.0,0
660967092903289|79001|1|24058,2005,2985.189,1,4.0,4.0,0
687830557640960|79001|1|24061,2005,3385.6492,4,4.0,4.0,1
696459740899001|79001|2|24059,2005,3469.9304,2,4.0,4.0,0
905046970059730|79001|1|24060,2005,3051.7244,3,4.0,4.0,0
906902170995676|79001|1|24061,2005,2496.8103,4,4.0,4.0,0
954006519049770|79001|1|24059,2005,3175.1326,2,4.0,4.0,0
956229550109003|79001|2|24060,2005,3539.995,3,4.0,4.0,0
005023607049641|79001|1|24058,2005,3917.378,1,2.0,2.0,1
006896730909001|79001|2|24058,2005,2782.2227,1,4.0,4.0,0
065050360926391|79002|2|24058,2005,2412.694,1,4.0,4.0,0
091935601084626|79001|1|24060,2005,3240.9875,3,4.0,4.0,0
092904908022649|79001|2|24059,2005,2940.0273,2,4.0,4.0,0
093904509014649|79001|1|24059,2005,2793.8472,2,4.0,4.0,0
093905305033648|79001|1|24060,2005,2995.654,3,3.0,3.0,0
096724705042632|79001|1|24059,2005,3163.2153,2,4.0,4.0,1
170860098004287|79001|1|24059,2005,3044.3357,2,4.0,4.0,0
258095589600870|79001|2|24060,2005,2940.171,3,4.0,4.0,0
300609680217098|79001|3|24058,2005,2970.0034,1,4.0,4.0,0
300609907344588|79001|1|24058,2005,2181.1743,1,4.0,4.0,0
300609949225854|79001|1|24058,2005,2824.4993,1,1.0,1.0,0
310368095704879|79001|2|24059,2005,3468.5261,2,4.0,4.0,0
336097889600891|79001|1|24058,2005,2761.3328,1,4.0,4.0,0
336097889600891|79001|2|24058,2005,2679.6394,1,4.0,4.0,0
460147054907797|79001|1|24059,2005,3060.173,2,4.0,4.0,0
460147054907797|79001|3|24059,2005,2743.58,2,4.0,4.0,0
548099977600414|79001|1|24059,2005,3044.3357,2,4.0,4.0,0
600609957734070|79001|3|24061,2005,3293.027,4,4.0,4.0,0
610440954010060|79001|1|24061,2005,3263.3696,4,4.0,4.0,0
689320399530940|79001|1|24059,2005,3237.6433,2,4.0,4.0,0
698820609590930|79001|1|24058,2005,3115.3667,1,4.0,4.0,0
760120083700890|79001|2|24058,2005,2785.4253,1,4.0,4.0,0
866092739600992|79001|2|24061,2005,3182.5964,4,4.0,4.0,0
906908000471976|79001|2|24061,2005,3404.0642,4,4.0,4.0,0
090916405001634|79001|2|24061,2005,3782.558,4,4.0,4.0,1
090976506098619|79261|1|24061,2005,3431.124,4,4.0,4.0,0
266097279600995|79001|2|24061,2005,3224.8586,4,4.0,4.0,0
760870094909390|79001|1|24059,2005,2664.8682,2,4.0,4.0,0
806901760999506|79001|2|24061,2005,3620.7483,4,4.0,4.0,0
945086967059340|79001|2|24060,2005,3021.005,2,4.0,4.0,0
400807987835898|79001|1|24059,2005,1755.039,2,4.0,4.0,1
520986078203349|79001|2|24058,2005,1782.4084,1,4.0,4.0,0
300807921262787|79001|1|24058,2005,1512.428,1,4.0,4.0,1
600807949970299|79001|1|24061,2005,1555.0447,4,3.0,3.0,0
899140325700730|79001|2|24058,2005,2014.2977,1,4.0,4.0,0
012033501081821|79001|1|24058,2005,1585.2157,1,4.0,4.0,0
094964009092899|79001|2|24059,2005,1481.4998,2,2.0,2.0,0
