cal_year,Accountants,All other graduates,Lawyers,Registered nurses,Social workers,Teachers
1997,78168.05274360173,87939.05933655195,146565.09889425323,87939.05933655195,60580.24087629133,68397.04615065151
1998,76977.20975410256,92372.65170492308,147846.2779142171,84234.23620367057,64027.71864321866,67355.05853483974
1999,88507.13656828414,94156.52826413207,169481.75087543772,85305.81460730365,65909.56978489245,67792.70035017509
2000,87446.22949232928,92911.61883559986,171248.86608914484,81980.8401490587,63762.8756714901,69228.26501476068
2001,85050.66792186398,92138.2235820193,164785.66909861146,88594.44575194165,62016.11202635915,70875.55660155331
2002,87202.97442550038,95923.2718680504,167429.7108969607,87202.97442550038,66274.26056338027,69762.37954040029
2003,88653.82971014494,93768.47373188406,187536.94746376813,90358.71105072464,61375.72826086957,68536.22989130435
2004,83029.20287617452,92992.70722131546,172700.741982443,86352.03157527902,63102.19418589263,66584.43895451938
2005,92374.41746329806,94609.07511010584,184748.83492659612,93177.67326732674,64260.464322294305,67473.48753840901
2006,87467.66593624675,93381.8497540001,166530.9653946335,91825.48559143342,62254.56650266673,67546.2046553934
2007,87750.20758561652,90776.07681270674,151293.46135451124,93801.94603979697,65056.188382439825,68838.5249163026
2008,87440.27121415721,91812.28477486508,182167.23169616086,90354.94692129579,59750.85199634076,68494.87911775649
2009,87721.2930367535,90645.33613797861,153512.26281431862,95031.40078981628,61404.90512572745,71639.05598001536
2010,86311.66662565143,92062.70897706228,152478.86174325942,93501.18880482888,57539.19311066393,68327.79181891342
2011,86470.86484411704,90654.93894947754,167362.96421442006,90654.93894947754,58577.03747504702,67865.68198894734
2012,81981.8419597878,88813.66212310344,157131.86375625993,90182.7588838319,61486.381469840846,66040.47279070706
2013,80797.3754221636,91570.35881178542,161594.7508443272,87530.49004067724,60598.0315666227,64637.90033773088
2014,83488.51783790634,90114.59068218463,184204.82507093623,90114.59068218463,60959.87016736019,63611.624519640354
2015,86034.72688844423,92652.78280293994,164127.7866794936,90005.56043714166,64856.94796205795,66180.5591449571
2016,91493.23365965701,91493.23365965701,164687.82058738262,91493.23365965701,65352.30975689786,67966.40214717378
2017,87024.2669266743,92143.3414517728,159971.07890932777,89583.80418922355,63988.43156373111,65268.20019500573
2018,87450.87770651342,93697.36897126438,174901.75541302684,93697.36897126438,62464.91264750958,62467.411244015486
2019,92028.65151307227,92028.65151307227,184057.30302614454,88347.50545254938,66260.62908941203,67487.677776253
2020,88466.12897981469,96949.18244363254,176932.25795962938,95810.02954991987,63016.96858836115,69076.29249108818
2021,92613.70964741007,95811.19797298689,179439.062441857,92613.70964741007,68302.61086496492,69460.28223555755
2022,85760.72392643978,92192.77822092276,160801.35736207457,90048.76012276177,66464.56104299083,64320.54294482983
2023,90597.8564919501,92656.89868494894,154428.16447491493,92656.89868494894,64859.82907946427,64859.82907946427
2024,100000.0,95000.0,160000.0,91000.0,68640.0,65000.0
