variable,(1) Probit,"(2) LPM, weighted",(3) Logit,"(4) LPM, state+year FE","(5) Probit, 1997--2024","(6) LPM, pair definition"
Age (years),-0.80***,-1.40***,-0.68***,-1.38***,-0.83***,-1.28***
,(0.08),(0.13),(0.07),(0.13),(0.05),(0.13)
Age$^2$/100,0.96***,1.71***,0.84***,1.69***,0.99***,1.53***
,(0.08),(0.15),(0.07),(0.15),(0.05),(0.14)
Female,-1.42***,-1.68***,-1.35***,-1.61***,-1.34***,-1.49***
,(0.34),(0.45),(0.34),(0.45),(0.21),(0.42)
Black,1.86***,2.22***,1.77***,2.39***,2.10***,1.44**
,(0.49),(0.69),(0.49),(0.72),(0.31),(0.63)
Married,-0.23,0.49,-0.23,0.47,-0.32,0.46
,(0.47),(0.58),(0.49),(0.59),(0.29),(0.54)
Separated/divorced/widowed,0.96,1.78**,0.97,1.73**,0.29,1.56**
,(0.59),(0.78),(0.59),(0.78),(0.36),(0.73)
Master's degree or higher,-0.84***,-0.50,-0.85***,-0.45,-0.58***,-0.59*
,(0.30),(0.38),(0.30),(0.40),(0.18),(0.35)
Public school,-1.74***,-1.56***,-1.64***,-1.59***,-1.28***,-1.24***
,(0.32),(0.47),(0.32),(0.48),(0.20),(0.44)
Pension plan at work,-2.46***,-2.57***,-2.47***,-2.56***,-3.11***,-2.08***
,(0.32),(0.45),(0.32),(0.45),(0.20),(0.42)
Part-time (<35 h/wk),4.37***,8.25***,3.95***,8.22***,4.62***,6.82***
,(0.37),(0.85),(0.35),(0.85),(0.22),(0.79)
Worked full year (50+ wks),-9.26***,-12.47***,-9.66***,-12.55***,-10.32***,-9.77***
,(0.32),(0.54),(0.33),(0.54),(0.19),(0.49)
Number of children,-0.47***,-0.38*,-0.65***,-0.37*,-0.72***,-0.33*
,(0.17),(0.20),(0.18),(0.20),(0.11),(0.18)
Child under 6,0.45,0.50,0.52,0.54,0.62**,0.67
,(0.51),(0.50),(0.54),(0.51),(0.30),(0.47)
New baby this year,4.61***,5.42***,4.85***,5.44***,4.76***,4.78***
,(0.78),(1.23),(0.77),(1.23),(0.43),(1.17)
Observations,"28,900","28,900","28,900","28,900","85,430","28,900"
