variable,Women,Men,Public,Private,Under 45,45+
Age (years),-1.35***,-1.41***,-1.38***,-1.44***,-0.00,-1.31**
,(0.15),(0.28),(0.16),(0.25),(0.51),(0.59)
Age$^2$/100,1.66***,1.69***,1.77***,1.61***,-0.22,1.65***
,(0.17),(0.30),(0.18),(0.26),(0.73),(0.51)
Female,--,--,-0.71,-4.06***,-1.20**,-2.05***
,,,(0.48),(1.03),(0.59),(0.70)
Black,2.45***,1.20,2.01***,2.41,3.19***,0.74
,(0.77),(1.48),(0.75),(1.47),(1.00),(0.91)
Married,0.18,1.72,0.81,-0.07,0.62,-0.29
,(0.66),(1.23),(0.64),(1.24),(0.70),(1.05)
Separated/divorced/widowed,1.43,2.94*,2.25**,0.46,1.34,1.07
,(0.88),(1.76),(0.88),(1.58),(1.05),(1.21)
Master's degree or higher,-0.28,-1.51*,-0.53,-0.48,-1.37***,0.13
,(0.43),(0.83),(0.41),(0.81),(0.48),(0.59)
Public school,-1.12**,-3.11***,--,--,-3.53***,0.61
,(0.53),(1.04),,,(0.60),(0.74)
Pension plan at work,-1.95***,-4.54***,-2.99***,-2.03**,-2.50***,-2.74***
,(0.50),(1.01),(0.54),(0.80),(0.56),(0.71)
Part-time (<35 h/wk),7.86***,10.63***,10.96***,5.37***,7.96***,7.68***
,(0.93),(2.07),(1.21),(1.21),(1.17),(1.20)
Worked full year (50+ wks),-12.35***,-13.01***,-10.33***,-16.85***,-8.29***,-16.89***
,(0.60),(1.20),(0.59),(1.11),(0.69),(0.82)
Number of children,-0.46**,0.03,-0.10,-0.92**,-0.41,-0.52
,(0.23),(0.39),(0.22),(0.42),(0.26),(0.33)
Child under 6,1.30**,-2.22**,0.97*,-0.35,-0.07,-1.28
,(0.59),(0.97),(0.52),(1.19),(0.59),(1.46)
New baby this year,5.67***,5.22**,4.69***,6.51**,5.54***,13.64
,(1.49),(2.17),(1.30),(2.73),(1.25),(9.34)
Observations,"22,114","6,786","20,648","8,252","15,384","13,516"
