base_year,group,n,rate
2005,Accountants and auditors,2548,37.16791744731821
2005,Registered nurses,3198,16.49599501119451
2005,Social workers,1253,37.58537389620864
2005,Teachers,9989,15.818330196266484
2006,Accountants and auditors,2788,37.88447554394451
2006,Registered nurses,3274,19.281179526368007
2006,Social workers,1190,45.46809653451868
2006,Teachers,9711,16.116172521828236
2007,Accountants and auditors,2769,39.64087302359013
2007,Registered nurses,3696,19.859478872506457
2007,Social workers,1206,36.55956720184829
2007,Teachers,10378,14.828861631968119
2008,Accountants and auditors,2922,38.165361171196174
2008,Registered nurses,3808,18.507020740846567
2008,Social workers,1302,36.86168505620492
2008,Teachers,10179,15.194265288217009
2009,Accountants and auditors,2702,38.00703895952483
2009,Registered nurses,3639,19.69095940545971
2009,Social workers,1369,36.879022886795234
2009,Teachers,10146,15.92371119201206
2010,Accountants and auditors,2530,39.7493788506372
2010,Registered nurses,3755,20.868786109140746
2010,Social workers,1369,38.95340527193022
2010,Teachers,10323,15.800769877734435
2011,Accountants and auditors,2802,39.004788827233845
2011,Registered nurses,3899,19.77710549530794
2011,Social workers,1286,41.33175692219681
2011,Teachers,9518,17.070421276533022
2012,Accountants and auditors,3003,38.57722502124084
2012,Registered nurses,4009,18.70820422476761
2012,Social workers,1244,41.84230431000215
2012,Teachers,9556,16.955526006766547
2013,Accountants and auditors,2622,41.46444039298067
2013,Registered nurses,3743,21.884894306841783
2013,Social workers,1287,40.289875238335696
2013,Teachers,9081,17.579909125234522
2014,Accountants and auditors,2487,38.84843586701758
2014,Registered nurses,3638,21.162904883493926
2014,Social workers,1156,43.39232624164303
2014,Teachers,8526,17.390799579653603
2015,Accountants and auditors,2667,37.42727194164302
2015,Registered nurses,3890,18.924765158256655
2015,Social workers,1067,43.623737776342644
2015,Teachers,9146,18.19383122076694
2016,Accountants and auditors,2471,38.68970987135749
2016,Registered nurses,4273,21.986471749985792
2016,Social workers,1127,44.31099051692012
2016,Teachers,9310,18.05543629782695
2017,Accountants and auditors,2582,37.97779295859137
2017,Registered nurses,4052,20.825613217626167
2017,Social workers,1192,39.23860129703154
2017,Teachers,8926,18.456162466264573
2018,Accountants and auditors,2666,36.44348604622289
2018,Registered nurses,4172,19.286758252365548
2018,Social workers,1105,42.912276783124945
2018,Teachers,8885,17.733055637637076
2019,Accountants and auditors,2380,38.247218139460564
2019,Registered nurses,4146,21.485776977658723
2019,Social workers,1116,44.96230046765376
2019,Teachers,8351,21.758039508539603
2020,Accountants and auditors,1922,38.16258770966615
2020,Registered nurses,3506,20.534917553848377
2020,Social workers,975,43.97919649954343
2020,Teachers,6896,18.42690089674066
2021,Accountants and auditors,1832,38.27823640474154
2021,Registered nurses,3579,22.952017378941726
2021,Social workers,934,44.19268846690699
2021,Teachers,6703,17.92567885946232
2022,Accountants and auditors,1886,39.672262527048254
2022,Registered nurses,3765,20.938004267751943
2022,Social workers,1009,42.921757497228526
2022,Teachers,6848,19.69225912487608
2023,Accountants and auditors,2037,40.00857952270447
2023,Registered nurses,3739,21.284266483886547
2023,Social workers,911,41.76184496811667
2023,Teachers,6677,19.286252072550404
2024,Accountants and auditors,2057,44.793875193937296
2024,Registered nurses,3379,19.706343891805446
2024,Social workers,776,42.726325678414376
2024,Teachers,5723,20.277710234573824
