HRYEAR4,under35,hispanic,ba_plus,ma_plus,public,union
2005,32.23,6.4,87.19,39.93,75.21,48.7
2006,31.86,6.93,87.05,41.22,74.6,47.68
2007,32.94,7.24,87.66,40.85,75.35,47.13
2008,31.93,6.91,88.17,41.88,76.12,47.88
2009,31.88,7.26,88.1,41.73,75.02,48.77
2010,30.51,7.42,87.28,43.62,74.15,48.27
2011,30.64,8.31,87.25,44.07,72.94,47.29
2012,31.45,9.89,86.89,43.41,72.33,45.72
2013,31.06,9.59,86.88,45.02,71.27,45.11
2014,30.95,9.0,88.02,45.14,71.86,45.08
2015,30.14,8.76,87.82,45.95,71.99,45.99
2016,29.7,9.7,87.56,46.96,72.53,44.7
2017,29.82,10.31,86.69,44.75,70.32,43.09
2018,30.03,10.42,87.43,45.66,69.92,42.87
2019,30.65,10.3,88.21,46.56,70.42,42.62
2020,29.25,10.63,91.04,49.87,71.76,46.51
2021,29.25,10.35,90.56,49.62,70.93,44.56
2022,28.85,11.12,89.5,48.24,70.72,43.46
2023,29.02,11.26,88.07,47.52,70.55,42.43
2024,27.83,11.85,88.39,46.79,69.0,42.1
2025,28.89,12.95,88.27,46.71,68.77,41.61
