route,var,AME_pp,se_pp
switch,A_AGE,-0.18,0.05
switch,age2,0.0,0.0
switch,female,-0.92,0.19
switch,black,0.2,0.29
switch,married,-0.08,0.25
switch,sepdiv,0.81,0.33
switch,ma_plus,-0.14,0.17
switch,public,-1.46,0.18
switch,pension,-0.42,0.18
switch,parttime,1.06,0.23
switch,fullyear,-0.79,0.19
switch,n_children,-0.0,0.09
switch,child_u6,-0.06,0.26
switch,new_baby,-0.12,0.46
unemp,A_AGE,-0.0,0.03
unemp,age2,0.0,0.0
unemp,female,-0.19,0.13
unemp,black,0.66,0.17
unemp,married,0.06,0.17
unemp,sepdiv,0.44,0.21
unemp,ma_plus,-0.15,0.12
unemp,public,-0.25,0.12
unemp,pension,-0.5,0.12
unemp,parttime,0.54,0.14
unemp,fullyear,-1.32,0.14
unemp,n_children,-0.14,0.07
unemp,child_u6,-0.31,0.21
unemp,new_baby,-0.32,0.44
leftlf,A_AGE,-0.31,0.06
leftlf,age2,0.0,0.0
leftlf,female,-0.17,0.27
leftlf,black,0.93,0.39
leftlf,married,-0.39,0.34
leftlf,sepdiv,-0.5,0.45
leftlf,ma_plus,-0.63,0.23
leftlf,public,0.05,0.26
leftlf,pension,-1.65,0.25
leftlf,parttime,2.53,0.27
leftlf,fullyear,-7.32,0.27
leftlf,n_children,-0.48,0.14
leftlf,child_u6,0.92,0.43
leftlf,new_baby,4.92,0.58
