year,Preschool / kindergarten,Elementary / middle,Secondary,Special education,total
2005,0.0,2.435,1.074,0.392,3.902
2006,0.0,2.503,1.059,0.361,3.923
2007,0.0,2.706,1.11,0.335,4.151
2008,0.0,2.732,1.155,0.356,4.243
2009,0.0,2.648,1.155,0.343,4.145
2010,0.0,2.596,1.169,0.35,4.116
2011,0.0,2.634,1.071,0.355,4.059
2012,0.0,2.612,1.068,0.325,4.004
2013,0.0,2.788,0.999,0.336,4.123
2014,0.0,2.853,1.052,0.3,4.205
2015,0.0,2.928,1.082,0.291,4.301
2016,0.0,2.941,1.029,0.323,4.294
2017,0.0,3.007,0.996,0.364,4.368
2018,0.0,3.161,1.009,0.323,4.493
2019,0.0,3.341,0.97,0.291,4.603
2020,0.0,3.228,0.945,0.291,4.464
2021,0.0,3.117,0.902,0.327,4.346
2022,0.0,3.175,0.972,0.334,4.481
2023,0.0,3.24,0.918,0.297,4.456
2024,0.0,3.402,0.855,0.28,4.537
2025,0.0,3.3,0.757,0.311,4.368
