PERIDNUM,cohort,MARZO,leaver,OCCUP,PEIOOCC,leaver_MARCH
0005640966083097900101,2005,1,0.0,,,
0006630966083897900101,2005,1,0.0,,,
0019031518999808000101,2005,0,0.0,,,
0019057438998268000101,2005,0,0.0,,,
0019066938957708000101,2005,0,0.0,,,
0026014700176008000102,2005,0,0.0,,,
0029011259909648000102,2005,0,1.0,,,
0029445709963978000102,2005,0,0.0,,,
0037190849093638000101,2005,0,0.0,,,
0047052939991038000101,2005,0,0.0,,,
0049346407618937900101,2005,1,0.0,,,
0050053651059838000101,2005,0,1.0,,,
0050331609230908000101,2005,0,,,,
0050331609230908000102,2005,0,,,,
0050373040926917900101,2005,1,0.0,,,
0050453070269118000101,2005,0,0.0,,,
0055717007946937900101,2005,1,,,,
0057643809935988000101,2005,0,1.0,,,
0059009035919168000101,2005,0,0.0,,,
0059510259084668000101,2005,0,0.0,,,
0060939000292018000101,2005,0,0.0,,,
0067069119939457900101,2005,1,0.0,,,
0069041139904677900101,2005,1,0.0,,,
0069099029986587900102,2005,1,,,,
0070123609941918000102,2005,0,0.0,,,
0070253060475918000101,2005,0,0.0,,,
0070385040006717900101,2005,1,0.0,,,
0072434000103088000101,2005,0,0.0,,,
0072848500179077900102,2005,1,,,,
0079086948939927900102,2005,1,0.0,,,
0085225909982908000102,2005,0,0.0,,,
0089020829907657900103,2005,1,,,,
0090842809826948000102,2005,0,0.0,,,
0093935709974908000102,2005,0,,,,
0099337609789947900102,2005,1,0.0,,,
0100531391206508000101,2005,0,0.0,,,
0100531391206508000102,2005,0,0.0,,,
0106109044801617900102,2005,1,0.0,,,
0108000616522198000101,2005,0,1.0,,,
0108420725469697900102,2005,1,,,,
0109170941516898000101,2005,0,,,,
0109320625289647900101,2005,1,1.0,,,
0109770923339998000102,2005,0,0.0,,,
0109920725079697900102,2005,1,0.0,,,
0112141109974948000101,2005,0,1.0,,,
0112931806977998000102,2005,0,0.0,,,
0112945209977998000102,2005,0,0.0,,,
0117432500148058000101,2005,0,0.0,,,
0127752600126028000102,2005,0,0.0,,,
0127755606926928000101,2005,0,0.0,,,
0127755606926928000102,2005,0,0.0,,,
0134800259089968000101,2005,0,0.0,,,
0144903807780968000101,2005,0,0.0,,,
0155423509973938000101,2005,0,,,,
0160925606931998000101,2005,0,0.0,,,
0160985596008908000101,2005,0,,,,
0183912591005448000102,2005,0,0.0,,,
0183923909942928000101,2005,0,0.0,,,
0190988299008618000102,2005,0,,,,
0193448809816987900101,2005,1,,,,
0202414700196048000101,2005,0,0.0,,,
0206550943183187900104,2005,1,1.0,,,
0208621709925908000101,2005,0,0.0,,,
0209180934314698000101,2005,0,0.0,,,
0211716901193067900102,2005,1,0.0,,,
0235607907761947900101,2005,1,0.0,,,
0242850869094927900102,2005,1,0.0,,,
0249927509787917900102,2005,1,0.0,,,
0259112906966928000101,2005,0,0.0,,,
0264131906989928000101,2005,0,,,,
0280781041600307900101,2005,1,1.0,,,
0282432009853958000101,2005,0,,,,
0289635309918908000102,2005,0,,,,
0293848209634937900101,2005,1,0.0,,,
0298505106932988000101,2005,0,0.0,,,
0298505106932988000102,2005,0,0.0,,,
0301047907001198000102,2005,0,0.0,,,
0302123409945918000101,2005,0,0.0,,,
0302123409945918000102,2005,0,0.0,,,
0303944809817988000102,2005,0,,,,
0316916709509707900103,2005,1,,,,
0333413709245858000102,2005,0,0.0,,,
0333431509945958000101,2005,0,0.0,,,
0335322509612988000101,2005,0,0.0,,,
0340355009914938000101,2005,0,0.0,,,
0343977696008588000102,2005,0,0.0,,,
0362791393008908000101,2005,0,0.0,,,
0363022609898958000102,2005,0,0.0,,,
0363027609798957900102,2005,1,0.0,,,
0367504609545988000101,2005,0,0.0,,,
0367508609645987900102,2005,1,0.0,,,
0370722009802988000102,2005,0,1.0,,,
0380581784605707900101,2005,1,,,,
0393528106935437900102,2005,1,0.0,,,
0400621610800407900101,2005,1,0.0,,,
0400631609730968000101,2005,0,0.0,,,
0400631609730968000102,2005,0,0.0,,,
0404916698009838000102,2005,0,0.0,,,
0407010769118498000101,2005,0,0.0,,,
0410061420802907900101,2005,1,0.0,,,
0410993691009358000101,2005,0,,,,
0411103109703918000102,2005,0,,,,
0412901609483828000101,2005,0,0.0,,,
0416324500141098000101,2005,0,0.0,,,
0420661960801407900103,2005,1,0.0,,,
0422538400157057900102,2005,1,0.0,,,
0423427209758927900102,2005,1,,,,
0425969491009998000101,2005,0,,,,
0437821407750948000102,2005,0,0.0,,,
0445754006952418000101,2005,0,0.0,,,
0455987091009778000102,2005,0,0.0,,,
0463955798009878000102,2005,0,0.0,,,
0469241209901948000102,2005,0,0.0,,,
0471402901106028000101,2005,0,0.0,,,
0474513909786958000101,2005,0,0.0,,,
0474554109886958000101,2005,0,,,,
0475304609502918000101,2005,0,0.0,,,
0475327307902917900102,2005,1,0.0,,,
0489624006910468000101,2005,0,0.0,,,
0490812209888918000102,2005,0,,,,
0496202809852978000101,2005,0,0.0,,,
0502420734437398000102,2005,0,0.0,,,
0509242809886938000102,2005,0,0.0,,,
0509523809995918000102,2005,0,0.0,,,
0509990976312198000102,2005,0,0.0,,,
0512637299008608000101,2005,0,1.0,,,
0513912209895948000101,2005,0,0.0,,,
0521322509672908000102,2005,0,0.0,,,
0533115209998918000101,2005,0,0.0,,,
0533155009998918000101,2005,0,0.0,,,
0545334409881928000102,2005,0,0.0,,,
0545941809999988000102,2005,0,,,,
0548851509964928000101,2005,0,0.0,,,
0556956007868997900101,2005,1,0.0,,,
0557947806943937900102,2005,1,0.0,,,
0566206209393927900102,2005,1,,,,
0571934109862908000101,2005,0,0.0,,,
0571934109862908000102,2005,0,0.0,,,
0577105907725978000101,2005,0,0.0,,,
0577155309925978000101,2005,0,0.0,,,
0577928509624937900102,2005,1,0.0,,,
0577935306924938000101,2005,0,0.0,,,
0577935306924938000102,2005,0,1.0,,,
0579714709819998000101,2005,0,0.0,,,
0579925909947938000101,2005,0,0.0,,,
0581758109899907900102,2005,1,0.0,,,
0594148809319917900102,2005,1,0.0,,,
0595018809864937900101,2005,1,1.0,,,
0595018809864937900102,2005,1,0.0,,,
0603145609900918000102,2005,0,0.0,,,
0603970974449698000101,2005,0,,,,
0605451606945448000102,2005,0,0.0,,,
0608670934522298000102,2005,0,0.0,,,
0609420169074927900101,2005,1,0.0,,,
0620010169093967900101,2005,1,,,,
0620337506922997900102,2005,1,0.0,,,
0630126709547917900101,2005,1,1.0,,,
0630621054803907900101,2005,1,0.0,,,
0635442509872968000101,2005,0,0.0,,,
0639010989090917900102,2005,1,0.0,,,
0639010989090917900103,2005,1,0.0,,,
0651904600135008000102,2005,0,0.0,,,
0652247809445967900101,2005,1,0.0,,,
0652405609832678000101,2005,0,0.0,,,
0652408609332777900101,2005,1,0.0,,,
0652408609332777900102,2005,1,0.0,,,
0653728091009287900101,2005,1,,,,
0655201109905988000101,2005,0,0.0,,,
0655950189099957900101,2005,1,0.0,,,
0662811809918978000101,2005,0,0.0,,,
0675740590009837900102,2005,1,0.0,,,
0678437706925937900101,2005,1,,,,
0680001506920978000102,2005,0,0.0,,,
0694003644109418000101,2005,0,1.0,,,
0694105975009857900101,2005,1,0.0,,,
0698802475609827900102,2005,1,0.0,,,
0705941509917948000101,2005,0,0.0,,,
0709125009980998000101,2005,0,0.0,,,
0709520769119698000101,2005,0,0.0,,,
0709520769119698000102,2005,0,0.0,,,
0709630966272597900101,2005,1,0.0,,,
0709941209933908000102,2005,0,1.0,,,
0712403609992988000101,2005,0,0.0,,,
0727028609825927900102,2005,1,0.0,,,
0740946092005167900101,2005,1,1.0,,,
0748922301138038000101,2005,0,0.0,,,
0748944407838938000102,2005,0,0.0,,,
0749672070419057900101,2005,1,0.0,,,
0762535909499918000101,2005,0,0.0,,,
0762541209971948000102,2005,0,0.0,,,
0767241209765978000101,2005,0,1.0,,,
0767246809365977900101,2005,1,0.0,,,
0768751406989918000101,2005,0,0.0,,,
0776913209998978000103,2005,0,0.0,,,
0777255309930978000101,2005,0,,,,
0786126306980437900101,2005,1,1.0,,,
0786731109948988000101,2005,0,0.0,,,
0790534209866978000101,2005,0,0.0,,,
0790655609965918000101,2005,0,0.0,,,
0801350960523398000102,2005,0,0.0,,,
0807180952353998000101,2005,0,0.0,,,
0807180952353998000102,2005,0,0.0,,,
0820035009941918000102,2005,0,0.0,,,
0826505509905938000101,2005,0,0.0,,,
0840021551408408000102,2005,0,0.0,,,
0840251461604607900101,2005,1,,,,
0845070170016077900101,2005,1,1.0,,,
0850221394203608000101,2005,0,0.0,,,
0850221394203608000102,2005,0,0.0,,,
0850916209369967900102,2005,1,0.0,,,
0854623409484938000102,2005,0,,,,
0855734307682998000102,2005,0,0.0,,,
0858727906905927900101,2005,1,0.0,,,
0860725407908948000102,2005,0,,,,
0863843007991918000101,2005,0,0.0,,,
0865636307689927900102,2005,1,1.0,,,
0869901609763948000101,2005,0,0.0,,,
0869913309963948000104,2005,0,0.0,,,
0870121106988918000102,2005,0,0.0,,,
0886921209917938000101,2005,0,1.0,,,
0886926806817937900106,2005,1,1.0,,,
0896006169207258000102,2005,0,0.0,,,
0908531409945988000101,2005,0,0.0,,,
0909110660073597900102,2005,1,0.0,,,
0909144050016398000102,2005,0,0.0,,,
0909164050016347900102,2005,1,1.0,,,
0909578050676387900102,2005,1,0.0,,,
0909765060986197926101,2005,1,0.0,,,
0909884080166997900103,2005,1,1.0,,,
0912336709613907900101,2005,1,1.0,,,
0921946107825907900102,2005,1,0.0,,,
0922400719066908000101,2005,0,0.0,,,
0929016070969968000102,2005,0,0.0,,,
0929565050926997900101,2005,1,0.0,,,
0932603400244098000101,2005,0,0.0,,,
0932627706944997900101,2005,1,,,,
0935450829098698000103,2005,0,0.0,,,
0935545806912938000101,2005,0,0.0,,,
0941305247106218000102,2005,0,0.0,,,
0947312010926838000102,2005,0,0.0,,,
0949016000606308000101,2005,0,0.0,,,
0949224090426198000102,2005,0,0.0,,,
0949301109942958000101,2005,0,1.0,,,
0953418200193037900101,2005,1,,,,
0954825109922948000101,2005,0,0.0,,,
0954851409955968000102,2005,0,0.0,,,
0955701907793978000101,2005,0,0.0,,,
0955704909593978000101,2005,0,0.0,,,
0955718500193077900102,2005,1,0.0,,,
0958331909949998000102,2005,0,0.0,,,
0959425707918938000102,2005,0,0.0,,,
0959669020761797900102,2005,1,0.0,,,
0965645809952998000102,2005,0,,,,
0966747806974907900102,2005,1,0.0,,,
0969325020046998000103,2005,0,,,,
0969380070134497900102,2005,1,,,,
0970281454806807900102,2005,1,0.0,,,
0970637806990977900101,2005,1,0.0,,,
0979184060526797900101,2005,1,0.0,,,
0980701209915908000102,2005,0,0.0,,,
0989169050909397900102,2005,1,0.0,,,
0989512050781088000101,2005,0,0.0,,,
0989987020036547900101,2005,1,0.0,,,
0990771171605907900101,2005,1,0.0,,,
0990909512206548000101,2005,0,0.0,,,
0991401876206528000102,2005,0,0.0,,,
0995204328506338000103,2005,0,0.0,,,
0996902566209558000101,2005,0,0.0,,,
0997501577209518000103,2005,0,,,,
0999509865607158000101,2005,0,0.0,,,
0999509865607158000102,2005,0,0.0,,,
