PERIDNUM,MARZO,leaver,OCCUP,PEIOOCC,leaver_MARCH
0000590797165201701102,1,,2310.0,2310.0,0.0
0000630903159371601101,0,0.0,,,
0001100063740831811102,0,,,,
0001104017703011501104,1,0.0,2310.0,2310.0,0.0
0001201787835881701101,1,,4640.0,2310.0,-1.0
0001202778318141711102,0,,,,
0001301533964561701101,0,,,,
0001301648615831801102,0,,,,
0001305019587411601101,0,0.0,,,
0001305248784351501103,1,,,,
0001310345160771701101,1,,2330.0,2330.0,0.0
0001400413631691711101,1,,2310.0,2310.0,0.0
0001403807786041501103,1,0.0,2310.0,2310.0,0.0
0001404343896371701101,1,,2310.0,2310.0,0.0
0001502423887071611102,0,0.0,,,
0001504243290411801101,0,,,,
0001703853494431501101,1,1.0,2170.0,2360.0,-1.0
0001801532680321601102,0,0.0,,,
0001802263176281701101,1,,2300.0,2300.0,0.0
0001900428887071701102,1,,2320.0,2320.0,0.0
0001903622669491701101,0,,,,
0005908200017101511101,1,0.0,2310.0,2310.0,0.0
0010610949164531701101,1,,2310.0,2310.0,0.0
0011100062063021701102,1,,2310.0,2310.0,0.0
0011100517302341811101,0,,,,
0011103613140001711102,0,,,,
0011201297395331601101,0,1.0,,,
0011202272917301701102,1,,2310.0,2300.0,0.0
0011222102101191801101,0,,,,
0011301283782701701101,0,,,,
0011301283782701701102,0,,,,
0011303517322701601101,0,0.0,,,
0011303517322701601102,0,0.0,,,
0011402291983721601101,0,,,,
0011500267831241701101,0,,,,
0011500802584841611101,0,0.0,,,
0011501063619261511102,1,1.0,5860.0,5860.0,-1.0
0011503487662441701102,0,,,,
0011601413467021711101,1,,2310.0,2310.0,0.0
0011601517510131701101,0,,,,
0011670919153461611102,0,0.0,2320.0,2320.0,
0011701673198461701101,0,,,,
0011701781199451601101,0,0.0,,,
0011800937132831601102,0,,2310.0,2310.0,
0011801871950931701102,1,,2310.0,2300.0,0.0
0011802793111161511101,1,0.0,2310.0,2310.0,0.0
0011803333498031611101,0,0.0,,,
0011804851878921501101,1,0.0,2310.0,2310.0,0.0
0011902762481361801102,0,,,,
0011902831798541701102,0,,,,
0011903241243231701102,1,,2310.0,2310.0,0.0
0011903312014781501101,1,0.0,2310.0,2310.0,0.0
0011904853696821701102,1,,2310.0,2310.0,0.0
0012680168125971701102,0,,,,
0014570094128261601101,0,0.0,,,
0014621009001251811101,0,,,,
0014641009201281511101,1,,,,
0020520699173981701101,1,,2310.0,2310.0,0.0
0020830906168591701101,1,,2310.0,2310.0,0.0
0021102066740831701101,0,,,,
0021202586412401811101,0,,,,
0021403926563111501102,1,0.0,2310.0,2310.0,0.0
0021701435179571601102,0,0.0,,,
0021701996939191601101,0,0.0,,,
0021804745048761701102,1,,2310.0,2310.0,0.0
0021904276241381501101,1,0.0,2310.0,2310.0,0.0
0022778708201721711101,0,,,,
0031004933993541601102,0,0.0,,,
0031016909131571701101,1,,2310.0,2310.0,0.0
0031100407391691501101,1,0.0,2310.0,2310.0,0.0
0031105703659611601101,0,0.0,,,
0031105962767171701102,0,,,,
0031301307777801501102,1,0.0,2310.0,2310.0,0.0
0031500472803541611101,0,1.0,2002.0,2002.0,
0031500841958521511101,1,0.0,2310.0,2310.0,0.0
0031500841958521711101,0,,,,
0031502297688101601101,0,,,,
0031602491577261701104,0,,,,
0031604442950141511101,1,0.0,2310.0,2310.0,0.0
0031801133911521701102,0,,,,
0031903211170781601102,0,0.0,,,
0031903972239641601102,0,,,,
0031904853426911701102,1,,2310.0,2310.0,0.0
0036292600401111701101,1,,2300.0,2300.0,0.0
0039698009401321801101,0,,,,
0040190263167681501102,1,0.0,2300.0,2300.0,0.0
0040580510181261701102,1,,2310.0,2310.0,0.0
0040900949174531501102,1,0.0,2310.0,2310.0,0.0
0041005186031521601101,0,,,,
0041505436208261501101,1,0.0,2310.0,2310.0,0.0
0041701725580461601101,0,0.0,,,
0041804445260641501102,1,,,,
0041960919123461701101,0,,2330.0,2330.0,
0046716200101111701101,0,,,,
0050090813164451601102,0,0.0,,,
0050890032101211701101,0,,,,
0050890032101211701102,0,,,,
0051002221460941611102,0,0.0,,,
0051005741507571701101,1,,2310.0,2320.0,0.0
0051201272241381701101,0,,,,
0051204801012411601102,0,0.0,,,
0051301438208261601102,0,0.0,,,
0051402551606011501101,1,1.0,2722.0,2722.0,-1.0
0051503118588441701102,0,,2310.0,2310.0,
0051504181922411711102,1,,2310.0,2310.0,0.0
0051600938528101501101,1,,,,
0051605098661151501102,1,1.0,2300.0,3603.0,1.0
0051701398034551701102,0,,2310.0,2310.0,
0051703141345841701102,1,,2310.0,2310.0,0.0
0051802431179571711102,1,,2310.0,2310.0,0.0
0051902442265261601102,0,0.0,,,
0051902851494431801101,0,,,,
0052731302201451711101,1,,2310.0,2310.0,0.0
0057899108401171701102,0,,2310.0,2310.0,
0060021104311111701101,0,,,,
0060051104301491501102,1,0.0,2310.0,2310.0,0.0
0061003773989161701102,1,,2310.0,2310.0,0.0
0061004963667461701102,1,,2310.0,2310.0,0.0
0061201589477411701101,1,,2320.0,2320.0,0.0
0061202263242151701102,0,,,,
0061301181031521701102,1,,2310.0,2310.0,0.0
0061302049364141601102,0,0.0,,,
0061302113426831501101,1,,2310.0,2310.0,0.0
0061403833164411801101,0,,,,
0061502453044321701102,1,,2310.0,2310.0,0.0
