pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
000023408025621|83001|1,TTT.,....,TTT.-....,3,3,0
000167099104899|82001|2,TTET,T...,TTET-T...,4,3,2
000243260968990|83001|2,ETTT,....,ETTT-....,4,3,1
000564096608309|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
000636071134039|82001|1,TTTT,T...,TTTT-T...,4,4,0
000663096608389|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
000664096636309|80001|1,T..E,.EEE,T..E-.EEE,2,1,1
000784096605309|80001|1,EEET,.EEE,EEET-.EEE,4,1,1
000784096605309|80001|2,TTNT,.TTT,TTNT-.TTT,4,3,2
000892300798991|83001|2,TTTT,....,TTTT-....,4,4,0
000893180998991|82001|1,TTTT,T.EE,TTTT-T.EE,4,4,0
000893480018901|83001|1,TTTT,....,TTTT-....,4,4,0
000893540998991|80001|2,ETTT,TTTT,ETTT-TTTT,4,3,1
000915068833164|83001|1,TTTT,....,TTTT-....,4,4,0
000932510697399|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
000936061128034|83001|2,T...,....,T...-....,1,1,0
000954075351889|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
000967099157899|79001|1,TTUN,....,TTUN-....,4,2,2
000984096633309|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
000994095311889|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
000996071107039|82001|1,TNNN,....,TNNN-....,4,1,1
001002493109026|83001|1,NETN,....,NETN-....,4,1,3
001002493109026|83001|6,NETN,....,NETN-....,4,1,3
001003363106467|82001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
001141062909379|87001|1,T...,....,T...-....,1,1,0
001453570997591|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
001601033941228|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
001604580993992|83001|1,TTTT,....,TTTT-....,4,4,0
001642570994297|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001700862897484|81001|2,TTTT,NNNN,TTTT-NNNN,4,4,0
001708842595484|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
001903151899980|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001903903599786|82001|1,EETT,EEEE,EETT-EEEE,4,2,1
001905743899826|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001906691375777|83001|2,TTTT,....,TTTT-....,4,4,0
001906693895770|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001962640781695|80001|1,TTTT,....,TTTT-....,4,4,0
001962840981695|80001|2,TTTT,..TT,TTTT-..TT,4,4,0
001963510991695|82001|1,TTTT,....,TTTT-....,4,4,0
001965230111605|87001|1,T...,....,T...-....,1,1,0
001965230761695|80001|2,TT..,....,TT..-....,2,2,0
002111430010608|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
002281043908496|81001|2,NNNT,.UNE,NNNT-.UNE,4,1,1
002291560996298|83001|1,TTTT,....,TTTT-....,4,4,0
002601470017600|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
002601470017600|82001|2,TTTT,T...,TTTT-T...,4,4,0
002603710999132|82001|1,TTTT,NN..,TTTT-NN..,4,4,0
002603710999132|82001|2,TTTT,NN..,TTTT-NN..,4,4,0
002604171991109|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
002604852992839|83001|1,TTTT,....,TTTT-....,4,4,0
002606355995163|83001|3,TTTT,....,TTTT-....,4,4,0
002606595996176|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
002606595996176|81001|3,UEUT,....,UEUT-....,4,1,3
002606912993943|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
002609163998097|87001|2,T...,....,T...-....,1,1,0
002632410018106|82001|1,TTTT,....,TTTT-....,4,4,0
002900790295726|83001|1,TTTT,....,TTTT-....,4,4,0
002900795995725|83001|1,TTTT,....,TTTT-....,4,4,0
002900863997484|87001|1,T...,....,T...-....,1,1,0
002901125990964|80001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
002903054993006|83001|1,TTTT,....,TTTT-....,4,4,0
002904921993606|87001|1,T...,....,T...-....,1,1,0
002904922993601|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
002906274994525|83001|2,ETEE,....,ETEE-....,4,1,2
002944570996397|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
003055151080950|79001|1,TTT.,TTTT,TTT.-TTTT,3,3,0
003160210986194|87001|2,T...,....,T...-....,1,1,0
003173460950091|82001|1,TEEE,E...,TEEE-E...,4,1,1
003175160990091|83001|1,TT..,....,TT..-....,2,2,0
003280520990099|81001|2,TT.T,EEEU,TT.T-EEEU,3,3,0
003280520990099|82001|2,TTTT,....,TTTT-....,4,4,0
003550180992391|80001|2,TTEN,TTTT,TTEN-TTTT,4,2,2
003719084909363|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
003719084909363|82001|1,NNNT,N...,NNNT-N...,4,1,1
003906913593942|83001|1,T...,....,T...-....,1,1,0
004003909097671|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
004007600060831|83001|2,TT..,....,TT..-....,2,2,0
004031704067601|82001|5,ETTT,....,ETTT-....,4,3,1
004430790771694|83001|1,TT..,....,TT..-....,2,2,0
004431600911694|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
004432840981694|82001|2,TTTE,....,TTTE-....,4,3,1
004433320921694|83001|1,TTTT,....,TTTT-....,4,4,0
004601440993335|83001|1,TTTT,....,TTTT-....,4,4,0
004606591996176|82001|1,TTTT,E...,TTTT-E...,4,4,0
004606591996176|82001|2,TTTT,T...,TTTT-T...,4,4,0
004662044909494|82001|1,T...,E...,T...-E...,1,1,0
004673870985394|80001|1,TTTT,....,TTTT-....,4,4,0
004703152999984|80001|1,TTNT,NNNT,TTNT-NNNT,4,3,2
004704891797569|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
004704891797569|83001|2,TTTT,....,TTTT-....,4,4,0
004705293999103|80001|1,TTTT,UTTT,TTTT-UTTT,4,4,0
004705364795981|83001|1,TTTT,....,TTTT-....,4,4,0
004706274994526|82001|2,TTTT,T...,TTTT-T...,4,4,0
004706910793949|83001|1,EEET,....,EEET-....,4,1,1
004900905791911|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
004906513496084|83001|2,NNTT,....,NNTT-....,4,2,1
004934240751893|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
004934640761893|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
004974880932499|79001|2,TTTN,TTTT,TTTN-TTTT,4,3,1
005004864103007|81001|2,ETTT,....,ETTT-....,4,3,1
005005365105983|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
005005365105983|82001|2,ETTT,....,ETTT-....,4,3,1
005005402031131|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
005009904108656|83001|2,TTTT,....,TTTT-....,4,4,0
005023607049641|82001|2,TT.T,.T..,TT.T-.T..,3,3,0
005023607049641|83001|1,EETT,....,EETT-....,4,2,1
005033160923090|80001|1,TTTT,TTT.,TTTT-TTT.,4,4,0
005033160923090|80001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
005037304092691|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005037304092691|82001|1,TTTT,....,TTTT-....,4,4,0
005045307026911|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005045307026911|83001|1,TTTT,....,TTTT-....,4,4,0
005100260933194|81001|2,TTTT,TTNN,TTTT-TTNN,4,4,0
005222350991595|82001|1,T...,....,T...-....,1,1,0
005222350991595|82001|2,T...,....,T...-....,1,1,0
005222350991595|83001|2,EEET,....,EEET-....,4,1,1
005223630961595|81001|1,TTTT,TTUT,TTTT-TTUT,4,4,0
005571700794693|79001|1,TTTT,..EE,TTTT-..EE,4,4,0
