n,country,region,category,target_groups,policy,year_or_period,description,key_facts,sources
1,Australia,Victoria,Support & training,Switchers; Leavers; Retired,"Teacher Re-Engagement Initiative (TREI), 2022–2025",2022–2025,"Victorian Department of Education scheme for qualified teachers who have been out of a fixed-term or ongoing teaching role for 12+ months, including retirees and people on career breaks. A re-engagement team contacts each registrant, then offers a funded placement of up to 40 days in a government school (classroom observation, teaching activities, mentoring by current staff) plus free professional development and one-to-one employability coaching. Returners from retirement or career breaks receive an honorarium of up to AUD 12,000 for a 40-day placement.","Launched late 2022; 1,100+ expressions of interest | AUD 12m in the 2023/24 State Budget; placements to 30 Jun 2025 | Also: Financial incentives · Information & nudges",https://www.vic.gov.au/teacher-re-engagement-initiative
2,Canada,Quebec,Financial incentives,Retired,"Incentive pay for returning retired teachers (2020, made permanent) and ministerial letter campaign (2023)",2023,"Retired teachers with a teaching authorisation who return to Quebec public schools are paid on the salary scale they had at retirement from their first day of substitute teaching (up to about CAD 412 a day instead of the usual CAD 212 rate), with no penalty on their pension. Introduced on 21 September 2020 during the pandemic, it drew 700 retirees back in 2020–21 and was made permanent. In August 2023 the Minister of Education wrote to all retired teachers inviting them back: over 5,000 had worked in schools the previous year, mostly as substitutes or part-time, and the top daily incentive rose to CAD 578.","Since 21 Sep 2020 (permanent); letter campaign Aug 2023 | 700 returners in 2020–21; 5,000+ retirees in 2022–23 | Also: Information & nudges · Flexible positions",https://www.quebec.ca/en/government/work-government/jobs-education/teaching-general-education-youth-sector-vocational-training-adult-education/return-work-retired-teacher | https://www.ledevoir.com/actualites/education/912921/quebec-espere-nouveau-attirer-milliers-enseignants-retraites-ecoles
3,China,,Flexible positions,Retired,"Silver-Age Lecturing Plan (银龄讲学计划), 2018–",2018–,"Joint Ministry of Education and Ministry of Finance programme recruiting retired principals, teaching-research staff and senior or ‘special-grade’ teachers, generally aged 65 or under, to serve at least one school year in rural compulsory-education schools in poor and remote counties, where they teach, coach young teachers and advise on school management. Retirees keep their pension and receive a central-government allowance of CNY 20,000 a year (compulsory-education level) covering a stipend, travel and accident insurance. The 2018 plan targeted 10,000 recruits for 2018–2020; the 2024 round recruited 7,000.","Since 2018; expanded by the 2023 National Silver-Age Teachers Action Plan | Target 10,000 recruits (2018–20); 7,000 recruited in 2024 | Also: Financial incentives",http://www.moe.gov.cn/srcsite/A10/s7151/201807/t20180719_343448.html | https://www.gov.cn/zhengce/zhengceku/202408/content_6967278.htm
4,Germany,Lower Saxony,Financial incentives,Retired,"Raising and then abolishing the earnings ceiling for retired teachers (Hinzuverdienstgrenze), 2022–2024",2022–2024,"Under Lower Saxony's civil-service pension rules, retired teachers who teach again lose pension once pay plus pension exceed an earnings ceiling. The 2022 ‘Lehrkräfte-Gewinnungspaket’ raised that ceiling from 125% to 150% of pensionable pay from 1 October 2022 (it had already risen from 100% to 125% in 2019), so pensioners can teach about 9–10 hours a week with no deductions, and overtime pay for teachers rose 15%. On 31 October 2024 the ceiling for pensioned teachers was abolished altogether, as a further incentive to keep working in schools after retirement.",Ceiling 125% → 150% (1 Oct 2022); abolished 31 Oct 2024 | ≈9–10 teaching hours/week without pension cuts (2022 rule) | Also: Information & nudges (letters to teachers nearing retirement),https://www.mk.niedersachsen.de/startseite/aktuelles/presseinformationen/lehrkrafte-gewinnungspaket-landtag-erhoht-hinzuverdienstgrenze-und-mehrarbeitsvergutung-tonne-unterrichten-lohnt-sich-215592.html | https://www.mk.niedersachsen.de/startseite/aktuelles/presseinformationen/2-schulhalbjahr-2024-2025-unterrichtsversorgung-bleibt-stabil-238881.html
5,Germany,Lower Saxony,Information & nudges,Retired,Minister's letter to teachers approaching retirement (November 2023),,"In November 2023 Lower Saxony's Minister of Education, Julia Willie Hamburg, wrote personally to teachers approaching retirement, thanking them for their service and asking for their continued support in schools facing rising pupil numbers. The letter and its information sheet spell out the options: civil-servant teachers may postpone retirement by up to three years on request, and both civil-servant and salaried teachers can be re-hired on fixed-term contracts immediately after retiring, alongside their pension, under the relaxed earnings rules. A registration guide for retired teachers was enclosed.","Letter sent November 2023 | Options: defer retirement up to 3 years, or be re-hired after retiring | Also: Financial incentives (pension plus salary)",https://www.mk.niedersachsen.de/startseite/aktuelles/kultusministerin_hamburg_schreibt_an_angehende_pensionare/umfangreicher-erfahrungsschatz-kultusministerin-hamburg-informiert-lehrkrafte-kurz-vor-dem-ruhestand-uber-moglichkeiten-der-weiterbeschaftigung-227231.html | https://www.mk.niedersachsen.de/download/201317/Schreiben_an_angehende_Pensionaerinnen_und_Pensionaere.pdf
6,Ireland,,Financial incentives,Retired,Waiver of pension abatement for retired teachers: 50 days a year (2021–2027),2021–2027,"Public-service ‘abatement’ normally reduces a retired teacher's pension when pension plus new salary exceed their pre-retirement pay. To ease teacher-supply difficulties the Department of Education introduced a waiver in 2021 (Circular 0003/2021): the first 50 days a retired teacher works in a calendar year as a substitute or fixed-term teacher are exempt from abatement, each working day counting as one day whatever the hours. Retirees keep their full pension while covering absences; abatement is assessed only beyond day 50. Renewed for 2024–2025 (Circular 04/2024) and 2026–2027 (Circular 17/2026).",In force since 2021; renewed through 2027 | First 50 working days per calendar year exempt | Also: Flexible positions (substitute cover),https://www.gov.ie/en/department-of-education/publications/working-as-a-substitute-while-receiving-a-teachers-pension/
7,Japan,,Flexible re-certification,Switchers; Leavers,Abolition of the teacher licence renewal system (1 July 2022),,"From 2009 Japanese teaching licences expired every ten years unless holders completed a 30-hour renewal course, so the licences of people who had left teaching lapsed into ‘paper’ credentials. A May 2022 amendment to the Educational Personnel Certification Act abolished the renewal system from 1 July 2022: every licence valid on that date, including dormant ones held by former teachers, became permanently valid with no procedure or fee, removing a major barrier to re-entry. Boards of education now add ‘paper-teacher’ seminars and consultation days for licence holders who left or never entered teaching (e.g. Saitama, Chiba, Nagoya).","Renewal system abolished 1 July 2022 (Act amended 11 May 2022) | Paper-teacher programmes: 50 boards in FY2023, 58 planned FY2024 | Also: Information & nudges (seminars, consultation days)",https://www.mext.go.jp/content/20221028-mxt_kyoikujinzai02-000022570_3.pdf | https://www.pref.saitama.lg.jp/f2213/paperteacher.html
8,Netherlands,,Financial incentives,Switchers; Leavers,Regeling tegemoetkoming herintreders primair onderwijs (2017–2020),2017–2020,"Ministry of Education (OCW) scheme paying primary-school boards up to EUR 2,500 for each ‘herintreder’ (returner) they hired: a qualified teacher who had not worked as a primary teacher for at least 12 consecutive months, appointed on or after 1 August 2017 for at least six months. The grant was earmarked for the guidance and support returners need in their first months (coaching, refresher training), making re-entry attractive for teacher and school alike. The initial budget of EUR 1.25 million covered up to 500 returners by end-2018; the regulation ran from 1 November 2017 to 1 January 2020, with a further round in 2019.","1 Nov 2017 – 1 Jan 2020 (closed) | EUR 2,500 per returner; first budget for 500 returners | Also: Support & training",https://wetten.overheid.nl/1.3:c:BWBR0040130&g=2020-07-01&z=2025-10-18 | https://www.nieuwsbrievenminocw.nl/actueel/nieuws/2019/07/03/subsidie-voor-herintreders
9,New Zealand,,Flexible re-certification,Switchers; Leavers,"Streamlined return-to-teaching pathway: no refresher course, fees covered (2024–2028)",2024–2028,"Registered teachers who had not taught for five years or more used to need a Teacher Education Refresh (TER) programme before regaining a practising certificate. Now a returning teacher with a job offer can renew the certificate without TER, may relief-teach for up to 20 half-days while the renewal is processed, and may instead be asked to agree a ‘Kia Maia | Future-Ready Teaching Plan’ with the principal. The Government also pays practising-certificate and Limited Authority to Teach fees: 352 teachers were supported back into classrooms between October 2024 and April 2025, and Budget 2025 funds all registration fees and levies until 30 June 2028.",Fees covered from Oct 2024; NZD 53.3m for 2025–2028 | 352 teachers returned Oct 2024 – Apr 2025 | Also: Financial incentives,https://workforce.education.govt.nz/current-teachers/returning-teaching/returning-teaching-after-break | https://www.beehive.govt.nz/release/backing-teachers-teacher-registrations-funded
10,Portugal,,Financial incentives,Retired,Decreto-Lei n.º 51/2024: contracting retired teachers for shortage areas (2024/25–),2024/25–,"Part of the ‘+Aulas +Sucesso’ plan against teacher shortages, this decree-law of 28 August 2024 lets public schools sign fixed-term contracts with qualified retired teachers to fill temporary needs in shortage recruitment groups or designated under-staffed schools (‘escolas carenciadas’), subject to ministerial authorisation and an annual quota set jointly with the Finance ministry; teachers retired for more than five years are excluded. Returning retirees keep their full pension and receive an extra payment tied to the first index of the teaching salary scale, proportional to their weekly teaching hours; applications go through an online DGAE form.","In force from school year 2024/25 | 62 retirees cleared to return in the first round (Nov 2024, Público) | Also: Flexible positions (part-time hours)",https://diariodarepublica.pt/dr/detalhe/decreto-lei/51-2024-885927817 | https://www.dgae.medu.pt/noticias/atribuicao-de-servico-docente-aos-aposentados-e-reformados
